set_id,song,rating_condition,original_mix_name,path,sample_rate,channels,duration_seconds,bit_depth,LUFS,peak_dbfs,sha256,notes
Current,Red To Blue,Similar Ratings,McG-B,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\red_to_blue_alternative_review\Current\McG-B_28sec.wav,44100,2,28,PCM_24,-20.8000254598,-5.35612620015,3f31d4d7195eeba2db3cd8415e2c595339b3ab21715367e4647e45046b2727bf,Canonical six-mix proposal.
Current,Red To Blue,Similar Ratings,McG-G,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\red_to_blue_alternative_review\Current\McG-G_28sec.wav,44100,2,28,PCM_24,-20.8000338198,-7.34814610248,b8e447bfef777519ea6d3f42dc1787b71d4aa2023f491f8544b41da9d8fcc57c,Canonical six-mix proposal.
Current,Red To Blue,Similar Ratings,McG-F,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\red_to_blue_alternative_review\Current\McG-F_28sec.wav,44100,2,28,PCM_24,-20.8000360177,-8.89716295287,f6c05d2bf58131abd8fad4dda66de5d7ce54e221f9f13a33678f4663e4b0d07e,Canonical six-mix proposal.
Current,Red To Blue,Wide Ratings,McG-C,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\red_to_blue_alternative_review\Current\McG-C_28sec.wav,44100,2,28,PCM_24,-20.8000205639,-6.51482241882,76761bd1e87bbad78bbbf2482c1bae88fa552576b24032a8407aac9ae67bf648,Canonical six-mix proposal.
Current,Red To Blue,Wide Ratings,McG-H,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\red_to_blue_alternative_review\Current\McG-H_28sec.wav,44100,2,28,PCM_24,-20.8000257266,-8.92667222165,8d1dd04e4ca5297b93c047929174bffb66a59e88baf5faf8c16f6be97629bfac,Canonical six-mix proposal.
Current,Red To Blue,Wide Ratings,McG-pro1,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\red_to_blue_alternative_review\Current\McG-pro1_28sec.wav,44100,2,28,PCM_24,-20.8000236678,-6.61589083224,2b0a1ad32acc63d0d2641d8fe22c4c0d5d25f1f3f21c6418b51109c996f8e537,Canonical six-mix proposal.
Current,Red To Blue,rapid_switch,RapidSwitch,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\red_to_blue_alternative_review\Current\Red To Blue_SixMix_RapidSwitch.wav,44100,2,28,PCM_24,,,1ac34a181368dceee1c7680c2dbdf171ae6e5e2d6fea54749a54f30f6d77e70c,2-second six-mix rapid switch; original-name order documented by set rows.
Alternative_A,Red To Blue,Similar Ratings,McG-D,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\red_to_blue_alternative_review\Alternative_A\McG-D_28sec.wav,44100,2,28,PCM_24,-20.80000002,-5.79493011037,9280ebd6a835a62426903cd8056f110bc3d037f393e41b06e6c4e4da4b15dca5,Minimal change: replace McG-B with McG-D to remove stereo-imbalance QC flag while preserving Wide set.
Alternative_A,Red To Blue,Similar Ratings,McG-G,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\red_to_blue_alternative_review\Alternative_A\McG-G_28sec.wav,44100,2,28,PCM_24,-20.8000338198,-7.34814610248,b8e447bfef777519ea6d3f42dc1787b71d4aa2023f491f8544b41da9d8fcc57c,Minimal change: replace McG-B with McG-D to remove stereo-imbalance QC flag while preserving Wide set.
Alternative_A,Red To Blue,Similar Ratings,McG-F,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\red_to_blue_alternative_review\Alternative_A\McG-F_28sec.wav,44100,2,28,PCM_24,-20.8000360177,-8.89716295287,f6c05d2bf58131abd8fad4dda66de5d7ce54e221f9f13a33678f4663e4b0d07e,Minimal change: replace McG-B with McG-D to remove stereo-imbalance QC flag while preserving Wide set.
Alternative_A,Red To Blue,Wide Ratings,McG-C,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\red_to_blue_alternative_review\Alternative_A\McG-C_28sec.wav,44100,2,28,PCM_24,-20.8000205639,-6.51482241882,76761bd1e87bbad78bbbf2482c1bae88fa552576b24032a8407aac9ae67bf648,Minimal change: replace McG-B with McG-D to remove stereo-imbalance QC flag while preserving Wide set.
