artist,song,rating_condition,original_mix_name,mean_previous_preference,acoustic_pool_rank,stereo_imbalance_qc_flag,clipping_qc_flag,alignment_status,technical_qc_status,waveform_checked,rapid_switch_checked,technically_acceptable,sufficiently_distinct,suitable_for_six_mix_trial,retain,replacement_requested,reviewer,review_date,comments
The DoneFors,Lead Me,Similar Ratings,DU-D,0.344928583221,2,false,false,FAIL,REVIEW,,,,,,,,,,
The DoneFors,Lead Me,Similar Ratings,DU-E,0.288513454805,5,false,false,FAIL,REVIEW,,,,,,,,,,
The DoneFors,Lead Me,Similar Ratings,QUT-F,0.320524872239,10,false,false,FAIL,REVIEW,,,,,,,,,,
The DoneFors,Lead Me,Wide Ratings,PXL-L1,0.331806996292,3,false,false,FAIL,REVIEW,,,,,,,,,,
The DoneFors,Lead Me,Wide Ratings,PXL-L4,0.516818070818,6,false,false,FAIL,REVIEW,,,,,,,,,,
The DoneFors,Lead Me,Wide Ratings,McG-pro2,0.547365451895,17,false,false,FAIL,REVIEW,,,,,,,,,,
Fredy V,In The Meantime,Similar Ratings,QUT-B,0.169540672643,2,false,false,FAIL,REVIEW,,,,,,,,,,
Fredy V,In The Meantime,Similar Ratings,DU-H,0.560388064169,4,false,false,FAIL,REVIEW,,,,,,,,,,
Fredy V,In The Meantime,Similar Ratings,DU-I,0.531178215151,5,false,false,FAIL,REVIEW,,,,,,,,,,
Fredy V,In The Meantime,Wide Ratings,DU-K,0.136285256921,3,false,false,FAIL,REVIEW,,,,,,,,,,
Fredy V,In The Meantime,Wide Ratings,QUT-pro,0.584611251475,6,false,false,FAIL,REVIEW,,,,,,,,,,
Fredy V,In The Meantime,Wide Ratings,DU-N,0.428148862499,11,false,false,FAIL,REVIEW,,,,,,,,,,
Broken Crank,Red To Blue,Similar Ratings,McG-B,0.527445392944,3,true,false,REVIEW,REVIEW,,,,,,,,,,
Broken Crank,Red To Blue,Similar Ratings,McG-G,0.513281921228,7,false,false,REVIEW,REVIEW,,,,,,,,,,
Broken Crank,Red To Blue,Similar Ratings,McG-F,0.320184670736,8,false,false,REVIEW,REVIEW,,,,,,,,,,
Broken Crank,Red To Blue,Wide Ratings,McG-C,0.589852124377,1,false,false,REVIEW,REVIEW,,,,,,,,,,
Broken Crank,Red To Blue,Wide Ratings,McG-H,0.444788772745,2,false,false,REVIEW,REVIEW,,,,,,,,,,
Broken Crank,Red To Blue,Wide Ratings,McG-pro1,0.361486461668,4,false,false,REVIEW,REVIEW,,,,,,,,,,
The DoneFors,Pouring Room,Similar Ratings,McG-R,0.391330644411,1,false,false,FAIL,REVIEW,,,,,,,,,,
The DoneFors,Pouring Room,Similar Ratings,McG-T,0.315778789267,7,false,false,FAIL,REVIEW,,,,,,,,,,
The DoneFors,Pouring Room,Similar Ratings,McG-X,0.326821477012,8,false,false,FAIL,REVIEW,,,,,,,,,,
The DoneFors,Pouring Room,Wide Ratings,McG-pro1,0.741587086846,3,false,false,FAIL,REVIEW,,,,,,,,,,
The DoneFors,Pouring Room,Wide Ratings,McG-U,0.459458567457,4,false,false,FAIL,REVIEW,,,,,,,,,,
The DoneFors,Pouring Room,Wide Ratings,McG-V,0.510318833291,9,false,false,FAIL,REVIEW,,,,,,,,,,
