artist,song,mix_i_original_name,mix_j_original_name,lag_frames,millisecond_offset,maximum_correlation,alignment_status,notes
The DoneFors,Lead Me,DU-D,DU-E,-2,-23.2199546485,0.257979601622,FAIL,Six-mix proposal alignment check on loudness-normalised review WAVs.
The DoneFors,Lead Me,DU-D,QUT-F,2,23.2199546485,0.493271529675,REVIEW,Six-mix proposal alignment check on loudness-normalised review WAVs.
The DoneFors,Lead Me,DU-D,PXL-L1,2,23.2199546485,0.0433776341379,FAIL,Six-mix proposal alignment check on loudness-normalised review WAVs.
The DoneFors,Lead Me,DU-D,PXL-L4,1,11.6099773243,-0.00169631827157,FAIL,Six-mix proposal alignment check on loudness-normalised review WAVs.
The DoneFors,Lead Me,DU-D,McG-pro2,-3,-34.8299319728,0.517006576061,FAIL,Six-mix proposal alignment check on loudness-normalised review WAVs.
The DoneFors,Lead Me,DU-E,QUT-F,4,46.4399092971,0.587090969086,FAIL,Six-mix proposal alignment check on loudness-normalised review WAVs.
The DoneFors,Lead Me,DU-E,PXL-L1,4,46.4399092971,0.691231369972,FAIL,Six-mix proposal alignment check on loudness-normalised review WAVs.
The DoneFors,Lead Me,DU-E,PXL-L4,3,34.8299319728,0.515354692936,FAIL,Six-mix proposal alignment check on loudness-normalised review WAVs.
The DoneFors,Lead Me,DU-E,McG-pro2,0,0,0.603185534477,PASS,Six-mix proposal alignment check on loudness-normalised review WAVs.
The DoneFors,Lead Me,QUT-F,PXL-L1,0,0,0.682556450367,PASS,Six-mix proposal alignment check on loudness-normalised review WAVs.
The DoneFors,Lead Me,QUT-F,PXL-L4,-1,-11.6099773243,0.670503497124,REVIEW,Six-mix proposal alignment check on loudness-normalised review WAVs.
The DoneFors,Lead Me,QUT-F,McG-pro2,-4,-46.4399092971,0.802402973175,FAIL,Six-mix proposal alignment check on loudness-normalised review WAVs.
The DoneFors,Lead Me,PXL-L1,PXL-L4,-1,-11.6099773243,0.866333007812,REVIEW,Six-mix proposal alignment check on loudness-normalised review WAVs.
The DoneFors,Lead Me,PXL-L1,McG-pro2,-4,-46.4399092971,0.512238740921,FAIL,Six-mix proposal alignment check on loudness-normalised review WAVs.
The DoneFors,Lead Me,PXL-L4,McG-pro2,-3,-34.8299319728,0.548220872879,FAIL,Six-mix proposal alignment check on loudness-normalised review WAVs.
Fredy V,In The Meantime,QUT-B,DU-H,0,0,0.605478048325,PASS,Six-mix proposal alignment check on loudness-normalised review WAVs.
Fredy V,In The Meantime,QUT-B,DU-I,-3,-34.8299319728,0.633427917957,FAIL,Six-mix proposal alignment check on loudness-normalised review WAVs.
Fredy V,In The Meantime,QUT-B,DU-K,-2,-23.2199546485,0.512725770473,REVIEW,Six-mix proposal alignment check on loudness-normalised review WAVs.
Fredy V,In The Meantime,QUT-B,QUT-pro,-2,-23.2199546485,0.674482345581,REVIEW,Six-mix proposal alignment check on loudness-normalised review WAVs.
Fredy V,In The Meantime,QUT-B,DU-N,0,0,0.731660068035,PASS,Six-mix proposal alignment check on loudness-normalised review WAVs.
Fredy V,In The Meantime,DU-H,DU-I,-3,-34.8299319728,0.734338402748,FAIL,Six-mix proposal alignment check on loudness-normalised review WAVs.
Fredy V,In The Meantime,DU-H,DU-K,-2,-23.2199546485,0.750267028809,REVIEW,Six-mix proposal alignment check on loudness-normalised review WAVs.
Fredy V,In The Meantime,DU-H,QUT-pro,-2,-23.2199546485,0.77404999733,REVIEW,Six-mix proposal alignment check on loudness-normalised review WAVs.
Fredy V,In The Meantime,DU-H,DU-N,0,0,0.878658235073,PASS,Six-mix proposal alignment check on loudness-normalised review WAVs.
Fredy V,In The Meantime,DU-I,DU-K,0,0,0.521243155003,REVIEW,Six-mix proposal alignment check on loudness-normalised review WAVs.
Fredy V,In The Meantime,DU-I,QUT-pro,1,11.6099773243,0.659534573555,REVIEW,Six-mix proposal alignment check on loudness-normalised review WAVs.
Fredy V,In The Meantime,DU-I,DU-N,3,34.8299319728,0.851736903191,FAIL,Six-mix proposal alignment check on loudness-normalised review WAVs.
Fredy V,In The Meantime,DU-K,QUT-pro,0,0,0.677888095379,PASS,Six-mix proposal alignment check on loudness-normalised review WAVs.
Fredy V,In The Meantime,DU-K,DU-N,2,23.2199546485,0.675585269928,REVIEW,Six-mix proposal alignment check on loudness-normalised review WAVs.
Fredy V,In The Meantime,QUT-pro,DU-N,2,23.2199546485,0.782933950424,REVIEW,Six-mix proposal alignment check on loudness-normalised review WAVs.
Broken Crank,Red To Blue,McG-B,McG-G,1,11.6099773243,0.786833643913,REVIEW,Six-mix proposal alignment check on loudness-normalised review WAVs.
Broken Crank,Red To Blue,McG-B,McG-F,0,0,0.843478679657,PASS,Six-mix proposal alignment check on loudness-normalised review WAVs.
Broken Crank,Red To Blue,McG-B,McG-C,0,0,0.821708023548,PASS,Six-mix proposal alignment check on loudness-normalised review WAVs.
