artist,song,rank_least_to_most_separated,mix_i_original_name,mix_j_original_name,condition_i,condition_j,combined_corrected_acoustic_distance,scalar_only_distance,bark_only_distance,rms_excluded_distance,corrected_manhattan_distance,previous_rating_difference,same_or_different_rating_condition,near_duplicate_flag,closest_feature_dimensions,most_different_feature_dimensions,notes
Broken Crank,Red To Blue,1,McG-F,McG-H,Similar Ratings,Wide Ratings,1.58101498685,1.34102117373,0.837419011174,1.62946861819,3.09860336886,0.124604102009,different,false,crest_factor_mean|bark_mid_07|bark_side_24|bark_side_18,stereo_width|bark_mid_21|bark_mid_22|bark_mid_20,Corrected v2 distance; stereo imbalance excluded from diversity.
Broken Crank,Red To Blue,2,McG-B,McG-C,Similar Ratings,Wide Ratings,1.70609122427,1.34695070336,1.04712514451,1.5515810424,3.86962422326,0.062406731433,different,false,bark_side_09|bark_side_05|bark_mid_03|bark_side_04,bark_mid_23|bark_side_23|bark_mid_01|rms_mean,Corrected v2 distance; stereo imbalance excluded from diversity.
Broken Crank,Red To Blue,3,McG-C,McG-H,Wide Ratings,Wide Ratings,1.94841652108,1.53718672687,1.19724012058,2.03316956982,4.3371531968,0.145063351632,same,false,bark_side_05|bark_mid_02|bark_side_21|bark_mid_07,bark_mid_16|bark_mid_15|bark_mid_10|bark_mid_17,Corrected v2 distance; stereo imbalance excluded from diversity.
Broken Crank,Red To Blue,4,McG-C,McG-pro1,Wide Ratings,Wide Ratings,2.07673702912,1.29463395177,1.62381021644,1.82868028341,4.58627299313,0.228365662709,same,false,bark_mid_18|bark_mid_15|bark_mid_07|bark_mid_08,rms_mean|bark_side_05|bark_side_09|bark_side_12,Corrected v2 distance; stereo imbalance excluded from diversity.
Broken Crank,Red To Blue,5,McG-G,McG-pro1,Similar Ratings,Wide Ratings,2.17469013793,0.809010402733,2.01860827411,2.1128096909,4.80564140704,0.15179545956,different,false,bark_side_21|bark_mid_15|bark_mid_23|bark_mid_11,bark_mid_06|bark_mid_07|bark_mid_08|bark_mid_04,Corrected v2 distance; stereo imbalance excluded from diversity.
Broken Crank,Red To Blue,6,McG-G,McG-H,Similar Ratings,Wide Ratings,2.19547731062,0.959231709083,1.9748405378,2.2067518686,5.1029224656,0.068493148483,different,false,bark_mid_24|bark_mid_12|bark_mid_11|bark_side_22,bark_mid_22|bark_mid_21|bark_mid_07|bark_mid_05,Corrected v2 distance; stereo imbalance excluded from diversity.
Broken Crank,Red To Blue,7,McG-G,McG-C,Similar Ratings,Wide Ratings,2.23642122835,0.933738419745,2.03216940094,2.21049336232,5.32300431048,0.076570203149,different,false,bark_side_06|bark_side_07|bark_mid_17|bark_side_19,bark_mid_09|bark_mid_08|bark_mid_07|bark_mid_05,Corrected v2 distance; stereo imbalance excluded from diversity.
Broken Crank,Red To Blue,8,McG-B,McG-pro1,Similar Ratings,Wide Ratings,2.25877221386,1.68804025311,1.50085709445,2.34624581495,5.11069682368,0.165958931276,different,false,bark_side_23|bark_mid_19|bark_side_22|bark_mid_09,bark_side_01|bark_side_02|bark_mid_02|bark_side_03,Corrected v2 distance; stereo imbalance excluded from diversity.
Broken Crank,Red To Blue,9,McG-F,McG-C,Similar Ratings,Wide Ratings,2.48587532029,2.14578289975,1.2550664744,2.5697657957,5.74787169145,0.269667453641,different,false,bark_mid_06|bark_side_19|bark_mid_04|bark_mid_07,bark_mid_01|bark_mid_09|stereo_width|bark_side_22,Corrected v2 distance; stereo imbalance excluded from diversity.
Broken Crank,Red To Blue,10,McG-H,McG-pro1,Wide Ratings,Wide Ratings,2.52566192791,1.71514051924,1.85398521391,2.4501080262,5.93058340525,0.083302311077,same,false,bark_mid_07|bark_mid_08|bark_mid_11|bark_mid_09,bark_mid_17|bark_side_16|bark_side_17|bark_side_14,Corrected v2 distance; stereo imbalance excluded from diversity.
Broken Crank,Red To Blue,11,McG-B,McG-G,Similar Ratings,Similar Ratings,2.59969815564,1.90202493155,1.7722109525,2.68017678936,6.09098972619,0.014163471716,same,false,bark_side_19|bark_side_20|bark_side_21|bark_mid_16,bark_mid_05|bark_mid_07|bark_mid_04|crest_factor_mean,Corrected v2 distance; stereo imbalance excluded from diversity.
Broken Crank,Red To Blue,12,McG-G,McG-F,Similar Ratings,Similar Ratings,2.69815536873,1.9315739314,1.88389610684,2.80523516898,6.20790435923,0.193097250492,same,false,bark_mid_23|rms_mean|bark_side_19|bark_mid_14,stereo_width|bark_mid_07|bark_mid_06|bark_mid_08,Corrected v2 distance; stereo imbalance excluded from diversity.
Broken Crank,Red To Blue,13,McG-B,McG-H,Similar Ratings,Wide Ratings,2.90122899903,2.62477034197,1.23600580772,3.00419243079,5.92520299178,0.082656620199,different,false,bark_side_05|bark_mid_07|bark_side_02|bark_mid_06,crest_factor_mean|bark_mid_15|bark_mid_22|bark_mid_14,Corrected v2 distance; stereo imbalance excluded from diversity.
Broken Crank,Red To Blue,14,McG-B,McG-F,Similar Ratings,Similar Ratings,2.92361081332,2.78384688893,0.893138671612,3.10865776282,5.61729765179,0.207260722208,same,false,bark_mid_07|bark_mid_19|bark_mid_20|bark_mid_09,crest_factor_mean|bark_mid_02|stereo_width|bark_mid_14,Corrected v2 distance; stereo imbalance excluded from diversity.
Broken Crank,Red To Blue,15,McG-F,McG-pro1,Similar Ratings,Wide Ratings,3.21748310589,2.5235981343,1.99590831284,3.32433513638,6.81796061839,0.041301790932,different,false,bark_mid_09|bark_mid_10|bark_mid_22|bark_mid_12,bark_side_12|bark_side_13|bark_side_08|bark_side_15,Corrected v2 distance; stereo imbalance excluded from diversity.
