song,original_mix_name,mix_id,mean_previous_preference,assigned_role,similar_subset_members,range_broadening_members
Lead Me,DU-D,mix_f1f7973e5bac,0.344928583221,similar-rating subset,DU-D|DU-E|PXL-L1,PXL-L4|McG-pro2
Lead Me,DU-E,mix_271852ba8676,0.288513454805,similar-rating subset,DU-D|DU-E|PXL-L1,PXL-L4|McG-pro2
Lead Me,PXL-L1,mix_d5b28dfc8a93,0.331806996292,similar-rating subset,DU-D|DU-E|PXL-L1,PXL-L4|McG-pro2
Lead Me,PXL-L4,mix_c7d9a071ba25,0.516818070818,range-broadening / rating bridge,DU-D|DU-E|PXL-L1,PXL-L4|McG-pro2
Lead Me,McG-pro2,mix_d3e3580b6e30,0.547365451895,range-broadening,DU-D|DU-E|PXL-L1,PXL-L4|McG-pro2
In The Meantime,QUT-B,mix_c7bdcba64775,0.169540672643,range-broadening / rating bridge,DU-H|DU-I|QUT-pro,DU-K|QUT-B
In The Meantime,DU-H,mix_302f0efe8a80,0.560388064169,similar-rating subset,DU-H|DU-I|QUT-pro,DU-K|QUT-B
In The Meantime,DU-I,mix_9baa86357fd4,0.531178215151,similar-rating subset,DU-H|DU-I|QUT-pro,DU-K|QUT-B
In The Meantime,DU-K,mix_56e65a3ce054,0.136285256921,range-broadening,DU-H|DU-I|QUT-pro,DU-K|QUT-B
In The Meantime,QUT-pro,mix_cdaef40f2b94,0.584611251475,similar-rating subset,DU-H|DU-I|QUT-pro,DU-K|QUT-B
Pouring Room,McG-R,mix_0ba76f420c1d,0.391330644411,similar-rating subset,McG-R|McG-T|McG-X,McG-V|McG-pro1
Pouring Room,McG-T,mix_be2ccd4c43ff,0.315778789267,similar-rating subset,McG-R|McG-T|McG-X,McG-V|McG-pro1
Pouring Room,McG-X,mix_cbf8555ee2b2,0.326821477012,similar-rating subset,McG-R|McG-T|McG-X,McG-V|McG-pro1
Pouring Room,McG-pro1,mix_132e75f34470,0.741587086846,range-broadening,McG-R|McG-T|McG-X,McG-V|McG-pro1
Pouring Room,McG-V,mix_e08faaf8bbb3,0.510318833291,range-broadening / rating bridge,McG-R|McG-T|McG-X,McG-V|McG-pro1
I'd Like To Know,PXL-S3,mix_65f41f41d3ab,0.387103869155,similar-rating subset,PXL-S3|PXL-S5|PXL-S2,PXL-S1|PXL-S7
I'd Like To Know,PXL-S5,mix_82d60d7c7fc5,0.41830605239,similar-rating subset,PXL-S3|PXL-S5|PXL-S2,PXL-S1|PXL-S7
I'd Like To Know,PXL-S1,mix_9ffcd672af17,0.521845817854,range-broadening / rating bridge,PXL-S3|PXL-S5|PXL-S2,PXL-S1|PXL-S7
I'd Like To Know,PXL-S2,mix_6f8b655d7999,0.466242170236,similar-rating subset,PXL-S3|PXL-S5|PXL-S2,PXL-S1|PXL-S7
I'd Like To Know,PXL-S7,mix_b393d3919c78,0.633314256387,range-broadening,PXL-S3|PXL-S5|PXL-S2,PXL-S1|PXL-S7
