song,names,min_distance,median_distance,max_distance,mean_distance,near_duplicate_count,rating_range,closest_rating_pair_spread,closest_rating_triplet_spread,similar_subset,range_broadening,combo,similar_score,min_distance_norm,median_distance_norm,rating_range_norm,score
Lead Me,"['DU-D', 'DU-E', 'PXL-L1', 'PXL-L4', 'McG-pro2']",2.51973487833,3.19132996589,3.49499417947,3.1160817946040003,0,0.25885199708999995,0.013121586929000006,0.05641512841599999,"['DU-D', 'DU-E', 'PXL-L1']","['PXL-L4', 'McG-pro2']",DU-D|DU-E|PXL-L1|PXL-L4|McG-pro2,1.0,1.0,0.9810694471716418,1.0,0.9952673617929104
Lead Me,"['DU-D', 'DU-E', 'QUT-F', 'PXL-L1', 'PXL-L4']",2.37110283585,3.16474615782,3.49499417947,3.0166372876320002,0,0.228304616013,0.011282124052999998,0.024403710982000004,"['DU-D', 'QUT-F', 'PXL-L1']","['DU-E', 'PXL-L4']",DU-D|DU-E|QUT-F|PXL-L1|PXL-L4,1.0,0.8341315691368516,0.8422123714892045,0.04573481821036326,0.6875847491505848
Lead Me,"['DU-D', 'DU-E', 'QUT-F', 'PXL-L1', 'McG-pro2']",1.62365090559,3.19495416855,3.49499417947,2.9780850134590002,0,0.25885199708999995,0.011282124052999998,0.024403710982000004,"['DU-D', 'QUT-F', 'PXL-L1']","['DU-E', 'McG-pro2']",DU-D|DU-E|QUT-F|PXL-L1|McG-pro2,1.0,0.0,1.0,1.0,0.62
Lead Me,"['DU-D', 'DU-E', 'QUT-F', 'PXL-L4', 'McG-pro2']",1.62365090559,3.1946427018100003,3.49499417947,2.997335282848,0,0.25885199708999995,0.024403710982000004,0.05641512841599999,"['DU-D', 'DU-E', 'QUT-F']","['PXL-L4', 'McG-pro2']",DU-D|DU-E|QUT-F|PXL-L4|McG-pro2,1.0,0.0,0.9983730938556739,1.0,0.6195932734639185
Lead Me,"['DU-E', 'QUT-F', 'PXL-L1', 'PXL-L4', 'McG-pro2']",1.62365090559,3.003506898475,3.44405568529,2.8620667541460003,0,0.25885199708999995,0.011282124052999998,0.04329354148699999,"['DU-E', 'QUT-F', 'PXL-L1']","['PXL-L4', 'McG-pro2']",DU-E|QUT-F|PXL-L1|PXL-L4|McG-pro2,1.0,0.0,0.0,1.0,0.37
Lead Me,"['DU-D', 'QUT-F', 'PXL-L1', 'PXL-L4', 'McG-pro2']",1.62365090559,3.003506898475,3.46565221351,2.8261767272590004,0,0.22684057965599996,0.011282124052999998,0.024403710982000004,"['DU-D', 'QUT-F', 'PXL-L1']","['PXL-L4', 'McG-pro2']",DU-D|QUT-F|PXL-L1|PXL-L4|McG-pro2,1.0,0.0,0.0,0.0,0.15
In The Meantime,"['QUT-B', 'DU-H', 'DU-I', 'DU-K', 'QUT-pro']",2.10556575572,3.39419507544,5.56099797932,3.7401094519880003,0,0.448325994554,0.024223187306000038,0.05343303632399998,"['DU-H', 'DU-I', 'QUT-pro']","['DU-K', 'QUT-B']",QUT-B|DU-H|DU-I|DU-K|QUT-pro,1.0,1.0,1.0,1.0,1.0
In The Meantime,"['QUT-B', 'DU-I', 'DU-K', 'QUT-pro', 'DU-N']",2.10556575572,3.253195961125,5.56099797932,3.5288745211629995,0,0.448325994554,0.033255415722,0.156462388976,"['QUT-B', 'DU-K']","['DU-N', 'DU-I', 'QUT-pro']",QUT-B|DU-I|DU-K|QUT-pro|DU-N,0.8152476904333333,1.0,0.7382161504298447,1.0,0.9068411911724611
In The Meantime,"['QUT-B', 'DU-H', 'DU-K', 'QUT-pro', 'DU-N']",1.83334921312,3.2883414978500003,5.56099797932,3.4186073780450004,0,0.448325994554,0.024223187306000038,0.156462388976,"['DU-H', 'QUT-pro']","['DU-K', 'QUT-B', 'DU-N']",QUT-B|DU-H|DU-K|QUT-pro|DU-N,0.8654267371888886,0.0,0.8034685737785855,1.0,0.5506811540229797
In The Meantime,"['DU-H', 'DU-I', 'DU-K', 'QUT-pro', 'DU-N']",1.83334921312,2.85558616375,3.41830268237,2.8071163203710006,0,0.448325994554,0.024223187306000038,0.05343303632399998,"['DU-H', 'DU-I', 'QUT-pro']","['DU-K', 'DU-N']",DU-H|DU-I|DU-K|QUT-pro|DU-N,1.0,0.0,0.0,1.0,0.37
In The Meantime,"['QUT-B', 'DU-H', 'DU-I', 'QUT-pro', 'DU-N']",1.83334921312,3.3124491047799998,5.56099797932,3.590739950971,0,0.41507057883200005,0.024223187306000038,0.05343303632399998,"['DU-H', 'DU-I', 'QUT-pro']","['QUT-B', 'DU-N']",QUT-B|DU-H|DU-I|QUT-pro|DU-N,1.0,0.0,0.8482275935548397,0.0,0.3620568983887099
In The Meantime,"['QUT-B', 'DU-H', 'DU-I', 'DU-K', 'DU-N']",1.83334921312,3.1386133723,5.26026765587,3.29805741483,0,0.424102807248,0.029209849017999945,0.13223920166999997,"['DU-H', 'DU-I']","['DU-K', 'QUT-B', 'DU-N']",QUT-B|DU-H|DU-I|DU-K|DU-N,0.8377230610111114,0.0,0.5254781389746078,0.2716017292192412,0.3167803743235517
Pouring Room,"['McG-R', 'McG-T', 'McG-X', 'McG-pro1', 'McG-V']",1.69525800496,2.1478566173,3.07136962966,2.292162944519,0,0.4258082975790001,0.011042687745000002,0.07555185514400004,"['McG-R', 'McG-T', 'McG-X']","['McG-V', 'McG-pro1']",McG-R|McG-T|McG-X|McG-pro1|McG-V,1.0,1.0,0.09402577991663888,1.0,0.7735064449791598
Pouring Room,"['McG-T', 'McG-X', 'McG-pro1', 'McG-U', 'McG-V']",1.69525800496,2.150887848045,2.77757175573,2.219615425293,0,0.4258082975790001,0.011042687745000002,0.14367977819,"['McG-T', 'McG-X']","['McG-U', 'McG-V', 'McG-pro1']",McG-T|McG-X|McG-pro1|McG-U|McG-V,0.93865173475,1.0,0.10305912375670714,1.0,0.7665625411516768
Pouring Room,"['McG-R', 'McG-T', 'McG-X', 'McG-pro1', 'McG-U']",1.50639550314,2.4518655157450002,3.07136962966,2.4196188024730003,0,0.4258082975790001,0.011042687745000002,0.07555185514400004,"['McG-R', 'McG-T', 'McG-X']","['McG-U', 'McG-pro1']",McG-R|McG-T|McG-X|McG-pro1|McG-U,1.0,0.0,1.0,1.0,0.62
Pouring Room,"['McG-R', 'McG-T', 'McG-pro1', 'McG-U', 'McG-V']",1.50639550314,2.1478566173,2.92699986494,2.2206632403730002,0,0.4258082975790001,0.05086026583400005,0.11898818888000001,"['McG-U', 'McG-V']","['McG-T', 'McG-R', 'McG-pro1']",McG-R|McG-T|McG-pro1|McG-U|McG-V,0.7174429675888886,0.0,0.09402577991663888,1.0,0.351122890117493
Pouring Room,"['McG-R', 'McG-X', 'McG-pro1', 'McG-U', 'McG-V']",1.50639550314,2.1478566173,3.07136962966,2.158853608852,0,0.41476560983400007,0.05086026583400005,0.11898818888000001,"['McG-U', 'McG-V']","['McG-X', 'McG-R', 'McG-pro1']",McG-R|McG-X|McG-pro1|McG-U|McG-V,0.7174429675888886,0.0,0.09402577991663888,0.9522516057640663,0.3406182433855876
Pouring Room,"['McG-R', 'McG-T', 'McG-X', 'McG-U', 'McG-V']",1.50639550314,2.11630530696,3.07136962966,2.2877389725980004,0,0.19454004402400005,0.011042687745000002,0.07555185514400004,"['McG-R', 'McG-T', 'McG-X']","['McG-U', 'McG-V']",McG-R|McG-T|McG-X|McG-U|McG-V,1.0,0.0,0.0,0.0,0.15
Red To Blue,"['McG-B', 'McG-G', 'McG-F', 'McG-C', 'McG-pro1']",1.70609122427,2.3723237670749997,3.21748310589,2.43775345974,0,0.269667453641,0.014163471715999965,0.07657020314899998,"['McG-B', 'McG-G', 'McG-C']","['McG-F', 'McG-pro1']",McG-B|McG-G|McG-F|McG-C|McG-pro1,1.0,1.0,0.45099688313563013,1.0,0.8627492207839076
Red To Blue,"['McG-B', 'McG-G', 'McG-C', 'McG-H', 'McG-pro1']",1.70609122427,2.215949269485,2.90122899903,2.262319474781,0,0.22836566270899994,0.014163471715999965,0.07657020314899998,"['McG-B', 'McG-G', 'McG-C']","['McG-pro1', 'McG-H']",McG-B|McG-G|McG-C|McG-H|McG-pro1,1.0,1.0,0.0,0.3381837185890481,0.6044004180895906
Red To Blue,"['McG-B', 'McG-G', 'McG-F', 'McG-C', 'McG-H']",1.58101498685,2.3611482743199996,2.92361081332,2.327598992818,0,0.269667453641,0.014163471715999965,0.07657020314899998,"['McG-B', 'McG-G', 'McG-C']","['McG-F', 'McG-H']",McG-B|McG-G|McG-F|McG-C|McG-H,1.0,0.0,0.4187658449696462,1.0,0.47469146124241157
Red To Blue,"['McG-B', 'McG-F', 'McG-C', 'McG-H', 'McG-pro1']",1.58101498685,2.3723237670749997,3.21748310589,2.3624892141619998,0,0.269667453641,0.04130179093200004,0.12460410200900002,"['McG-F', 'McG-pro1']","['McG-H', 'McG-B', 'McG-C']",McG-B|McG-F|McG-C|McG-H|McG-pro1,0.7705456059333331,0.0,0.45099688313563013,1.0,0.4483310616739075
Red To Blue,"['McG-B', 'McG-G', 'McG-F', 'McG-H', 'McG-pro1']",1.58101498685,2.5626800417749998,3.21748310589,2.5075793019780006,0,0.20726072220799996,0.014163471715999965,0.08265662019899994,"['McG-B', 'McG-G']","['McG-F', 'McG-pro1', 'McG-H']",McG-B|McG-G|McG-F|McG-H|McG-pro1,0.9213140460222224,0.0,1.0,0.0,0.38819710690333337
Red To Blue,"['McG-G', 'McG-F', 'McG-C', 'McG-H', 'McG-pro1']",1.58101498685,2.215949269485,3.21748310589,2.313993293677,0,0.269667453641,0.04130179093200004,0.12460410200900002,"['McG-F', 'McG-pro1']","['McG-H', 'McG-G', 'McG-C']",McG-G|McG-F|McG-C|McG-H|McG-pro1,0.7705456059333331,0.0,0.0,1.0,0.33558184089
I'd Like To Know,"['PXL-S3', 'PXL-S5', 'PXL-S1', 'PXL-S2', 'PXL-S7']",1.36762958502,2.190067924005,3.48430981082,2.2238535236519996,0,0.246210387232,0.031202183235000014,0.079138301081,"['PXL-S3', 'PXL-S5', 'PXL-S2']","['PXL-S1', 'PXL-S7']",PXL-S3|PXL-S5|PXL-S1|PXL-S2|PXL-S7,1.0,1.0,0.748766727365876,1.0,0.9371916818414691
I'd Like To Know,"['PXL-S3', 'PXL-S5', 'PXL-S1', 'PXL-S2', 'PXL-S6']",1.36762958502,2.34554695333,3.48430981082,2.2942342856669997,0,0.15213059793400002,0.017388649235000053,0.07299229685300002,"['PXL-S1', 'PXL-S2', 'PXL-S6']","['PXL-S3', 'PXL-S5']",PXL-S3|PXL-S5|PXL-S1|PXL-S2|PXL-S6,1.0,1.0,1.0,0.0,0.78
I'd Like To Know,"['PXL-S3', 'PXL-S5', 'PXL-S1', 'PXL-S6', 'PXL-S7']",1.35373057047,2.22840681875,3.48430981082,2.286313199991,0,0.246210387232,0.017388649235000053,0.11146843853300004,"['PXL-S1', 'PXL-S6']","['PXL-S3', 'PXL-S5', 'PXL-S7']",PXL-S3|PXL-S5|PXL-S1|PXL-S6|PXL-S7,0.9033963931388886,0.0,0.8107172427362004,1.0,0.5581887696548834
I'd Like To Know,"['PXL-S3', 'PXL-S5', 'PXL-S2', 'PXL-S6', 'PXL-S7']",1.35373057047,2.0106082833,3.48430981082,2.0982743938070003,0,0.246210387232,0.031202183235000014,0.079138301081,"['PXL-S3', 'PXL-S5', 'PXL-S2']","['PXL-S6', 'PXL-S7']",PXL-S3|PXL-S5|PXL-S2|PXL-S6|PXL-S7,1.0,0.0,0.45878400084771065,1.0,0.4846960002119277
I'd Like To Know,"['PXL-S5', 'PXL-S1', 'PXL-S2', 'PXL-S6', 'PXL-S7']",1.35373057047,1.91682816161,2.71035546444,1.9866193677779997,0,0.215008203997,0.017388649235000053,0.07299229685300002,"['PXL-S1', 'PXL-S2', 'PXL-S6']","['PXL-S5', 'PXL-S7']",PXL-S5|PXL-S1|PXL-S2|PXL-S6|PXL-S7,1.0,0.0,0.3072478934865318,0.6683433980047898,0.3738475209326867
I'd Like To Know,"['PXL-S3', 'PXL-S1', 'PXL-S2', 'PXL-S6', 'PXL-S7']",1.35373057047,1.7266837442699998,2.63942489308,1.8320861727809998,0,0.246210387232,0.017388649235000053,0.07299229685300002,"['PXL-S1', 'PXL-S2', 'PXL-S6']","['PXL-S3', 'PXL-S7']",PXL-S3|PXL-S1|PXL-S2|PXL-S6|PXL-S7,1.0,0.0,0.0,1.0,0.37
New Skin,"['DU-Q', 'DU-R', 'DU-O', 'DU-T', 'DU-S']",1.5188586309,2.373060719195,3.38852224907,2.345135550799,0,0.393212924146,0.00689928574700005,0.07960988322700002,"['DU-Q', 'DU-O', 'DU-S']","['DU-R', 'DU-T']",DU-Q|DU-R|DU-O|DU-T|DU-S,1.0,1.0,1.0,1.0,1.0
New Skin,"['DU-Q', 'DU-R', 'DU-U', 'DU-T', 'DU-S']",1.28592591205,2.3528608772600004,3.19525777565,2.223302530179,0,0.393212924146,0.02636777233800003,0.07960988322700002,"['DU-Q', 'DU-U', 'DU-S']","['DU-R', 'DU-T']",DU-Q|DU-R|DU-U|DU-T|DU-S,1.0,0.6242648613350974,0.9698977102367208,1.0,0.8496950748665172
New Skin,"['DU-Q', 'DU-R', 'DU-O', 'DU-U', 'DU-S']",0.898920022875,2.3608468848550004,3.38852224907,2.3042031449265,0,0.393212924146,0.00689928574700005,0.02636777233800003,"['DU-Q', 'DU-O', 'DU-U']","['DU-R', 'DU-S']",DU-Q|DU-R|DU-O|DU-U|DU-S,1.0,0.0,0.9817986506227893,1.0,0.6154496626556973
New Skin,"['DU-Q', 'DU-R', 'DU-O', 'DU-U', 'DU-T']",0.898920022875,2.373060719195,3.38852224907,2.3152919701195005,0,0.339970813257,0.00689928574700005,0.02636777233800003,"['DU-Q', 'DU-O', 'DU-U']","['DU-R', 'DU-T']",DU-Q|DU-R|DU-O|DU-U|DU-T,1.0,0.0,1.0,0.48104291398400134,0.5058294410764803
New Skin,"['DU-R', 'DU-O', 'DU-U', 'DU-T', 'DU-S']",0.898920022875,1.750869748495,3.38852224907,2.0418110928754998,0,0.393212924146,0.019468486590999978,0.07271059747999997,"['DU-O', 'DU-U', 'DU-S']","['DU-R', 'DU-T']",DU-R|DU-O|DU-U|DU-T|DU-S,1.0,0.0,0.07279606700013787,1.0,0.38819901675003443
New Skin,"['DU-Q', 'DU-O', 'DU-U', 'DU-T', 'DU-S']",0.898920022875,1.70202067228,2.38104672679,1.7315572301065,0,0.290618485562,0.00689928574700005,0.02636777233800003,"['DU-Q', 'DU-O', 'DU-U']","['DU-T', 'DU-S']",DU-Q|DU-O|DU-U|DU-T|DU-S,1.0,0.0,0.0,0.0,0.15
No Prize,"['McG-L', 'McG-pro2', 'McG-N', 'McG-K', 'McG-P']",1.06714306959,2.08759067071,4.19652132421,2.2223180169640004,0,0.268802580837,0.013227306745000056,0.030545040712000038,"['McG-L', 'McG-K', 'McG-P']","['McG-pro2', 'McG-N']",McG-L|McG-pro2|McG-N|McG-K|McG-P,1.0,1.0,0.9255556130524969,1.0,0.9813889032631242
No Prize,"['McG-L', 'McG-N', 'McG-K', 'McG-P', 'McG-O']",1.06714306959,1.6252914872850002,4.01151745179,2.075949056692,0,0.22670564197999998,0.013227306745000056,0.030545040712000038,"['McG-L', 'McG-K', 'McG-P']","['McG-O', 'McG-N']",McG-L|McG-N|McG-K|McG-P|McG-O,1.0,1.0,0.3565713474024702,0.0,0.6191428368506176
No Prize,"['McG-L', 'McG-pro2', 'McG-N', 'McG-P', 'McG-O']",1.03649160001,2.148076665445,4.19652132421,2.342923440185,0,0.268802580837,0.017317733966999982,0.105558046412,"['McG-L', 'McG-P']","['McG-pro2', 'McG-O', 'McG-N']",McG-L|McG-pro2|McG-N|McG-P|McG-O,0.9037903668500001,0.0,1.0,1.0,0.6055685550275
No Prize,"['McG-L', 'McG-pro2', 'McG-N', 'McG-K', 'McG-O']",1.03649160001,2.148076665445,4.19652132421,2.348341915922,0,0.25148484687,0.013227306745000056,0.105558046412,"['McG-L', 'McG-K']","['McG-pro2', 'McG-O', 'McG-N']",McG-L|McG-pro2|McG-N|McG-K|McG-O,0.9265149625277774,0.0,1.0,0.5886224880667222,0.5184741917538455
No Prize,"['McG-pro2', 'McG-N', 'McG-K', 'McG-P', 'McG-O']",1.03649160001,1.6834268566700001,4.19652132421,2.2542796410130004,0,0.268802580837,0.030545040712000038,0.105558046412,"['McG-K', 'McG-P']","['McG-pro2', 'McG-O', 'McG-N']",McG-pro2|McG-N|McG-K|McG-P|McG-O,0.8303053293777776,0.0,0.42812265366425944,1.0,0.45157646282273145
No Prize,"['McG-L', 'McG-pro2', 'McG-K', 'McG-P', 'McG-O']",1.03649160001,1.335577601175,2.4395702751,1.475758921056,0,0.268802580837,0.013227306745000056,0.030545040712000038,"['McG-L', 'McG-K', 'McG-P']","['McG-pro2', 'McG-O']",McG-L|McG-pro2|McG-K|McG-P|McG-O,1.0,0.0,0.0,1.0,0.37
Vermont,"['DU-P2', 'DU-O2', 'PXL-L3', 'PXL-L4', 'PXL-L5']",1.19093495482,1.9284809108099998,3.44842795802,2.2685039299810006,0,0.3142311998849999,0.002896760515999963,0.14080926547899997,"['DU-P2', 'PXL-L4']","['PXL-L5', 'PXL-L3', 'DU-O2']",DU-P2|DU-O2|PXL-L3|PXL-L4|PXL-L5,0.9839068860222224,1.0,1.0,1.0,0.9975860329033334
Vermont,"['DU-P2', 'DU-O2', 'PXL-L3', 'PXL-L1', 'PXL-L5']",1.15665740409,1.9284809108099998,3.44842795802,2.2122175338470003,0,0.31133443936899996,0.06179497799,0.14080926547899997,"['DU-P2', 'PXL-L1']","['PXL-L5', 'PXL-L3', 'DU-O2']",DU-P2|DU-O2|PXL-L3|PXL-L1|PXL-L5,0.6566945667222222,0.5700037582914271,1.0,0.9565522841894624,0.7755471156807574
Vermont,"['DU-P2', 'PXL-L3', 'PXL-L1', 'PXL-L4', 'PXL-L5']",1.11121902383,1.7457502006999999,3.35316464397,2.157876743728,0,0.3142311998849999,0.002896760515999963,0.06469173850599996,"['DU-P2', 'PXL-L1', 'PXL-L4']","['PXL-L5', 'PXL-L3']",DU-P2|PXL-L3|PXL-L1|PXL-L4|PXL-L5,1.0,0.0,0.6844497649618763,1.0,0.5411124412404691
Vermont,"['DU-P2', 'DU-O2', 'PXL-L1', 'PXL-L4', 'PXL-L5']",1.11121902383,1.34939495295,3.44842795802,2.043055244955,0,0.3142311998849999,0.002896760515999963,0.06469173850599996,"['DU-P2', 'PXL-L1', 'PXL-L4']","['PXL-L5', 'DU-O2']",DU-P2|DU-O2|PXL-L1|PXL-L4|PXL-L5,1.0,0.0,0.0,1.0,0.37
Vermont,"['DU-P2', 'DU-O2', 'PXL-L3', 'PXL-L1', 'PXL-L4']",1.11121902383,1.8162760271,3.44842795802,2.1463884857139996,0,0.24755886827999996,0.002896760515999963,0.06469173850599996,"['DU-P2', 'PXL-L1', 'PXL-L4']","['PXL-L3', 'DU-O2']",DU-P2|DU-O2|PXL-L3|PXL-L1|PXL-L4,1.0,0.0,0.8062379476016814,0.0,0.3515594869004204
Vermont,"['DU-O2', 'PXL-L3', 'PXL-L1', 'PXL-L4', 'PXL-L5']",1.11121902383,1.34939495295,1.99900673721,1.437131215111,0,0.3142311998849999,0.06469173850599996,0.14080926547899997,"['PXL-L1', 'PXL-L4']","['PXL-L5', 'PXL-L3', 'DU-O2']",DU-O2|PXL-L3|PXL-L1|PXL-L4|PXL-L5,0.6406014527444446,0.0,0.0,1.0,0.3160902179116667
