song,review_order,participant_label_position,original_mix_name,selected_mix_id,stimulus_id,frontend_audio_path,review_audio_path,source_or_master_path_if_known,frontend_file_size,frontend_sha256,review_copy_sha256,review_copy_preserves_frontend_bytes,source_path_exists,source_sha256_if_available,frontend_equals_source_path,duration_seconds,sample_rate_hz,channels,brecht_mean_previous_preference,rating_count,assigned_role,similar_subset_members,range_broadening_members,nearest_selected_neighbour,nearest_selected_neighbour_distance,near_duplicate_evidence,important_acoustic_or_perceptual_contribution,technical_quality_status,confidence_level,manual_listening_confirmation_required,manual_perceptual_confirmation_source,feature_table_used,feature_evidence,pairwise_distance_table_used,pairwise_distance_evidence,ranking_or_selection_source,combination_score_source,ratings_source,qc_source,alignment_source,audio_manifest_or_review_source,source_selection_basis,excerpt_change_evidence,phase2_raw_feature_extraction_from_wavs,phase2_pairwise_distances_recomputed_from_features,phase2_pairwise_distance_results_reused
Lead Me,1,A-E randomized at runtime; review order only,DU-D,mix_f1f7973e5bac,lead_me_du_d,study-interface/frontend-5mix/assets/audio/study-stimuli/main-study/group_01/song_a_lead_me/du_d.wav,outputs/five_mix_review_audio/Lead Me/01_DU-D.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\DU-D_28sec.wav,7408844,c9f29238b0df89952af408ccb06cf67aa3355a6e8a289d72c6e6987116e00b50,c9f29238b0df89952af408ccb06cf67aa3355a6e8a289d72c6e6987116e00b50,yes,True,c9f29238b0df89952af408ccb06cf67aa3355a6e8a289d72c6e6987116e00b50,yes,28.000000,44100,2,0.344928583221,39,similar-rating subset,DU-D|DU-E|PXL-L1,PXL-L4|McG-pro2,PXL-L4,2.51973487833,nearest selected distance 2.520; near_duplicate_flag=False,lower low/low-mid spectral energy; higher stereo width,REVIEW (alignment_review),medium-high,yes,outputs/stimulus_selection/07_perceptual_review/PERCEPTUAL_REVIEW_STATUS.md,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_pairwise_distances.csv,Existing pairwise distance rows reused for selected/pool distances; Phase 2 computed combination-level set metrics/scores from those rows.,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\recommended_five_mix_selections.csv,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\five_mix_combination_scores.csv,outputs/stimulus_selection/05_ratings_integration/tables/mix_preference_rating_summary_within_song.csv,outputs/stimulus_selection/09_six_mix_proposals/qc/six_mix_technical_qc.csv,outputs/stimulus_selection/09_six_mix_proposals/alignment_review/six_mix_alignment_summary.csv,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_audio_manifest.csv,six_mix_proposals_union,Repository evidence indicates no new excerpt selection in Phase 2; the frontend uses the previously accepted Stage 9 / approved overlap 28 s excerpt family for this song.,no,no,yes
Lead Me,2,A-E randomized at runtime; review order only,DU-E,mix_271852ba8676,lead_me_du_e,study-interface/frontend-5mix/assets/audio/study-stimuli/main-study/group_01/song_a_lead_me/du_e.wav,outputs/five_mix_review_audio/Lead Me/02_DU-E.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\DU-E_28sec.wav,7408844,0d4f376765530c1ec5d64907a3900bd83fd07dae3ded520172cabfc69d39760e,0d4f376765530c1ec5d64907a3900bd83fd07dae3ded520172cabfc69d39760e,yes,True,0d4f376765530c1ec5d64907a3900bd83fd07dae3ded520172cabfc69d39760e,yes,28.000000,44100,2,0.288513454805,39,similar-rating subset,DU-D|DU-E|PXL-L1,PXL-L4|McG-pro2,PXL-L1,2.84064614514,nearest selected distance 2.841; near_duplicate_flag=False,lower low/low-mid spectral energy; higher brightness proxy,REVIEW (alignment_review),medium-high,yes,outputs/stimulus_selection/07_perceptual_review/PERCEPTUAL_REVIEW_STATUS.md,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_pairwise_distances.csv,Existing pairwise distance rows reused for selected/pool distances; Phase 2 computed combination-level set metrics/scores from those rows.,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\recommended_five_mix_selections.csv,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\five_mix_combination_scores.csv,outputs/stimulus_selection/05_ratings_integration/tables/mix_preference_rating_summary_within_song.csv,outputs/stimulus_selection/09_six_mix_proposals/qc/six_mix_technical_qc.csv,outputs/stimulus_selection/09_six_mix_proposals/alignment_review/six_mix_alignment_summary.csv,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_audio_manifest.csv,six_mix_proposals_union,Repository evidence indicates no new excerpt selection in Phase 2; the frontend uses the previously accepted Stage 9 / approved overlap 28 s excerpt family for this song.,no,no,yes
Lead Me,3,A-E randomized at runtime; review order only,PXL-L1,mix_d5b28dfc8a93,lead_me_pxl_l1,study-interface/frontend-5mix/assets/audio/study-stimuli/main-study/group_01/song_a_lead_me/pxl_l1.wav,outputs/five_mix_review_audio/Lead Me/03_PXL-L1.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\PXL-L1_28sec.wav,4939244,36d9394d0373c164eb934a5d8cfa6d1f1cf79d7927c863acf286bbf1327bb5e8,36d9394d0373c164eb934a5d8cfa6d1f1cf79d7927c863acf286bbf1327bb5e8,yes,True,0e49ed57878b2133b5735e9842fba43c618a8a98a65f3898a3a88053c68e63ae,no,28.000000,44100,2,0.331806996292,36,similar-rating subset,DU-D|DU-E|PXL-L1,PXL-L4|McG-pro2,DU-E,2.84064614514,nearest selected distance 2.841; near_duplicate_flag=False,lower side-channel spectral energy; lower source RMS/energy,REVIEW (alignment_review),medium-high,yes,outputs/stimulus_selection/07_perceptual_review/PERCEPTUAL_REVIEW_STATUS.md,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_pairwise_distances.csv,Existing pairwise distance rows reused for selected/pool distances; Phase 2 computed combination-level set metrics/scores from those rows.,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\recommended_five_mix_selections.csv,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\five_mix_combination_scores.csv,outputs/stimulus_selection/05_ratings_integration/tables/mix_preference_rating_summary_within_song.csv,outputs/stimulus_selection/09_six_mix_proposals/qc/six_mix_technical_qc.csv,outputs/stimulus_selection/09_six_mix_proposals/alignment_review/six_mix_alignment_summary.csv,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_audio_manifest.csv,six_mix_proposals_union,Repository evidence indicates no new excerpt selection in Phase 2; the frontend uses the previously accepted Stage 9 / approved overlap 28 s excerpt family for this song.,no,no,yes
Lead Me,4,A-E randomized at runtime; review order only,PXL-L4,mix_c7d9a071ba25,lead_me_pxl_l4,study-interface/frontend-5mix/assets/audio/study-stimuli/main-study/group_01/song_a_lead_me/pxl_l4.wav,outputs/five_mix_review_audio/Lead Me/04_PXL-L4.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\PXL-L4_28sec.wav,4939244,f257def94cc627653c2509fa9434464eac3ccf4cf032d463d363da9ea06d628d,f257def94cc627653c2509fa9434464eac3ccf4cf032d463d363da9ea06d628d,yes,True,8986dbe6804998640b1cdcf107af74c9c8cfc1792dcb7e3c737c2c64d3a5cd44,no,28.000000,44100,2,0.516818070818,6,range-broadening / rating bridge,DU-D|DU-E|PXL-L1,PXL-L4|McG-pro2,DU-D,2.51973487833,nearest selected distance 2.520; near_duplicate_flag=False,higher stereo width; lower source RMS/energy,REVIEW (alignment_review),medium-high,yes,outputs/stimulus_selection/07_perceptual_review/PERCEPTUAL_REVIEW_STATUS.md,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_pairwise_distances.csv,Existing pairwise distance rows reused for selected/pool distances; Phase 2 computed combination-level set metrics/scores from those rows.,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\recommended_five_mix_selections.csv,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\five_mix_combination_scores.csv,outputs/stimulus_selection/05_ratings_integration/tables/mix_preference_rating_summary_within_song.csv,outputs/stimulus_selection/09_six_mix_proposals/qc/six_mix_technical_qc.csv,outputs/stimulus_selection/09_six_mix_proposals/alignment_review/six_mix_alignment_summary.csv,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_audio_manifest.csv,six_mix_proposals_union,Repository evidence indicates no new excerpt selection in Phase 2; the frontend uses the previously accepted Stage 9 / approved overlap 28 s excerpt family for this song.,no,no,yes
Lead Me,5,A-E randomized at runtime; review order only,McG-pro2,mix_d3e3580b6e30,lead_me_mcg_pro2,study-interface/frontend-5mix/assets/audio/study-stimuli/main-study/group_01/song_a_lead_me/mcg_pro2.wav,outputs/five_mix_review_audio/Lead Me/05_McG-pro2.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\McG-pro2_28sec.wav,4939244,82ead88ddd05eb0eea4ae9756a832acdfcc1bf19cfbadde2dbedf65627b768c3,82ead88ddd05eb0eea4ae9756a832acdfcc1bf19cfbadde2dbedf65627b768c3,yes,True,b7bfbb9d01a147c7ec3df884ff35e64a9e177d51b025d1a58f0d69dba12c5d61,no,28.000000,44100,2,0.547365451895,45,range-broadening,DU-D|DU-E|PXL-L1,PXL-L4|McG-pro2,PXL-L1,2.92257247514,nearest selected distance 2.923; near_duplicate_flag=False,higher source RMS/energy; higher crest factor/dynamics,REVIEW (alignment_review),medium-high,yes,outputs/stimulus_selection/07_perceptual_review/PERCEPTUAL_REVIEW_STATUS.md,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_pairwise_distances.csv,Existing pairwise distance rows reused for selected/pool distances; Phase 2 computed combination-level set metrics/scores from those rows.,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\recommended_five_mix_selections.csv,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\five_mix_combination_scores.csv,outputs/stimulus_selection/05_ratings_integration/tables/mix_preference_rating_summary_within_song.csv,outputs/stimulus_selection/09_six_mix_proposals/qc/six_mix_technical_qc.csv,outputs/stimulus_selection/09_six_mix_proposals/alignment_review/six_mix_alignment_summary.csv,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_audio_manifest.csv,six_mix_proposals_union,Repository evidence indicates no new excerpt selection in Phase 2; the frontend uses the previously accepted Stage 9 / approved overlap 28 s excerpt family for this song.,no,no,yes
In The Meantime,1,A-E randomized at runtime; review order only,QUT-B,mix_c7bdcba64775,in_the_meantime_qut_b,study-interface/frontend-5mix/assets/audio/study-stimuli/main-study/group_02/song_a_in_the_meantime/qut_b.wav,outputs/five_mix_review_audio/In The Meantime/01_QUT-B.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\QUT-B_28sec.wav,7408844,612d1059890671ba799b1fc1d6f32201a46bc9156091f7186a4e9202e62dd46b,612d1059890671ba799b1fc1d6f32201a46bc9156091f7186a4e9202e62dd46b,yes,True,612d1059890671ba799b1fc1d6f32201a46bc9156091f7186a4e9202e62dd46b,yes,28.000000,44100,2,0.169540672643,16,range-broadening / rating bridge,DU-H|DU-I|QUT-pro,DU-K|QUT-B,DU-K,4.13120303805,nearest selected distance 4.131; near_duplicate_flag=False,lower side-channel spectral energy; lower upper-band spectral energy,REVIEW (alignment_review),medium-high,yes,outputs/stimulus_selection/07_perceptual_review/PERCEPTUAL_REVIEW_STATUS.md,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_pairwise_distances.csv,Existing pairwise distance rows reused for selected/pool distances; Phase 2 computed combination-level set metrics/scores from those rows.,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\recommended_five_mix_selections.csv,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\five_mix_combination_scores.csv,outputs/stimulus_selection/05_ratings_integration/tables/mix_preference_rating_summary_within_song.csv,outputs/stimulus_selection/09_six_mix_proposals/qc/six_mix_technical_qc.csv,outputs/stimulus_selection/09_six_mix_proposals/alignment_review/six_mix_alignment_summary.csv,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_audio_manifest.csv,six_mix_proposals_union,Repository evidence indicates no new excerpt selection in Phase 2; the frontend uses the previously accepted Stage 9 / approved overlap 28 s excerpt family for this song.,no,no,yes
In The Meantime,2,A-E randomized at runtime; review order only,DU-H,mix_302f0efe8a80,in_the_meantime_du_h,study-interface/frontend-5mix/assets/audio/study-stimuli/main-study/group_02/song_a_in_the_meantime/du_h.wav,outputs/five_mix_review_audio/In The Meantime/02_DU-H.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\DU-H_28sec.wav,7408844,1f313be3c726d3e8c3fe459a661feca3cc452bb83ad9c7b595b6d88e463ba05f,1f313be3c726d3e8c3fe459a661feca3cc452bb83ad9c7b595b6d88e463ba05f,yes,True,1f313be3c726d3e8c3fe459a661feca3cc452bb83ad9c7b595b6d88e463ba05f,yes,28.000000,44100,2,0.560388064169,54,similar-rating subset,DU-H|DU-I|QUT-pro,DU-K|QUT-B,DU-K,2.85892406223,nearest selected distance 2.859; near_duplicate_flag=False,higher source RMS/energy; lower low/low-mid spectral energy,REVIEW (alignment_review),medium-high,yes,outputs/stimulus_selection/07_perceptual_review/PERCEPTUAL_REVIEW_STATUS.md,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_pairwise_distances.csv,Existing pairwise distance rows reused for selected/pool distances; Phase 2 computed combination-level set metrics/scores from those rows.,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\recommended_five_mix_selections.csv,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\five_mix_combination_scores.csv,outputs/stimulus_selection/05_ratings_integration/tables/mix_preference_rating_summary_within_song.csv,outputs/stimulus_selection/09_six_mix_proposals/qc/six_mix_technical_qc.csv,outputs/stimulus_selection/09_six_mix_proposals/alignment_review/six_mix_alignment_summary.csv,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_audio_manifest.csv,six_mix_proposals_union,Repository evidence indicates no new excerpt selection in Phase 2; the frontend uses the previously accepted Stage 9 / approved overlap 28 s excerpt family for this song.,no,no,yes
In The Meantime,3,A-E randomized at runtime; review order only,DU-I,mix_9baa86357fd4,in_the_meantime_du_i,study-interface/frontend-5mix/assets/audio/study-stimuli/main-study/group_02/song_a_in_the_meantime/du_i.wav,outputs/five_mix_review_audio/In The Meantime/03_DU-I.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\DU-I_28sec.wav,7408844,37cbf18b0bc2e144769577718e2382ee137abac9fafb38d921995d700fe8e002,37cbf18b0bc2e144769577718e2382ee137abac9fafb38d921995d700fe8e002,yes,True,37cbf18b0bc2e144769577718e2382ee137abac9fafb38d921995d700fe8e002,yes,28.000000,44100,2,0.531178215151,38,similar-rating subset,DU-H|DU-I|QUT-pro,DU-K|QUT-B,DU-K,2.10556575572,nearest selected distance 2.106; near_duplicate_flag=False,higher crest factor/dynamics; lower source RMS/energy,REVIEW (alignment_review),medium-high,yes,outputs/stimulus_selection/07_perceptual_review/PERCEPTUAL_REVIEW_STATUS.md,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_pairwise_distances.csv,Existing pairwise distance rows reused for selected/pool distances; Phase 2 computed combination-level set metrics/scores from those rows.,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\recommended_five_mix_selections.csv,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\five_mix_combination_scores.csv,outputs/stimulus_selection/05_ratings_integration/tables/mix_preference_rating_summary_within_song.csv,outputs/stimulus_selection/09_six_mix_proposals/qc/six_mix_technical_qc.csv,outputs/stimulus_selection/09_six_mix_proposals/alignment_review/six_mix_alignment_summary.csv,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_audio_manifest.csv,six_mix_proposals_union,Repository evidence indicates no new excerpt selection in Phase 2; the frontend uses the previously accepted Stage 9 / approved overlap 28 s excerpt family for this song.,no,no,yes
In The Meantime,4,A-E randomized at runtime; review order only,DU-K,mix_56e65a3ce054,in_the_meantime_du_k,study-interface/frontend-5mix/assets/audio/study-stimuli/main-study/group_02/song_a_in_the_meantime/du_k.wav,outputs/five_mix_review_audio/In The Meantime/04_DU-K.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\DU-K_28sec.wav,4939244,4dfaf9d47d7f23cc2b2d6ee362d2372d537b6448f186c1827cdace0802ae02e0,4dfaf9d47d7f23cc2b2d6ee362d2372d537b6448f186c1827cdace0802ae02e0,yes,True,813949cb894475f88df188a09279cd3c4fa0d1f2ab81cbf4c44b3be308c60455,no,28.000000,44100,2,0.136285256921,38,range-broadening,DU-H|DU-I|QUT-pro,DU-K|QUT-B,DU-I,2.10556575572,nearest selected distance 2.106; near_duplicate_flag=False,lower side-channel spectral energy; higher crest factor/dynamics,REVIEW (near_clipped_samples|loudness_normalisation_review),medium-high,yes,outputs/stimulus_selection/07_perceptual_review/PERCEPTUAL_REVIEW_STATUS.md,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_pairwise_distances.csv,Existing pairwise distance rows reused for selected/pool distances; Phase 2 computed combination-level set metrics/scores from those rows.,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\recommended_five_mix_selections.csv,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\five_mix_combination_scores.csv,outputs/stimulus_selection/05_ratings_integration/tables/mix_preference_rating_summary_within_song.csv,outputs/stimulus_selection/09_six_mix_proposals/qc/six_mix_technical_qc.csv,outputs/stimulus_selection/09_six_mix_proposals/alignment_review/six_mix_alignment_summary.csv,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_audio_manifest.csv,six_mix_proposals_union,Repository evidence indicates no new excerpt selection in Phase 2; the frontend uses the previously accepted Stage 9 / approved overlap 28 s excerpt family for this song.,no,no,yes
In The Meantime,5,A-E randomized at runtime; review order only,QUT-pro,mix_cdaef40f2b94,in_the_meantime_qut_pro,study-interface/frontend-5mix/assets/audio/study-stimuli/main-study/group_02/song_a_in_the_meantime/qut_pro.wav,outputs/five_mix_review_audio/In The Meantime/05_QUT-pro.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\QUT-pro_28sec.wav,4939244,f5e793e07d60ba6ea7fe4e52870cef19d8bb8a332db3bc7ea2d9de51b2d583dc,f5e793e07d60ba6ea7fe4e52870cef19d8bb8a332db3bc7ea2d9de51b2d583dc,yes,True,357d016781d6b0ee030537969cfffbd24017a95e0d1de5da75eae7ba2d03595e,no,28.000000,44100,2,0.584611251475,16,similar-rating subset,DU-H|DU-I|QUT-pro,DU-K|QUT-B,DU-I,3.13630445374,nearest selected distance 3.136; near_duplicate_flag=False,higher stereo width; lower crest factor/dynamics,REVIEW (alignment_review),medium-high,yes,outputs/stimulus_selection/07_perceptual_review/PERCEPTUAL_REVIEW_STATUS.md,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,Existing processed-feature table reused by Phase 2; no raw MST/Diff-MST extraction from WAVs in generate_five_mix_review.py.,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_pairwise_distances.csv,Existing pairwise distance rows reused for selected/pool distances; Phase 2 computed combination-level set metrics/scores from those rows.,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\recommended_five_mix_selections.csv,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\11_five_mix_selection_review_20260806\five_mix_combination_scores.csv,outputs/stimulus_selection/05_ratings_integration/tables/mix_preference_rating_summary_within_song.csv,outputs/stimulus_selection/09_six_mix_proposals/qc/six_mix_technical_qc.csv,outputs/stimulus_selection/09_six_mix_proposals/alignment_review/six_mix_alignment_summary.csv,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_audio_manifest.csv,six_mix_proposals_union,Repository evidence indicates no new excerpt selection in Phase 2; the frontend uses the previously accepted Stage 9 / approved overlap 28 s excerpt family for this song.,no,no,yes
