song,mix,audio_path,listen_for,nearest_neighbour,nearest_distance,approval_decision,notes
Lead Me,DU-D,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\DU-D_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,PXL-L4,2.51973487833,pending,
Lead Me,DU-E,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\DU-E_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,PXL-L1,2.84064614514,pending,
Lead Me,PXL-L1,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\PXL-L1_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,DU-E,2.84064614514,pending,
Lead Me,PXL-L4,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\PXL-L4_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,DU-D,2.51973487833,pending,
Lead Me,McG-pro2,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\McG-pro2_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,PXL-L1,2.92257247514,pending,
In The Meantime,QUT-B,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\QUT-B_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,DU-K,4.13120303805,pending,
In The Meantime,DU-H,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\DU-H_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,DU-K,2.85892406223,pending,
In The Meantime,DU-I,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\DU-I_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,DU-K,2.10556575572,pending,
In The Meantime,DU-K,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\DU-K_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,DU-I,2.10556575572,pending,
In The Meantime,QUT-pro,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\QUT-pro_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,DU-I,3.13630445374,pending,
Pouring Room,McG-R,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Pouring Room\McG-R_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,McG-pro1,2.12138547376,pending,
Pouring Room,McG-T,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Pouring Room\McG-T_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,McG-X,1.88514897969,pending,
Pouring Room,McG-X,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Pouring Room\McG-X_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,McG-T,1.88514897969,pending,
Pouring Room,McG-pro1,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Pouring Room\McG-pro1_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,McG-V,1.69525800496,pending,
Pouring Room,McG-V,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Pouring Room\McG-V_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,McG-pro1,1.69525800496,pending,
I'd Like To Know,PXL-S3,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\08_supervisor_review_package\candidate_review_audio\I'd Like To Know\Similar Ratings\PXL-S3_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,PXL-S2,1.36762958502,pending,
I'd Like To Know,PXL-S5,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\08_supervisor_review_package\candidate_review_audio\I'd Like To Know\Similar Ratings\PXL-S5_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,PXL-S7,1.97772901106,pending,
I'd Like To Know,PXL-S1,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\08_supervisor_review_package\candidate_review_audio\I'd Like To Know\Similar Ratings\PXL-S1_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,PXL-S7,1.59744017638,pending,
I'd Like To Know,PXL-S2,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\08_supervisor_review_package\candidate_review_audio\I'd Like To Know\Wide Ratings\PXL-S2_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,PXL-S3,1.36762958502,pending,
I'd Like To Know,PXL-S7,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\08_supervisor_review_package\candidate_review_audio\I'd Like To Know\Wide Ratings\PXL-S7_28sec.wav,distinctiveness from nearest neighbour; artefacts; timing; confidence rating differences,PXL-S2,1.52980290766,pending,
