artist,song,component,explained_variance_ratio,cumulative_explained_variance,retained
Broken Crank,Red To Blue,bark_pc_01,0.374630636332,0.374630636332,true
Broken Crank,Red To Blue,bark_pc_02,0.312429597726,0.687060234058,true
Broken Crank,Red To Blue,bark_pc_03,0.174035954578,0.861096188636,true
Broken Crank,Red To Blue,bark_pc_04,0.0697525063539,0.93084869499,true
Broken Crank,Red To Blue,bark_pc_05,0.0317872017684,0.962635896758,true
Broken Crank,Red To Blue,bark_pc_06,0.0182064666251,0.980842363383,false
Broken Crank,Red To Blue,bark_pc_07,0.0133737035782,0.994216066961,false
Broken Crank,Red To Blue,bark_pc_08,0.00578393303858,1,false
Broken Crank,Red To Blue,bark_pc_09,2.43543854836e-33,1,false
Fredy V,In The Meantime,bark_pc_01,0.557901484162,0.557901484162,true
Fredy V,In The Meantime,bark_pc_02,0.170898148071,0.728799632233,true
Fredy V,In The Meantime,bark_pc_03,0.10344024244,0.832239874673,true
Fredy V,In The Meantime,bark_pc_04,0.0459513832982,0.878191257971,true
Fredy V,In The Meantime,bark_pc_05,0.0263872729944,0.904578530965,true
Fredy V,In The Meantime,bark_pc_06,0.0211862940656,0.925764825031,true
Fredy V,In The Meantime,bark_pc_07,0.0164335626123,0.942198387643,true
Fredy V,In The Meantime,bark_pc_08,0.0136762718774,0.955874659521,true
Fredy V,In The Meantime,bark_pc_09,0.0102622214757,0.966136880996,false
Fredy V,In The Meantime,bark_pc_10,0.00638575695533,0.972522637952,false
Fredy V,In The Meantime,bark_pc_11,0.00522742290797,0.97775006086,false
Fredy V,In The Meantime,bark_pc_12,0.00391131845979,0.981661379319,false
Fredy V,In The Meantime,bark_pc_13,0.0034540152406,0.98511539456,false
Fredy V,In The Meantime,bark_pc_14,0.0029000141719,0.988015408732,false
Fredy V,In The Meantime,bark_pc_15,0.0025634674936,0.990578876226,false
Fredy V,In The Meantime,bark_pc_16,0.00209101214589,0.992669888371,false
Fredy V,In The Meantime,bark_pc_17,0.00164082800926,0.994310716381,false
Fredy V,In The Meantime,bark_pc_18,0.00111671563993,0.995427432021,false
Fredy V,In The Meantime,bark_pc_19,0.000914328710307,0.996341760731,false
Fredy V,In The Meantime,bark_pc_20,0.000891457999859,0.997233218731,false
Fredy V,In The Meantime,bark_pc_21,0.000671045750039,0.997904264481,false
Fredy V,In The Meantime,bark_pc_22,0.000517870803313,0.998422135284,false
Fredy V,In The Meantime,bark_pc_23,0.000406279539683,0.998828414824,false
Fredy V,In The Meantime,bark_pc_24,0.000267365920295,0.999095780744,false
Fredy V,In The Meantime,bark_pc_25,0.000232132603535,0.999327913348,false
Fredy V,In The Meantime,bark_pc_26,0.000181400558614,0.999509313906,false
Fredy V,In The Meantime,bark_pc_27,0.000151659096387,0.999660973003,false
Fredy V,In The Meantime,bark_pc_28,0.000102013300392,0.999762986303,false
Fredy V,In The Meantime,bark_pc_29,7.92817174986e-05,0.999842268021,false
Fredy V,In The Meantime,bark_pc_30,5.51220567291e-05,0.999897390077,false
Fredy V,In The Meantime,bark_pc_31,4.42604469024e-05,0.999941650524,false
Fredy V,In The Meantime,bark_pc_32,3.42709649945e-05,0.999975921489,false
Fredy V,In The Meantime,bark_pc_33,1.76343132313e-05,0.999993555802,false
Fredy V,In The Meantime,bark_pc_34,6.44419763024e-06,1,false
Fredy V,In The Meantime,bark_pc_35,3.18672119462e-33,1,false
The DoneFors,Lead Me,bark_pc_01,0.336085825001,0.336085825001,true
The DoneFors,Lead Me,bark_pc_02,0.218771744696,0.554857569698,true
The DoneFors,Lead Me,bark_pc_03,0.189051724068,0.743909293766,true
The DoneFors,Lead Me,bark_pc_04,0.0641474970603,0.808056790826,true
The DoneFors,Lead Me,bark_pc_05,0.0455950629001,0.853651853726,true
The DoneFors,Lead Me,bark_pc_06,0.0331137259504,0.886765579677,true
The DoneFors,Lead Me,bark_pc_07,0.0260368682109,0.912802447888,true
The DoneFors,Lead Me,bark_pc_08,0.0235206026473,0.936323050535,true
The DoneFors,Lead Me,bark_pc_09,0.0140311439008,0.950354194436,true
The DoneFors,Lead Me,bark_pc_10,0.0106252426555,0.960979437091,false
The DoneFors,Lead Me,bark_pc_11,0.00742400770305,0.968403444794,false
The DoneFors,Lead Me,bark_pc_12,0.00579268093052,0.974196125725,false
The DoneFors,Lead Me,bark_pc_13,0.00553473681157,0.979730862536,false
The DoneFors,Lead Me,bark_pc_14,0.00439909475447,0.984129957291,false
The DoneFors,Lead Me,bark_pc_15,0.0033894829226,0.987519440213,false
The DoneFors,Lead Me,bark_pc_16,0.00292098926274,0.990440429476,false
The DoneFors,Lead Me,bark_pc_17,0.00200040827883,0.992440837755,false
The DoneFors,Lead Me,bark_pc_18,0.00147033400684,0.993911171762,false
The DoneFors,Lead Me,bark_pc_19,0.00123119298559,0.995142364747,false
The DoneFors,Lead Me,bark_pc_20,0.00106091039361,0.996203275141,false
The DoneFors,Lead Me,bark_pc_21,0.000814396979421,0.99701767212,false
The DoneFors,Lead Me,bark_pc_22,0.000561366889301,0.99757903901,false
The DoneFors,Lead Me,bark_pc_23,0.000458918029968,0.99803795704,false
The DoneFors,Lead Me,bark_pc_24,0.000420858941513,0.998458815981,false
The DoneFors,Lead Me,bark_pc_25,0.000362255801702,0.998821071783,false
The DoneFors,Lead Me,bark_pc_26,0.000292169176975,0.99911324096,false
The DoneFors,Lead Me,bark_pc_27,0.000230842508694,0.999344083469,false
The DoneFors,Lead Me,bark_pc_28,0.000178137412602,0.999522220881,false
The DoneFors,Lead Me,bark_pc_29,0.000136429764268,0.999658650645,false
The DoneFors,Lead Me,bark_pc_30,0.000118164480109,0.999776815126,false
The DoneFors,Lead Me,bark_pc_31,7.7522174257e-05,0.9998543373,false
The DoneFors,Lead Me,bark_pc_32,5.91249085585e-05,0.999913462208,false
The DoneFors,Lead Me,bark_pc_33,4.3584506702e-05,0.999957046715,false
The DoneFors,Lead Me,bark_pc_34,2.96293043085e-05,0.999986676019,false
The DoneFors,Lead Me,bark_pc_35,1.33239806324e-05,1,false
The DoneFors,Lead Me,bark_pc_36,1.95483566445e-33,1,false
The DoneFors,Pouring Room,bark_pc_01,0.585924672625,0.585924672625,true
The DoneFors,Pouring Room,bark_pc_02,0.19038277428,0.776307446905,true
The DoneFors,Pouring Room,bark_pc_03,0.107836641002,0.884144087907,true
