artist,song,role,institution_code,institution_name,original_dataset_filename,original_mix_name,mix_id,source_path,selected_by_primary_method,selection_frequency_across_methods,distance_from_medoid,outlier_score,QC_warning_count,rationale
Broken Crank,Red To Blue,representative,McG,McGill University,McG-A.mp3,McG-A,mix_e2654ec905ad,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-A.mp3,true,9,0,1.205360191,1,Medoid representative in full combined space.
Broken Crank,Red To Blue,contrast_1,McG,McGill University,McG-B.mp3,McG-B,mix_7ac13e0b6376,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-B.mp3,true,6,1.90107445204,6.00669682645,1,Contrast selected for high full-space separation while avoiding Stage 3 near-duplicate pairs. Flagged for manual listening as a high robust-outlier-score mix.
Broken Crank,Red To Blue,contrast_2,McG,McGill University,McG-F.mp3,McG-F,mix_dcc6aef84d67,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-F.mp3,true,8,1.97257889429,5.3496853034,1,Contrast selected for high full-space separation while avoiding Stage 3 near-duplicate pairs.
Fredy V,In The Meantime,representative,UCP,Universidade Católica Portuguesa,UCP-A4.mp3,UCP-A4,mix_efdedc0a36e7,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A4.mp3,true,9,0,1.3527777857,2,Medoid representative in full combined space.
Fredy V,In The Meantime,contrast_1,DU,Dalarna University,DU-J.mp3,DU-J,mix_22efc79c8253,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-J.mp3,true,9,5.2627230416,22.7259612836,2,Contrast selected for high full-space separation while avoiding Stage 3 near-duplicate pairs. Flagged for manual listening as a high robust-outlier-score mix.
Fredy V,In The Meantime,contrast_2,QUT,Queensland University of Technology,QUT-B.mp3,QUT-B,mix_c7bdcba64775,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-B.mp3,true,10,4.01760870438,11.1374787978,2,Contrast selected for high full-space separation while avoiding Stage 3 near-duplicate pairs. Flagged for manual listening as a high robust-outlier-score mix.
The DoneFors,Lead Me,representative,McG,McGill University,McG-A.mp3,McG-A,mix_9346b5d4ade2,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-A.mp3,true,9,0,1.15627822805,2,Medoid representative in full combined space.
The DoneFors,Lead Me,contrast_1,PXL,PXL University College,PXL-L1.mp3,PXL-L1,mix_d5b28dfc8a93,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\PXL-L1.mp3,true,7,2.5765061173,5.67546160003,2,Contrast selected for high full-space separation while avoiding Stage 3 near-duplicate pairs. Flagged for manual listening as a high robust-outlier-score mix.
The DoneFors,Lead Me,contrast_2,DU,Dalarna University,DU-D.mp3,DU-D,mix_f1f7973e5bac,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-D.mp3,true,8,2.90592647939,6.89506184189,2,Contrast selected for high full-space separation while avoiding Stage 3 near-duplicate pairs. Flagged for manual listening as a high robust-outlier-score mix.
The DoneFors,Pouring Room,representative,McG,McGill University,McG-Q.mp3,McG-Q,mix_0ddb25d6180b,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-Q.mp3,true,9,0,2.18198660794,1,Medoid representative in full combined space.
The DoneFors,Pouring Room,contrast_1,McG,McGill University,McG-pro1.mp3,McG-pro1,mix_132e75f34470,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-pro1.mp3,true,6,1.91632161813,3.86824100136,1,Contrast selected for high full-space separation while avoiding Stage 3 near-duplicate pairs.
The DoneFors,Pouring Room,contrast_2,McG,McGill University,McG-X.mp3,McG-X,mix_cbf8555ee2b2,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-X.mp3,true,9,1.95450383185,4.28345935679,1,Contrast selected for high full-space separation while avoiding Stage 3 near-duplicate pairs.
