artist,song,role,institution,original_dataset_filename,original_mix_name,mix_id,source_path,preview_filename,raw_loudness_RMS,purpose
Broken Crank,Red To Blue,representative,McGill University,McG-A.mp3,McG-A,mix_e2654ec905ad,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-A.mp3,Red To Blue/representative/McG-A_28sec.wav,0.0523102395236,"Stage 4 sanity listening; no loudness normalisation, limiting or compression"
Broken Crank,Red To Blue,contrast_1,McGill University,McG-B.mp3,McG-B,mix_7ac13e0b6376,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-B.mp3,Red To Blue/contrast_1/McG-B_28sec.wav,0.0454737171531,"Stage 4 sanity listening; no loudness normalisation, limiting or compression"
Broken Crank,Red To Blue,contrast_2,McGill University,McG-F.mp3,McG-F,mix_dcc6aef84d67,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-F.mp3,Red To Blue/contrast_2/McG-F_28sec.wav,0.0481000468135,"Stage 4 sanity listening; no loudness normalisation, limiting or compression"
Fredy V,In The Meantime,representative,Universidade Católica Portuguesa,UCP-A4.mp3,UCP-A4,mix_efdedc0a36e7,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A4.mp3,In The Meantime/representative/UCP-A4_28sec.wav,0.0551882460713,"Stage 4 sanity listening; no loudness normalisation, limiting or compression"
Fredy V,In The Meantime,contrast_1,Dalarna University,DU-J.mp3,DU-J,mix_22efc79c8253,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-J.mp3,In The Meantime/contrast_1/DU-J_28sec.wav,0.0524793677032,"Stage 4 sanity listening; no loudness normalisation, limiting or compression"
Fredy V,In The Meantime,contrast_2,Queensland University of Technology,QUT-B.mp3,QUT-B,mix_c7bdcba64775,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-B.mp3,In The Meantime/contrast_2/QUT-B_28sec.wav,0.0560294315219,"Stage 4 sanity listening; no loudness normalisation, limiting or compression"
The DoneFors,Lead Me,representative,McGill University,McG-A.mp3,McG-A,mix_9346b5d4ade2,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-A.mp3,Lead Me/representative/McG-A_28sec.wav,0.0656963214278,"Stage 4 sanity listening; no loudness normalisation, limiting or compression"
The DoneFors,Lead Me,contrast_1,PXL University College,PXL-L1.mp3,PXL-L1,mix_d5b28dfc8a93,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\PXL-L1.mp3,Lead Me/contrast_1/PXL-L1_28sec.wav,0.0591329820454,"Stage 4 sanity listening; no loudness normalisation, limiting or compression"
The DoneFors,Lead Me,contrast_2,Dalarna University,DU-D.mp3,DU-D,mix_f1f7973e5bac,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-D.mp3,Lead Me/contrast_2/DU-D_28sec.wav,0.0625870004296,"Stage 4 sanity listening; no loudness normalisation, limiting or compression"
The DoneFors,Pouring Room,representative,McGill University,McG-Q.mp3,McG-Q,mix_0ddb25d6180b,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-Q.mp3,Pouring Room/representative/McG-Q_28sec.wav,0.0592991933227,"Stage 4 sanity listening; no loudness normalisation, limiting or compression"
The DoneFors,Pouring Room,contrast_1,McGill University,McG-pro1.mp3,McG-pro1,mix_132e75f34470,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-pro1.mp3,Pouring Room/contrast_1/McG-pro1_28sec.wav,0.0646217316389,"Stage 4 sanity listening; no loudness normalisation, limiting or compression"
The DoneFors,Pouring Room,contrast_2,McGill University,McG-X.mp3,McG-X,mix_cbf8555ee2b2,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-X.mp3,Pouring Room/contrast_2/McG-X_28sec.wav,0.0612343810499,"Stage 4 sanity listening; no loudness normalisation, limiting or compression"
