pipeline_scope,artist,song,rating_condition_or_pool,original_mix_name,output_path,canonical_source_path,loudness_policy,old_fade_in_ms,old_fade_out_ms,new_fade_in_ms,new_fade_out_ms,fade_shape,sample_rate,channels,duration_seconds,sample_count,LUFS_before,LUFS_after,true_peak_before,true_peak_after,clipping,start_discontinuity_before,start_discontinuity_after,end_discontinuity_before,end_discontinuity_after,boundary_click_qc,sha256_before,sha256_after,regeneration_status,validation_status,notes
main,Broken Crank,Red To Blue,acoustic candidate pool,McG-C,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Red To Blue\McG-C_28sec.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-C.mp3,preserve_raw_level,1000,1000,5,5,half_cosine,44100,2,28,1234800,-23.4606503689,-23.4606503689,0.347717285156,0.347717285156,false,0.033865917474,0.0212097167969,0.0255553536117,0.0181579589844,pass,853fa7ff05ce7ab411be9012f452e5267f434f67890bdf8319ef839d6a83c569,853fa7ff05ce7ab411be9012f452e5267f434f67890bdf8319ef839d6a83c569,regenerated_from_canonical_source,pass,
main,Broken Crank,Red To Blue,acoustic candidate pool,McG-H,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Red To Blue\McG-H_28sec.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-H.mp3,preserve_raw_level,1000,1000,5,5,half_cosine,44100,2,28,1234800,-23.2709875377,-23.2709875377,0.269226074219,0.269226074219,false,0.0329205170274,0.0149536132812,0.0261715501547,0.0258483886719,pass,d7c85ff4cfcdbe6e94a9e092b18d81cd2d1b2a3bf4a669578889ec0e74b398c4,d7c85ff4cfcdbe6e94a9e092b18d81cd2d1b2a3bf4a669578889ec0e74b398c4,regenerated_from_canonical_source,pass,
main,Broken Crank,Red To Blue,acoustic candidate pool,McG-B,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Red To Blue\McG-B_28sec.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-B.mp3,preserve_raw_level,1000,1000,5,5,half_cosine,44100,2,28,1234800,-24.4271012874,-24.4271012874,0.355499267578,0.355499267578,false,0.0265040080994,0.00982666015625,0.014594482258,0.0145874023438,pass,9fb2811d9bf6eeaca7388a8d41098b06466ec8e2528843d86743e4e6f3844125,9fb2811d9bf6eeaca7388a8d41098b06466ec8e2528843d86743e4e6f3844125,regenerated_from_canonical_source,pass,
main,Broken Crank,Red To Blue,acoustic candidate pool,McG-pro1,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Red To Blue\McG-pro1_28sec.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-pro1.mp3,preserve_raw_level,1000,1000,5,5,half_cosine,44100,2,28,1234800,-24.8476817844,-24.8476817844,0.29296875,0.29296875,false,0.0289512239397,0.0287170410156,0.013908687979,0.0132446289062,pass,09d9638198b6645a624b5f3cc1dc9e112236e0f7dffce863bc01c2426d52b83f,09d9638198b6645a624b5f3cc1dc9e112236e0f7dffce863bc01c2426d52b83f,regenerated_from_canonical_source,pass,
main,Broken Crank,Red To Blue,acoustic candidate pool,McG-D,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Red To Blue\McG-D_28sec.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-D.mp3,preserve_raw_level,1000,1000,5,5,half_cosine,44100,2,28,1234800,-24.0046936738,-24.0046936738,0.354827880859,0.354827880859,false,0.0241023674607,0.00836181640625,0.0165173746645,0.0160522460938,pass,83b9a844a0e8d3fa9b594d0e98194896cba4b6e020fd54a8a2c03c533c69f764,83b9a844a0e8d3fa9b594d0e98194896cba4b6e020fd54a8a2c03c533c69f764,regenerated_from_canonical_source,pass,
main,Broken Crank,Red To Blue,acoustic candidate pool,McG-pro,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Red To Blue\McG-pro_28sec.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-pro.mp3,preserve_raw_level,1000,1000,5,5,half_cosine,44100,2,28,1234800,-24.8476817844,-24.8476817844,0.29296875,0.29296875,false,0.0289512239397,0.0287170410156,0.013908687979,0.0132446289062,pass,09d9638198b6645a624b5f3cc1dc9e112236e0f7dffce863bc01c2426d52b83f,09d9638198b6645a624b5f3cc1dc9e112236e0f7dffce863bc01c2426d52b83f,regenerated_from_canonical_source,pass,
main,Broken Crank,Red To Blue,acoustic candidate pool,McG-G,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Red To Blue\McG-G_28sec.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-G.mp3,preserve_raw_level,1000,1000,5,5,half_cosine,44100,2,28,1234800,-23.9585175572,-23.9585175572,0.298309326172,0.298309326172,false,0.023529348895,0.0213623046875,0.0222223624587,0.0101318359375,pass,7cbbe9b890e9269cf258ccac88f81689dcf2bf66a1195596168377b38bd871ec,7cbbe9b890e9269cf258ccac88f81689dcf2bf66a1195596168377b38bd871ec,regenerated_from_canonical_source,pass,
main,Broken Crank,Red To Blue,acoustic candidate pool,McG-F,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Red To Blue\McG-F_28sec.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-F.mp3,preserve_raw_level,1000,1000,5,5,half_cosine,44100,2,28,1234800,-23.7978950382,-23.7978950382,0.254241943359,0.254241943359,false,0.0271328166127,0.01171875,0.0207047872245,0.0206909179688,pass,b208aa93c9eedc1f492980d9d3e2792338715b6b131ba7bd4c183900eb990c49,b208aa93c9eedc1f492980d9d3e2792338715b6b131ba7bd4c183900eb990c49,regenerated_from_canonical_source,pass,
main,Broken Crank,Red To Blue,acoustic candidate pool,McG-A,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Red To Blue\McG-A_28sec.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-A.mp3,preserve_raw_level,1000,1000,5,5,half_cosine,44100,2,28,1234800,-23.6984436458,-23.6984436458,0.328735351562,0.328735351562,false,0.0268774423748,0.00784301757812,0.0153531171381,0.015380859375,pass,28619a0b0961680c5dcb064be6b622f4c992ccbc0b7598df488219a93b65f607,28619a0b0961680c5dcb064be6b622f4c992ccbc0b7598df488219a93b65f607,regenerated_from_canonical_source,pass,
main,Broken Crank,Red To Blue,acoustic candidate pool,McG-E,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Red To Blue\McG-E_28sec.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-E.mp3,preserve_raw_level,1000,1000,5,5,half_cosine,44100,2,28,1234800,-23.8573039462,-23.8573039462,0.322082519531,0.322082519531,false,0.0307239443064,0.0111999511719,0.018023699522,0.0180053710938,pass,d1695b80bdc399e5cbe995d77c75f1ecc77f354346bd4b3b4c13bae6f55192f6,d1695b80bdc399e5cbe995d77c75f1ecc77f354346bd4b3b4c13bae6f55192f6,regenerated_from_canonical_source,pass,
