artist,song,mix_id,institution_code,original_dataset_filename,original_mix_name,original_source_path,mapping_valid,mapping_notes
Broken Crank,Red To Blue,mix_5143d2ee3859,McG,McG-C.mp3,McG-C,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-C.mp3,true,derived from source_path basename
Broken Crank,Red To Blue,mix_5b76bf1a027d,McG,McG-H.mp3,McG-H,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-H.mp3,true,derived from source_path basename
Broken Crank,Red To Blue,mix_7ac13e0b6376,McG,McG-B.mp3,McG-B,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-B.mp3,true,derived from source_path basename
Broken Crank,Red To Blue,mix_808780e357c9,McG,McG-pro1.mp3,McG-pro1,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-pro1.mp3,true,derived from source_path basename
Broken Crank,Red To Blue,mix_8978729ff911,McG,McG-D.mp3,McG-D,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-D.mp3,true,derived from source_path basename
Broken Crank,Red To Blue,mix_906e7f7daf44,McG,McG-pro.mp3,McG-pro,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-pro.mp3,true,derived from source_path basename
Broken Crank,Red To Blue,mix_b4b312ffa4d6,McG,McG-G.mp3,McG-G,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-G.mp3,true,derived from source_path basename
Broken Crank,Red To Blue,mix_dcc6aef84d67,McG,McG-F.mp3,McG-F,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-F.mp3,true,derived from source_path basename
Broken Crank,Red To Blue,mix_e2654ec905ad,McG,McG-A.mp3,McG-A,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-A.mp3,true,derived from source_path basename
Broken Crank,Red To Blue,mix_f4f9bdec5b71,McG,McG-E.mp3,McG-E,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-E.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_027ec3f8b8f1,McG,McG-pro.mp3,McG-pro,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-pro.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_13f0eed08780,QUT,QUT-A.mp3,QUT-A,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-A.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_145577f61939,McG,McG-C.mp3,McG-C,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-C.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_20a1372ac49d,UCP,UCP-A2.mp3,UCP-A2,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A2.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_22efc79c8253,DU,DU-J.mp3,DU-J,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-J.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_29131e66c9d7,DU,DU-N.mp3,DU-N,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-N.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_2d589c003982,PXL,PXL-S2.mp3,PXL-S2,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S2.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_2eae3034bad8,PXL,PXL-S1.mp3,PXL-S1,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S1.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_2f518e7b8633,QUT,QUT-I.mp3,QUT-I,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-I.mp3,true,derived from source_path basename
Fredy V,In The Meantime,mix_302f0efe8a80,DU,DU-H.mp3,DU-H,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-H.mp3,true,derived from source_path basename
