original_path,final_path,filename,sha256_before,sha256_after,classification,action,reason,reference_count_before,validation_status,notes
outputs/stimulus_selection/.gitkeep,outputs/stimulus_selection/archive_unused/legacy_layout/.gitkeep,.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,archive_unused,archived,legacy placeholder,0,PASS,
outputs/stimulus_selection/alignment_results.csv,outputs/stimulus_selection/02_excerpt_selection/tables/alignment_results.csv,alignment_results.csv,2302e203a0e52686da195b1030e5e83fa16d9e9d3e8be5123a1106e88ad54db0,2302e203a0e52686da195b1030e5e83fa16d9e9d3e8be5123a1106e88ad54db0,02_excerpt_selection,moved,alignment/excerpt table,12,PASS,
outputs/stimulus_selection/all_triplet_scores.csv,outputs/stimulus_selection/04_mix_selection/tables/all_triplet_scores.csv,all_triplet_scores.csv,331b007b697b9b35071fcf42cc4ab3a9964e4f7f34294cd032b13adc5281ce82,331b007b697b9b35071fcf42cc4ab3a9964e4f7f34294cd032b13adc5281ce82,04_mix_selection,moved,computational mix-selection table,3,PASS,
outputs/stimulus_selection/approved_excerpt_preview_manifest.csv,outputs/stimulus_selection/02_excerpt_selection/tables/approved_excerpt_preview_manifest.csv,approved_excerpt_preview_manifest.csv,77f5b647246f63033cc3609eb8711745503f95cdd875f1018eb7bb959fafc7bd,77f5b647246f63033cc3609eb8711745503f95cdd875f1018eb7bb959fafc7bd,02_excerpt_selection,moved,alignment/excerpt table,3,PASS,
outputs/stimulus_selection/bark_pca_explained_variance.csv,outputs/stimulus_selection/04_mix_selection/tables/bark_pca_explained_variance.csv,bark_pca_explained_variance.csv,4539b509df5936ac601d916ba248abbe5ef1260e134c19c8c155f8f98169f2b7,4539b509df5936ac601d916ba248abbe5ef1260e134c19c8c155f8f98169f2b7,04_mix_selection,moved,computational mix-selection table,2,PASS,
outputs/stimulus_selection/bark_pca_loadings.csv,outputs/stimulus_selection/04_mix_selection/tables/bark_pca_loadings.csv,bark_pca_loadings.csv,ad9b0182a2d3feaea41b4a17be2e7cf56b36ff450e2d7e399610bceda28b8fd7,ad9b0182a2d3feaea41b4a17be2e7cf56b36ff450e2d7e399610bceda28b8fd7,04_mix_selection,moved,computational mix-selection table,2,PASS,
outputs/stimulus_selection/bark_pca_scores.csv,outputs/stimulus_selection/04_mix_selection/tables/bark_pca_scores.csv,bark_pca_scores.csv,01fdea47085776345f6d8634a326f9fa4cf5031abe131ed04023adc687287a30,01fdea47085776345f6d8634a326f9fa4cf5031abe131ed04023adc687287a30,04_mix_selection,moved,computational mix-selection table,3,PASS,
outputs/stimulus_selection/bark_preprocessing_parameters.csv,outputs/stimulus_selection/04_mix_selection/tables/bark_preprocessing_parameters.csv,bark_preprocessing_parameters.csv,05fca9fee77605ab92cdccdd2d5a9181cd153a5b2c93d40c7b780ba42d7a4f0c,05fca9fee77605ab92cdccdd2d5a9181cd153a5b2c93d40c7b780ba42d7a4f0c,04_mix_selection,moved,computational mix-selection table,2,PASS,
outputs/stimulus_selection/bark_summary_by_song.csv,outputs/stimulus_selection/03_feature_extraction/tables/bark_summary_by_song.csv,bark_summary_by_song.csv,17adf6d09e5b62a322940b753cf881ab8737cae4875f4e0818aac8ac19775717,17adf6d09e5b62a322940b753cf881ab8737cae4875f4e0818aac8ac19775717,03_feature_extraction,moved,feature extraction table,3,PASS,
outputs/stimulus_selection/candidate_song_ranking.csv,outputs/stimulus_selection/01_dataset_and_song_selection/tables/candidate_song_ranking.csv,candidate_song_ranking.csv,9333f10b0bf082356fa8a1be46f61f9e0b1acc082211ab7752ac6b42d99667a2,9333f10b0bf082356fa8a1be46f61f9e0b1acc082211ab7752ac6b42d99667a2,01_dataset_and_song_selection,moved,dataset and song-selection table,2,PASS,
