source_row,participant_id,source_study_id,group,assigned_songs,n_episodes_completed,n_song_episode_trials_completed,n_ratings,n_comments,missing_ratings,missing_comments,malformed_ratings,duplicated_trial_rating_combinations,unexpected_songs,unexpected_mixes,unexpected_contexts,duplicate_classification,duplicate_evidence,complete_submission,include_recommended,exclusion_reason,requires_manual_review,recommended_action
1,P033,77845318-46d4-47c6-8e4b-0bc5b4bb5d14,group_02,in_the_meantime|pouring_room,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
2,P032,d8ae4f0f-519c-4bc4-9922-0be00f14695c,group_02,in_the_meantime|pouring_room,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
3,P031,fcb31938-2808-4afb-b049-94833dd61e65,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
4,P030,831c9cc5-c7a7-4330-8e58-8a69c8c2c531,group_02,in_the_meantime|pouring_room,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
5,P029,6d8ef77f-2a61-4a69-bb17-ec3cb85f25ec,group_02,in_the_meantime|pouring_room,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
6,P028,9bca617f-2167-4184-8bdb-9a1093c45c5c,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
7,P027,6ee106cf-7444-47d8-8f6b-b40b4df46ab9,group_02,in_the_meantime|pouring_room,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
8,P026,8b1bf749-1b2a-448f-8f73-5a367b919d5d,group_02,in_the_meantime|pouring_room,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
9,P025,42dd622a-cc3c-4d61-982e-8d96e2fa6c5f,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
10,P024,b21a8a5b-9dea-4dde-832f-f184fbe32e4f,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
11,P023,8db44dd4-4485-4ca6-8392-f6ecb37c16bc,group_02,in_the_meantime|pouring_room,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
12,P022,7f345780-e8e4-484c-aadf-5812b7df7a6a,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
13,P021,4aebdeb9-2896-487d-9c41-aa62dd252485,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
