metadata_variable,raw_representation,count,missing_count,unique_values,proposed_analysis_representation
age_range,25_34,24,0,5,preserve as collected; trimmed whitespace only
age_range,18_24,6,0,5,preserve as collected; trimmed whitespace only
age_range,35_44,1,0,5,preserve as collected; trimmed whitespace only
age_range,45_54,1,0,5,preserve as collected; trimmed whitespace only
age_range,55_64,1,0,5,preserve as collected; trimmed whitespace only
gender,man,17,1,3,preserve as collected; trimmed whitespace only
gender,woman,15,1,3,preserve as collected; trimmed whitespace only
gender,<missing>,1,1,3,preserve as collected; trimmed whitespace only
cultural_influence_country,Mexico,4,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,Japan,2,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,India,2,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,UK,2,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,"Greece, UK",1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,"USA, UK",1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,"Mexico, USA",1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,"India, USA, UK",1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,"Italy, UK",1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,"India, UK",1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,"Japan.  (and British Rock, American Rock)",1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,Sería Estados Unidos y países de Europa y un poco lo la yo me como aquí en Mexic,1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,"Mexico, UK, South Korea",1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,korea,1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,"Mexico, USA, UK",1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,China、Japan、USA,1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,Korea,1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,USA,1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,latin,1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,uk,1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,"Taiwan, with a very strong influence from US hip-hop since my teenage years.",1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,United states,1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,United States,1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,"English-spoken Rock and Pop music. Mexican Music, most of all genders. Bossa Nov",1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,South korea,1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,"Mexico, Puerto Rico, USA",1,0,27,preserve as collected; trimmed whitespace only
cultural_influence_country,"America, i like slow indie music",1,0,27,preserve as collected; trimmed whitespace only
music_listening_habits,daily,29,0,2,preserve as collected; trimmed whitespace only
music_listening_habits,several_times_week,4,0,2,preserve as collected; trimmed whitespace only
music_production_or_audio_engineering_experience,none,18,0,4,preserve as collected; trimmed whitespace only
music_production_or_audio_engineering_experience,basic,10,0,4,preserve as collected; trimmed whitespace only
music_production_or_audio_engineering_experience,intermediate,3,0,4,preserve as collected; trimmed whitespace only
music_production_or_audio_engineering_experience,advanced,2,0,4,preserve as collected; trimmed whitespace only
hearing_difficulty,no,33,0,1,preserve as collected; trimmed whitespace only
scenario_immersion,4,14,0,5,preserve as collected; trimmed whitespace only
scenario_immersion,5,12,0,5,preserve as collected; trimmed whitespace only
scenario_immersion,3,5,0,5,preserve as collected; trimmed whitespace only
scenario_immersion,2,1,0,5,preserve as collected; trimmed whitespace only
scenario_immersion,1,1,0,5,preserve as collected; trimmed whitespace only
task_difficulty,2,11,0,5,preserve as collected; trimmed whitespace only
task_difficulty,4,8,0,5,preserve as collected; trimmed whitespace only
task_difficulty,3,8,0,5,preserve as collected; trimmed whitespace only
task_difficulty,1,5,0,5,preserve as collected; trimmed whitespace only
task_difficulty,5,1,0,5,preserve as collected; trimmed whitespace only
prior_excerpt_familiarity,no,31,0,2,preserve as collected; trimmed whitespace only
prior_excerpt_familiarity,yes,2,0,2,preserve as collected; trimmed whitespace only
headphones_or_earphones_used,earphones,17,0,3,preserve as collected; trimmed whitespace only
headphones_or_earphones_used,headphones,9,0,3,preserve as collected; trimmed whitespace only
headphones_or_earphones_used,phone_or_laptop_speakers,7,0,3,preserve as collected; trimmed whitespace only
completion_location_or_environment,quiet_private_space,31,0,2,preserve as collected; trimmed whitespace only
completion_location_or_environment,shared_indoor_space,2,0,2,preserve as collected; trimmed whitespace only
