participant_id,source_study_id,group,started_at,completed_at,created_at,duration_seconds,age_range,gender,cultural_influence_country,music_listening_habits,music_production_or_audio_engineering_experience,hearing_difficulty,scenario_immersion,task_difficulty,prior_excerpt_familiarity,headphones_or_earphones_used,completion_location_or_environment,listening_setup_completed,pre_study_passed,n_ratings,n_trials,n_songs,n_episodes
P030,831c9cc5-c7a7-4330-8e58-8a69c8c2c531,group_02,2026-08-17 03:16:27.144,2026-08-17 03:30:41.808,2026-08-17 03:30:42.564,855.0,25_34,woman,Mexico,daily,none,no,4,2,no,earphones,quiet_private_space,True,True,30,6,2,3
P029,6d8ef77f-2a61-4a69-bb17-ec3cb85f25ec,group_02,2026-08-17 03:05:30.479,2026-08-17 03:16:25.374,2026-08-17 03:16:26.033,655.0,25_34,man,"USA, UK",daily,basic,no,5,1,no,headphones,quiet_private_space,True,True,30,6,2,3
P028,9bca617f-2167-4184-8bdb-9a1093c45c5c,group_01,2026-08-17 02:41:57.890,2026-08-17 03:00:35.035,2026-08-17 03:00:35.674,1117.0,25_34,woman,"Greece, UK",daily,basic,no,5,2,no,headphones,quiet_private_space,True,True,30,6,2,3
P027,6ee106cf-7444-47d8-8f6b-b40b4df46ab9,group_02,2026-08-17 02:28:34.466,2026-08-17 02:41:55.422,2026-08-17 02:41:56.092,801.0,25_34,man,"India, UK",daily,basic,no,5,1,no,earphones,quiet_private_space,True,True,30,6,2,3
P026,8b1bf749-1b2a-448f-8f73-5a367b919d5d,group_02,2026-08-17 01:54:40.526,2026-08-17 02:13:46.444,2026-08-17 02:13:45.684,1146.0,25_34,woman,Mexico,several_times_week,none,no,5,2,no,earphones,quiet_private_space,True,True,30,6,2,3
P025,42dd622a-cc3c-4d61-982e-8d96e2fa6c5f,group_01,2026-08-17 01:48:28.628,2026-08-17 02:08:43.084,2026-08-17 02:08:43.706,1214.0,25_34,man,"Mexico, USA",daily,none,no,5,2,no,earphones,quiet_private_space,True,True,30,6,2,3
P024,b21a8a5b-9dea-4dde-832f-f184fbe32e4f,group_01,2026-08-17 01:22:13.649,2026-08-17 01:48:07.423,2026-08-17 01:48:08.037,1554.0,25_34,woman,"India, USA, UK",daily,none,no,3,3,no,earphones,quiet_private_space,True,True,30,6,2,3
P023,8db44dd4-4485-4ca6-8392-f6ecb37c16bc,group_02,2026-08-17 00:56:10.403,2026-08-17 01:17:48.731,2026-08-17 01:17:49.376,1298.0,18_24,woman,"Italy, UK",several_times_week,none,no,4,3,no,earphones,quiet_private_space,True,True,30,6,2,3
P022,7f345780-e8e4-484c-aadf-5812b7df7a6a,group_01,2026-08-17 00:39:47.261,2026-08-17 00:56:07.256,2026-08-17 00:56:07.834,980.0,18_24,man,"Mexico, UK, South Korea",daily,basic,no,5,2,no,earphones,quiet_private_space,True,True,30,6,2,3
P021,4aebdeb9-2896-487d-9c41-aa62dd252485,group_01,2026-08-16 18:57:31.860,2026-08-16 19:30:38.429,2026-08-16 19:30:38.815,1987.0,25_34,man,Sería Estados Unidos y países de Europa y un poco lo la yo me como aquí en Mexic,daily,intermediate,no,5,5,no,headphones,quiet_private_space,True,True,30,6,2,3
P020,a8c1b8a2-4d90-4d02-ae5c-ca62c59baee3,group_02,,2026-08-16 15:46:42.419,2026-08-16 15:46:42.957,,25_34,woman,korea,daily,none,no,5,1,yes,earphones,quiet_private_space,True,True,30,6,2,3
P019,2b70dac9-13a2-40ed-a8e6-36d1db564427,group_02,2026-08-14 15:34:49.569,2026-08-14 16:00:21.570,2026-08-14 16:00:22.699,1532.0,25_34,man,"Mexico, USA, UK",daily,basic,no,4,1,no,earphones,quiet_private_space,True,True,30,6,2,3
P018,ff39c00d-a39e-42cf-82dc-aa2d53634c00,group_02,2026-08-14 06:07:14.386,2026-08-14 06:38:54.281,2026-08-14 06:38:55.622,1900.0,25_34,man,USA,daily,none,no,3,4,no,phone_or_laptop_speakers,quiet_private_space,True,True,30,6,2,3
P017,85ea48f4-419e-432f-8152-27f32b0660cd,group_02,2026-08-14 03:33:19.162,2026-08-14 03:58:43.502,2026-08-14 03:58:43.892,1524.0,25_34,woman,Mexico,daily,none,no,4,4,no,earphones,shared_indoor_space,True,True,30,6,2,3
P016,924c5d19-be5e-4ac5-b94c-018e391ff43b,group_01,2026-08-13 16:37:56.251,2026-08-14 01:37:50.756,2026-08-14 01:37:51.454,32395.0,25_34,woman,latin,daily,advanced,no,3,4,no,headphones,quiet_private_space,True,True,30,6,2,3
P015,0597b66c-700b-42cb-8703-947fc40bedd1,group_01,2026-08-13 16:41:54.900,2026-08-13 17:22:58.536,2026-08-13 17:22:59.945,2464.0,18_24,,China、Japan、USA,daily,basic,no,5,3,no,headphones,quiet_private_space,True,True,30,6,2,3
P014,846bdf44-8cc9-4160-b03f-b98fa1ccd124,group_01,2026-08-13 10:28:38.002,2026-08-13 10:43:18.642,2026-08-13 10:43:20.067,881.0,25_34,woman,Korea,daily,none,no,2,4,no,earphones,quiet_private_space,True,True,30,6,2,3
P013,1a2336e5-c74e-4367-b901-13a7d89ae43e,group_02,2026-08-12 19:08:44.753,2026-08-12 20:20:45.831,2026-08-12 20:20:46.905,4321.0,25_34,man,"Taiwan, with a very strong influence from US hip-hop since my teenage years.",daily,intermediate,no,4,4,no,earphones,quiet_private_space,True,True,30,6,2,3
