column_name,dtype,missing_count,missing_fraction,non_missing_count,unique_non_missing,duplicate_column_name,obviously_empty,column_role,json_parse_errors,workbook_sheets
study_id,object,0,0.0,30,30,False,False,participant_or_group_identifier,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
study_version,object,0,0.0,30,1,False,False,form_or_backend_metadata,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
schema_version,object,0,0.0,30,1,False,False,form_or_backend_metadata,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
stimulus_configuration_version,object,0,0.0,30,1,False,False,form_or_backend_metadata,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
source_version,object,0,0.0,30,1,False,False,form_or_backend_metadata,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
submission_status,object,0,0.0,30,1,False,False,form_or_backend_metadata,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
study_group,object,0,0.0,30,2,False,False,participant_or_group_identifier,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
group_id,object,0,0.0,30,2,False,False,participant_or_group_identifier,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
started_at,datetime64[ns],1,0.03333333333333333,29,29,False,False,timestamp,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
completed_at,datetime64[ns],0,0.0,30,30,False,False,timestamp,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
duration_seconds,float64,1,0.03333333333333333,29,28,False,False,form_or_backend_metadata,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
trial_count,int64,0,0.0,30,1,False,False,completion_count,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
version_count,int64,0,0.0,30,1,False,False,completion_count,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
rating_count,int64,0,0.0,30,1,False,False,completion_count,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
comment_count,int64,0,0.0,30,1,False,False,completion_count,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
consent_confirmed,bool,0,0.0,30,1,False,False,form_or_backend_metadata,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
consent_json,object,0,0.0,30,30,False,False,participant_metadata_json,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
listening_setup_json,object,0,0.0,30,30,False,False,participant_metadata_json,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
pre_study_json,object,0,0.0,30,30,False,False,participant_metadata_json,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
practice_json,object,0,0.0,30,30,False,False,structured_json,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
demographics_json,object,0,0.0,30,29,False,False,participant_metadata_json,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
post_task_json,object,0,0.0,30,26,False,False,participant_metadata_json,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
assigned_song_ids_json,object,0,0.0,30,2,False,False,structured_json,0,"[{""sheet_name"": ""listening-study-5mix"", ""row_count"": 30, ""column_count"": 40}, {""sheet_name"": ""Hoja1"", ""row_count"": 0, ""column_count"": 0}]"
