participant_id,group,song_id,episode,trial_id,trial_index,candidate_count,unique_candidate_count,rating_count,comment_count,distinct_comment_count,max_rating,n_tied_winners,tie_flag,preferred_mix_id,preferred_stimulus_id,preferred_presentation_label,expected_five_candidates,comments_present
P001,group_01,id_like_to_know,EDR-1,P001__trial_06,6,5,5,5,5,1,75,1,False,mix_9ffcd672af17,id_like_to_know_pxl_s1,D,True,True
P001,group_01,id_like_to_know,EDR-2,P001__trial_03,3,5,5,5,5,1,82,1,False,mix_6f8b655d7999,id_like_to_know_pxl_s2,B,True,True
P001,group_01,id_like_to_know,FM-1,P001__trial_02,2,5,5,5,5,1,80,1,False,mix_9ffcd672af17,id_like_to_know_pxl_s1,E,True,True
P001,group_01,lead_me,EDR-1,P001__trial_05,5,5,5,5,5,1,72,1,False,mix_f1f7973e5bac,lead_me_du_d,C,True,True
P001,group_01,lead_me,EDR-2,P001__trial_04,4,5,5,5,5,1,77,1,False,mix_c7d9a071ba25,lead_me_pxl_l4,E,True,True
P001,group_01,lead_me,FM-1,P001__trial_01,1,5,5,5,5,1,53,1,False,mix_c7d9a071ba25,lead_me_pxl_l4,E,True,True
P002,group_01,id_like_to_know,EDR-1,P002__trial_03,3,5,5,5,5,1,76,1,False,mix_b393d3919c78,id_like_to_know_pxl_s7,A,True,True
P002,group_01,id_like_to_know,EDR-2,P002__trial_01,1,5,5,5,5,1,75,1,False,mix_9ffcd672af17,id_like_to_know_pxl_s1,B,True,True
P002,group_01,id_like_to_know,FM-1,P002__trial_06,6,5,5,5,5,1,74,1,False,mix_65f41f41d3ab,id_like_to_know_pxl_s3,C,True,True
P002,group_01,lead_me,EDR-1,P002__trial_04,4,5,5,5,5,1,77,1,False,mix_f1f7973e5bac,lead_me_du_d,C,True,True
P002,group_01,lead_me,EDR-2,P002__trial_02,2,5,5,5,5,1,82,1,False,mix_d3e3580b6e30,lead_me_mcg_pro2,B,True,True
P002,group_01,lead_me,FM-1,P002__trial_05,5,5,5,5,5,1,76,1,False,mix_d3e3580b6e30,lead_me_mcg_pro2,C,True,True
P003,group_01,id_like_to_know,EDR-1,P003__trial_02,2,5,5,5,5,1,86,1,False,mix_b393d3919c78,id_like_to_know_pxl_s7,C,True,True
P003,group_01,id_like_to_know,EDR-2,P003__trial_04,4,5,5,5,5,1,91,1,False,mix_6f8b655d7999,id_like_to_know_pxl_s2,D,True,True
P003,group_01,id_like_to_know,FM-1,P003__trial_05,5,5,5,5,5,1,87,1,False,mix_b393d3919c78,id_like_to_know_pxl_s7,D,True,True
P003,group_01,lead_me,EDR-1,P003__trial_01,1,5,5,5,5,1,86,1,False,mix_d3e3580b6e30,lead_me_mcg_pro2,E,True,True
P003,group_01,lead_me,EDR-2,P003__trial_03,3,5,5,5,5,1,86,1,False,mix_271852ba8676,lead_me_du_e,D,True,True
P003,group_01,lead_me,FM-1,P003__trial_06,6,5,5,5,5,1,86,1,False,mix_271852ba8676,lead_me_du_e,B,True,True
P004,group_01,id_like_to_know,EDR-1,P004__trial_03,3,5,5,5,5,1,82,1,False,mix_b393d3919c78,id_like_to_know_pxl_s7,C,True,True
P004,group_01,id_like_to_know,EDR-2,P004__trial_05,5,5,5,5,5,1,90,1,False,mix_6f8b655d7999,id_like_to_know_pxl_s2,D,True,True
P004,group_01,id_like_to_know,FM-1,P004__trial_02,2,5,5,5,5,1,75,1,False,mix_82d60d7c7fc5,id_like_to_know_pxl_s5,E,True,True
P004,group_01,lead_me,EDR-1,P004__trial_04,4,5,5,5,5,1,82,1,False,mix_d3e3580b6e30,lead_me_mcg_pro2,D,True,True
P004,group_01,lead_me,EDR-2,P004__trial_06,6,5,5,5,5,1,92,1,False,mix_d5b28dfc8a93,lead_me_pxl_l1,E,True,True
P004,group_01,lead_me,FM-1,P004__trial_01,1,5,5,5,5,1,88,1,False,mix_f1f7973e5bac,lead_me_du_d,A,True,True
P005,group_02,in_the_meantime,EDR-1,P005__trial_05,5,5,5,5,5,1,84,1,False,mix_9baa86357fd4,in_the_meantime_du_i,E,True,True
P005,group_02,in_the_meantime,EDR-2,P005__trial_04,4,5,5,5,5,1,85,1,False,mix_c7bdcba64775,in_the_meantime_qut_b,E,True,True
P005,group_02,in_the_meantime,FM-1,P005__trial_01,1,5,5,5,5,1,83,1,False,mix_cdaef40f2b94,in_the_meantime_qut_pro,A,True,True
P005,group_02,pouring_room,EDR-1,P005__trial_06,6,5,5,5,5,1,83,1,False,mix_e08faaf8bbb3,pouring_room_mcg_v,E,True,True
P005,group_02,pouring_room,EDR-2,P005__trial_03,3,5,5,5,5,1,83,1,False,mix_be2ccd4c43ff,pouring_room_mcg_t,D,True,True
P005,group_02,pouring_room,FM-1,P005__trial_02,2,5,5,5,5,1,53,1,False,mix_e08faaf8bbb3,pouring_room_mcg_v,E,True,True
