participant_id,group,song_id,episode,highest_rating,highest_rated_mix,highest_rated_stimulus,is_tie,n_joint_winners
P001,group_01,lead_me,EDR-1,80.26577377748997,mix_271852ba8676,lead_me_du_e,False,1
P001,group_01,lead_me,EDR-2,72.49277312427672,mix_d3e3580b6e30,lead_me_mcg_pro2,False,1
P001,group_01,lead_me,FM-1,78.4094119192348,mix_271852ba8676,lead_me_du_e,False,1
P001,group_01,id_like_to_know,EDR-1,78.29761621369437,mix_6f8b655d7999,id_like_to_know_pxl_s2,False,1
P001,group_01,id_like_to_know,EDR-2,69.53512234433093,mix_6f8b655d7999,id_like_to_know_pxl_s2,False,1
P001,group_01,id_like_to_know,FM-1,85.82458743125558,mix_6f8b655d7999,id_like_to_know_pxl_s2,False,1
P002,group_02,in_the_meantime,EDR-1,72.73964965384269,mix_302f0efe8a80,in_the_meantime_du_h,False,1
P002,group_02,in_the_meantime,EDR-2,66.41213696400686,mix_9baa86357fd4,in_the_meantime_du_i,False,1
P002,group_02,in_the_meantime,FM-1,73.21479998048514,mix_56e65a3ce054,in_the_meantime_du_k,False,1
P002,group_02,pouring_room,EDR-1,64.33724737700337,mix_0ba76f420c1d,pouring_room_mcg_r,False,1
P002,group_02,pouring_room,EDR-2,94.29345836632132,mix_cbf8555ee2b2,pouring_room_mcg_x,False,1
P002,group_02,pouring_room,FM-1,67.64554021673575,mix_0ba76f420c1d,pouring_room_mcg_r,False,1
P003,group_01,lead_me,EDR-1,92.84371531758408,mix_c7d9a071ba25,lead_me_pxl_l4,False,1
P003,group_01,lead_me,EDR-2,92.9491135061369,mix_c7d9a071ba25,lead_me_pxl_l4,False,1
P003,group_01,lead_me,FM-1,81.18060243728968,mix_f1f7973e5bac,lead_me_du_d,False,1
P003,group_01,id_like_to_know,EDR-1,87.40152233096437,mix_b393d3919c78,id_like_to_know_pxl_s7,False,1
P003,group_01,id_like_to_know,EDR-2,86.19906483385604,mix_b393d3919c78,id_like_to_know_pxl_s7,False,1
P003,group_01,id_like_to_know,FM-1,87.95594783631813,mix_b393d3919c78,id_like_to_know_pxl_s7,False,1
P004,group_02,in_the_meantime,EDR-1,92.5449333377168,mix_c7bdcba64775,in_the_meantime_qut_b,False,1
P004,group_02,in_the_meantime,EDR-2,75.3977640554115,mix_9baa86357fd4,in_the_meantime_du_i,False,1
P004,group_02,in_the_meantime,FM-1,90.84409579900706,mix_c7bdcba64775,in_the_meantime_qut_b,False,1
P004,group_02,pouring_room,EDR-1,85.40412210358043,mix_cbf8555ee2b2,pouring_room_mcg_x,False,1
P004,group_02,pouring_room,EDR-2,89.0985746027297,mix_0ba76f420c1d,pouring_room_mcg_r,False,1
