,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,59.753,2.662,55.038,65.002,0.119,0.06,498.715,888.031,1.01
episode[Enjoyment],2.357,2.967,-2.998,8.03,0.123,0.06,581.937,1146.36,1.006
episode[Focus],5.409,3.046,-0.184,11.149,0.132,0.062,537.475,1387.893,1.007
episode[Motivation],2.577,3.102,-3.068,8.411,0.134,0.072,540.61,1072.903,1.009
episode[Relaxation],5.079,3.025,-0.474,10.888,0.133,0.062,516.876,1211.123,1.005
stimulus_id[Song_1_Mix_2],2.545,3.057,-2.772,8.769,0.124,0.054,604.19,1233.343,1.009
stimulus_id[Song_1_Mix_3],-5.142,3.008,-10.881,0.362,0.118,0.049,643.644,1606.276,1.004
stimulus_id[Song_2_Mix_1],4.018,3.088,-1.843,9.625,0.119,0.06,670.143,1327.343,1.005
stimulus_id[Song_2_Mix_2],4.606,3.023,-1.153,10.135,0.119,0.056,639.911,1324.494,1.006
stimulus_id[Song_2_Mix_3],-0.02,3.006,-5.899,5.22,0.115,0.058,683.376,1241.492,1.004
stimulus_id[Song_3_Mix_1],10.594,3.771,3.718,17.59,0.153,0.071,599.224,1530.893,1.012
stimulus_id[Song_3_Mix_2],13.905,3.741,6.7,20.911,0.141,0.067,707.426,1371.931,1.009
stimulus_id[Song_3_Mix_3],10.62,3.723,3.768,17.784,0.14,0.067,703.77,1681.284,1.007
stimulus_id[Song_4_Mix_1],3.32,3.738,-3.44,10.345,0.147,0.066,648.377,1647.861,1.01
stimulus_id[Song_4_Mix_2],2.489,3.752,-4.137,9.735,0.147,0.077,650.645,1218.002,1.012
stimulus_id[Song_4_Mix_3],-0.057,3.726,-6.9,7.026,0.141,0.066,697.807,1456.869,1.011
"episode:stimulus_id[Enjoyment, Song_1_Mix_2]",5.434,4.212,-2.266,13.458,0.143,0.062,872.493,1986.48,1.005
"episode:stimulus_id[Enjoyment, Song_1_Mix_3]",12.113,4.204,4.203,19.816,0.144,0.069,853.111,1572.428,1.003
"episode:stimulus_id[Enjoyment, Song_2_Mix_1]",-1.367,4.184,-9.693,6.053,0.14,0.07,890.075,1477.162,1.004
"episode:stimulus_id[Enjoyment, Song_2_Mix_2]",4.37,4.17,-3.663,12.021,0.143,0.068,854.585,2112.588,1.004
"episode:stimulus_id[Enjoyment, Song_2_Mix_3]",3.496,4.189,-4.902,10.78,0.131,0.069,1032.183,1988.618,1.001
"episode:stimulus_id[Enjoyment, Song_3_Mix_1]",2.981,4.242,-4.842,11.008,0.143,0.067,880.861,1893.844,1.005
"episode:stimulus_id[Enjoyment, Song_3_Mix_2]",-0.366,4.195,-8.32,7.558,0.134,0.062,977.14,2148.254,1.004
"episode:stimulus_id[Enjoyment, Song_3_Mix_3]",3.189,4.178,-4.329,11.422,0.137,0.065,936.296,2142.119,1.003
"episode:stimulus_id[Enjoyment, Song_4_Mix_1]",-5.094,4.192,-12.915,2.72,0.142,0.069,876.926,1581.703,1.004
"episode:stimulus_id[Enjoyment, Song_4_Mix_2]",3.071,4.201,-4.534,11.046,0.135,0.065,978.088,1949.069,1.005
"episode:stimulus_id[Enjoyment, Song_4_Mix_3]",4.336,4.212,-3.566,12.089,0.138,0.071,937.992,2098.562,1.005
"episode:stimulus_id[Focus, Song_1_Mix_2]",-2.266,4.34,-10.511,5.961,0.154,0.067,795.417,1994.478,1.005
"episode:stimulus_id[Focus, Song_1_Mix_3]",-5.189,4.271,-13.285,2.739,0.146,0.064,852.809,2073.02,1.002
"episode:stimulus_id[Focus, Song_2_Mix_1]",-3.226,4.283,-10.925,5.215,0.143,0.067,899.005,1861.765,1.003
"episode:stimulus_id[Focus, Song_2_Mix_2]",0.307,4.354,-7.656,8.462,0.146,0.065,895.113,2281.43,1.002
"episode:stimulus_id[Focus, Song_2_Mix_3]",-4.301,4.313,-12.15,3.906,0.145,0.068,889.062,2271.081,1.002
"episode:stimulus_id[Focus, Song_3_Mix_1]",3.703,4.301,-4.581,11.493,0.158,0.074,745.965,1688.55,1.006
"episode:stimulus_id[Focus, Song_3_Mix_2]",-1.29,4.263,-9.263,6.625,0.138,0.066,955.226,2005.606,1.003
"episode:stimulus_id[Focus, Song_3_Mix_3]",-0.604,4.289,-8.714,7.207,0.144,0.066,891.594,1912.106,1.003
"episode:stimulus_id[Focus, Song_4_Mix_1]",0.643,4.233,-7.392,8.577,0.148,0.073,820.187,1719.197,1.005
"episode:stimulus_id[Focus, Song_4_Mix_2]",2.138,4.365,-6.067,10.27,0.149,0.068,861.534,1820.578,1.004
"episode:stimulus_id[Focus, Song_4_Mix_3]",-2.897,4.261,-11.014,5.03,0.139,0.065,945.63,2087.57,1.004
"episode:stimulus_id[Motivation, Song_1_Mix_2]",1.273,4.299,-7.252,8.816,0.154,0.076,779.346,1701.4,1.006
"episode:stimulus_id[Motivation, Song_1_Mix_3]",13.09,4.296,5.235,21.397,0.151,0.077,803.532,1580.945,1.004
"episode:stimulus_id[Motivation, Song_2_Mix_1]",-4.829,4.383,-13.536,2.896,0.149,0.079,867.168,1617.275,1.004
"episode:stimulus_id[Motivation, Song_2_Mix_2]",-1.58,4.369,-9.738,6.301,0.15,0.075,842.287,1754.214,1.004
"episode:stimulus_id[Motivation, Song_2_Mix_3]",7.388,4.286,-1.293,14.939,0.148,0.078,839.006,1384.276,1.003
"episode:stimulus_id[Motivation, Song_3_Mix_1]",-6.461,4.295,-14.816,1.358,0.156,0.077,760.735,1509.894,1.006
"episode:stimulus_id[Motivation, Song_3_Mix_2]",-3.417,4.247,-11.231,4.821,0.134,0.067,1005.24,1732.838,1.004
"episode:stimulus_id[Motivation, Song_3_Mix_3]",8.412,4.332,0.215,16.371,0.145,0.07,892.885,2176.924,1.004
"episode:stimulus_id[Motivation, Song_4_Mix_1]",-3.66,4.268,-11.503,4.359,0.147,0.071,839.413,1461.41,1.006
"episode:stimulus_id[Motivation, Song_4_Mix_2]",0.331,4.329,-7.517,8.572,0.149,0.073,840.445,1509.16,1.006
"episode:stimulus_id[Motivation, Song_4_Mix_3]",7.494,4.339,-0.526,15.598,0.146,0.072,886.541,1960.097,1.005
"episode:stimulus_id[Relaxation, Song_1_Mix_2]",-4.184,4.238,-12.328,3.748,0.151,0.062,786.81,2282.928,1.006
"episode:stimulus_id[Relaxation, Song_1_Mix_3]",-2.792,4.245,-10.974,4.778,0.154,0.062,764.81,2162.865,1.001
"episode:stimulus_id[Relaxation, Song_2_Mix_1]",-4.148,4.351,-12.289,4.086,0.146,0.069,881.858,1879.88,1.002
"episode:stimulus_id[Relaxation, Song_2_Mix_2]",-2.309,4.281,-10.678,5.316,0.153,0.063,785.776,2023.374,1.002
"episode:stimulus_id[Relaxation, Song_2_Mix_3]",-2.573,4.253,-10.574,5.385,0.146,0.071,844.218,1713.471,1.002
"episode:stimulus_id[Relaxation, Song_3_Mix_1]",3.15,4.336,-4.669,11.451,0.16,0.062,735.041,1596.802,1.004
"episode:stimulus_id[Relaxation, Song_3_Mix_2]",-4.612,4.262,-12.878,3.039,0.141,0.061,918.559,2369.849,1.003
"episode:stimulus_id[Relaxation, Song_3_Mix_3]",-5.569,4.257,-13.879,2.348,0.147,0.063,838.409,2057.678,1.002
"episode:stimulus_id[Relaxation, Song_4_Mix_1]",-3.821,4.254,-11.665,4.2,0.146,0.073,851.698,1623.19,1.002
"episode:stimulus_id[Relaxation, Song_4_Mix_2]",-2.548,4.328,-10.305,5.875,0.152,0.069,806.34,1787.727,1.003
"episode:stimulus_id[Relaxation, Song_4_Mix_3]",-8.541,4.277,-16.427,-0.596,0.142,0.07,906.039,1671.122,1.003
sigma,9.499,0.208,9.104,9.888,0.003,0.004,4352.075,2555.244,1.0
1|participant_id_sigma,7.27,0.922,5.625,8.969,0.032,0.026,882.949,1430.532,1.003
1|participant_id[P001],3.504,2.296,-0.649,7.895,0.058,0.036,1563.333,2141.394,1.0
1|participant_id[P002],-8.348,2.327,-12.858,-4.106,0.058,0.038,1619.844,2231.786,1.001
1|participant_id[P003],10.219,2.289,5.57,14.223,0.058,0.033,1545.676,2556.786,1.002
1|participant_id[P004],8.88,2.259,4.655,13.06,0.057,0.036,1551.243,2189.292,1.001
1|participant_id[P005],-14.701,2.326,-18.982,-10.108,0.057,0.036,1640.262,2686.719,1.001
1|participant_id[P006],-9.42,2.326,-13.809,-5.029,0.059,0.036,1559.655,2518.395,1.001
1|participant_id[P007],-1.11,2.332,-5.496,3.268,0.058,0.035,1593.921,2592.036,1.001
1|participant_id[P008],0.937,2.302,-3.616,5.089,0.057,0.034,1609.533,1762.857,1.002
1|participant_id[P009],2.162,2.293,-2.046,6.48,0.058,0.035,1554.035,2438.803,1.001
1|participant_id[P010],-7.609,2.3,-11.718,-2.991,0.057,0.036,1643.278,2665.622,1.001
1|participant_id[P011],1.835,2.295,-2.497,6.161,0.057,0.037,1613.373,2095.091,1.001
1|participant_id[P012],8.893,2.312,4.394,13.085,0.058,0.034,1586.998,2065.929,1.001
1|participant_id[P013],1.625,2.344,-2.759,6.0,0.06,0.037,1542.618,2297.328,1.0
1|participant_id[P014],7.682,2.273,3.623,12.011,0.058,0.032,1540.959,2512.138,1.001
1|participant_id[P015],2.668,2.297,-1.243,7.398,0.059,0.036,1506.89,2673.549,1.001
1|participant_id[P016],-5.013,2.275,-9.062,-0.565,0.057,0.037,1598.91,2205.029,1.001
1|participant_id[P017],7.163,2.309,3.009,11.648,0.055,0.035,1766.502,2499.154,1.002
1|participant_id[P018],-9.295,2.304,-13.636,-4.988,0.058,0.036,1577.067,2399.975,1.002
1|participant_id[P019],3.861,2.346,-0.648,8.124,0.063,0.038,1393.291,2177.113,1.001
1|participant_id[P020],-3.42,2.316,-7.686,1.041,0.058,0.039,1584.978,2535.441,1.001
1|participant_id[P021],-0.393,2.352,-4.631,4.2,0.056,0.039,1756.819,2098.07,1.003
1|participant_id[P022],-3.278,2.342,-7.733,1.177,0.057,0.036,1709.738,2631.461,1.003
1|participant_id[P023],10.811,2.346,6.635,15.379,0.055,0.035,1825.225,2575.793,1.003
1|participant_id[P024],-3.272,2.373,-7.679,1.185,0.055,0.037,1847.166,2159.011,1.002
1|participant_id[P025],-7.605,2.351,-12.133,-3.249,0.055,0.036,1812.598,2348.051,1.003
1|participant_id[P026],-5.09,2.415,-9.42,-0.346,0.055,0.037,1897.63,2698.359,1.002
1|participant_id[P027],5.467,2.308,1.297,9.926,0.054,0.035,1838.683,2618.787,1.002
1|participant_id[P028],1.795,2.334,-2.465,6.16,0.054,0.037,1844.266,2479.466,1.002
1|participant_id[P029],6.67,2.34,2.459,11.104,0.056,0.038,1737.16,2449.276,1.002
1|participant_id[P030],0.841,2.325,-3.572,5.126,0.055,0.033,1811.814,2675.751,1.001
1|participant_id[P031],14.969,2.294,10.743,19.347,0.055,0.035,1750.247,2687.834,1.002
1|participant_id[P032],-5.925,2.32,-10.187,-1.545,0.054,0.037,1828.722,2234.446,1.003
1|participant_id[P033],-3.417,2.325,-7.79,1.104,0.055,0.037,1784.048,2232.136,1.001
1|participant_id[P034],-4.362,2.339,-8.869,-0.009,0.057,0.036,1719.445,2307.651,1.002
1|participant_id[P035],-0.335,2.289,-4.517,3.982,0.056,0.035,1685.748,2346.759,1.003
1|participant_id[P036],6.087,2.344,1.924,10.608,0.062,0.038,1430.254,2036.559,1.004
1|participant_id[P037],0.01,2.322,-4.406,4.31,0.055,0.036,1786.548,2351.097,1.002
1|participant_id[P038],-11.165,2.331,-15.889,-7.041,0.055,0.037,1829.965,2342.598,1.002
1|participant_id[P039],-4.365,2.338,-9.083,-0.29,0.053,0.037,1915.574,2278.709,1.002
1|participant_id[P040],2.089,2.369,-2.708,6.374,0.055,0.04,1873.337,2295.779,1.002
