index,count,unique,top,freq,mean,std,min,25%,50%,75%,max
participant_id,1200,40,P001,30,,,,,,,
group,1200,2,Group_1,600,,,,,,,
song_id,1200,4,Song_1,300,,,,,,,
mix_id,1200,3,Mix_2,400,,,,,,,
stimulus_id,1200,12,Song_1_Mix_2,100,,,,,,,
episode,1200,5,Relaxation,240,,,,,,,
presentation_order,1200.0,,,,2.0,0.8168370006135308,1.0,1.0,2.0,3.0,3.0
z_RMS,1200.0,,,,-1.3026616822268503e-16,1.0004169272643106,-1.8547642649912035,-0.7190780618348058,0.1198991350581462,0.7708624440418554,1.443428649762309
z_CF,1200.0,,,,-8.526512829121202e-16,1.0004169272643113,-1.970943713619291,-0.34939421492717154,0.15677406241280012,0.6406826949195226,1.571596835282909
z_SW,1200.0,,,,-1.1842378929335004e-17,1.0004169272643113,-1.5239068539152965,-0.6066436356267074,-0.14327949093413908,0.5951961685743492,1.8054546671390082
z_SI,1200.0,,,,-4.7369515717340015e-17,1.0004169272643118,-0.6592642838147547,-0.5014246147795632,-0.38939488295731406,0.04071609011295149,3.1437965930250384
expected_rating,1200.0,,,,65.32929433333334,6.729298491468037,44.5703,60.856725,65.32990000000001,69.75735,84.8
rating,1200.0,,,,65.60475,10.914447156625894,36.4,58.3,65.05,73.025,99.6
