,z_RMS,z_CF,z_SW,z_SI,"episode:z_SW[('Enjoyment',)]","episode:z_SW[('Focus',)]","episode:z_SW[('Motivation',)]","episode:z_SW[('Relaxation',)]","episode:z_SI[('Enjoyment',)]","episode:z_SI[('Focus',)]","episode:z_SI[('Motivation',)]","episode:z_SI[('Relaxation',)]"
z_RMS,1.0,-0.27419879693549126,0.03348873678393652,0.22224645688272174,0.02083269176572127,0.021819210507197248,0.009528381474782306,0.004510778461148876,0.004138988421445575,0.007797242190874484,0.04260057701922463,0.034918230508475555
z_CF,-0.27419879693549126,1.0,0.03144426910617509,-0.09900251783681703,0.022445449525085398,0.000995872252265472,0.03090750001659029,0.015142791063412245,0.0008140058751326181,0.0030168037977569926,-0.02654054994775193,-0.01632271509042214
z_SW,0.03348873678393652,0.03144426910617509,1.0,-0.4943233219042655,-0.692698782706181,-0.6772289287116118,-0.6769546447112581,-0.679705672141458,0.33811865925555834,0.3287520787419942,0.35331052054626866,0.3402020452758834
z_SI,0.22224645688272174,-0.09900251783681703,-0.4943233219042655,1.0,0.3469413835173976,0.32960439642785083,0.3284328743620403,0.34547841333092266,-0.6612280936538992,-0.650033204724756,-0.6508846412758396,-0.6391137804131206
"episode:z_SW[('Enjoyment',)]",0.02083269176572127,0.022445449525085398,-0.692698782706181,0.3469413835173976,1.0,0.4596207615888965,0.46096303247191933,0.4731880638174178,-0.5058933718709244,-0.23769558320964945,-0.22618496502829272,-0.22030046539809206
"episode:z_SW[('Focus',)]",0.021819210507197248,0.000995872252265472,-0.6772289287116118,0.32960439642785083,0.4596207615888965,1.0,0.4820385929431667,0.467308771886648,-0.22529986893058032,-0.5051724497431036,-0.22980547378889515,-0.2173533280861112
"episode:z_SW[('Motivation',)]",0.009528381474782306,0.03090750001659029,-0.6769546447112581,0.3284328743620403,0.46096303247191933,0.4820385929431667,1.0,0.47437507713193466,-0.22184011629576258,-0.2165950792779268,-0.5285661121039522,-0.23444118896315758
"episode:z_SW[('Relaxation',)]",0.004510778461148876,0.015142791063412245,-0.679705672141458,0.34547841333092266,0.4731880638174178,0.467308771886648,0.47437507713193466,1.0,-0.2310713410193023,-0.2321406862607955,-0.24978782565342197,-0.540792992666277
"episode:z_SI[('Enjoyment',)]",0.004138988421445575,0.0008140058751326181,0.33811865925555834,-0.6612280936538992,-0.5058933718709244,-0.22529986893058032,-0.22184011629576258,-0.2310713410193023,1.0,0.47400995359367576,0.4517890301826388,0.4527069267791749
"episode:z_SI[('Focus',)]",0.007797242190874484,0.0030168037977569926,0.3287520787419942,-0.650033204724756,-0.23769558320964945,-0.5051724497431036,-0.2165950792779268,-0.2321406862607955,0.47400995359367576,1.0,0.46998915122498613,0.442942177932817
"episode:z_SI[('Motivation',)]",0.04260057701922463,-0.02654054994775193,0.35331052054626866,-0.6508846412758396,-0.22618496502829272,-0.22980547378889515,-0.5285661121039522,-0.24978782565342197,0.4517890301826388,0.46998915122498613,1.0,0.45391703926298793
"episode:z_SI[('Relaxation',)]",0.034918230508475555,-0.01632271509042214,0.3402020452758834,-0.6391137804131206,-0.22030046539809206,-0.2173533280861112,-0.23444118896315758,-0.540792992666277,0.4527069267791749,0.442942177932817,0.45391703926298793,1.0
