,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,62.447,1.028,60.615,64.482,0.055,0.025,345.0,720.0,1.01
episode[Enjoyment],4.465,0.766,3.032,5.877,0.015,0.01,2696.0,2910.0,1.0
episode[Focus],4.704,0.76,3.336,6.153,0.015,0.01,2588.0,2992.0,1.0
episode[Motivation],4.279,0.742,2.944,5.685,0.014,0.01,2672.0,2871.0,1.0
episode[Relaxation],2.059,0.773,0.684,3.593,0.015,0.013,2683.0,2821.0,1.0
z_RMS,3.042,0.312,2.475,3.645,0.005,0.005,3344.0,2814.0,1.0
z_CF,-2.215,0.311,-2.783,-1.617,0.005,0.004,3234.0,2817.0,1.0
z_SW,3.022,0.301,2.474,3.601,0.005,0.004,3934.0,3391.0,1.0
z_SI,-0.677,0.337,-1.315,-0.068,0.006,0.005,2744.0,2975.0,1.0
sigma,8.495,0.178,8.164,8.824,0.002,0.003,6615.0,3049.0,1.0
1|participant_id_sigma,5.749,0.714,4.389,7.032,0.03,0.018,568.0,1057.0,1.01
1|participant_id[P001],8.615,1.708,5.367,11.855,0.059,0.027,840.0,2095.0,1.01
1|participant_id[P002],-2.25,1.705,-5.373,1.034,0.051,0.028,1106.0,2319.0,1.0
1|participant_id[P003],3.156,1.673,0.112,6.37,0.054,0.028,969.0,1706.0,1.01
1|participant_id[P004],5.412,1.732,2.112,8.552,0.053,0.025,1072.0,2161.0,1.01
1|participant_id[P005],4.793,1.728,1.642,8.136,0.053,0.028,1078.0,1947.0,1.0
1|participant_id[P006],1.155,1.752,-1.915,4.563,0.054,0.027,1069.0,2261.0,1.0
1|participant_id[P007],-6.689,1.7,-9.789,-3.473,0.052,0.024,1069.0,2243.0,1.0
1|participant_id[P008],-8.22,1.715,-11.501,-5.104,0.052,0.025,1091.0,2196.0,1.0
1|participant_id[P009],1.908,1.729,-1.432,5.098,0.055,0.028,966.0,2169.0,1.01
1|participant_id[P010],-3.804,1.707,-6.757,-0.452,0.055,0.026,958.0,2403.0,1.0
1|participant_id[P011],2.412,1.761,-0.991,5.637,0.056,0.029,981.0,1588.0,1.0
1|participant_id[P012],-0.12,1.731,-3.344,3.116,0.053,0.026,1061.0,1867.0,1.0
1|participant_id[P013],-4.785,1.719,-8.193,-1.803,0.053,0.026,1045.0,2287.0,1.0
1|participant_id[P014],-0.129,1.725,-3.349,3.087,0.051,0.027,1135.0,1643.0,1.0
1|participant_id[P015],4.195,1.726,0.689,7.177,0.053,0.028,1044.0,2192.0,1.0
1|participant_id[P016],2.756,1.714,-0.347,6.098,0.053,0.025,1035.0,1981.0,1.0
1|participant_id[P017],-6.52,1.686,-9.609,-3.32,0.049,0.026,1197.0,2139.0,1.0
1|participant_id[P018],2.34,1.719,-0.805,5.572,0.052,0.027,1095.0,1437.0,1.0
1|participant_id[P019],2.765,1.739,-0.514,5.943,0.053,0.028,1066.0,1966.0,1.01
1|participant_id[P020],4.174,1.71,0.854,7.317,0.051,0.027,1128.0,1945.0,1.0
1|participant_id[P021],3.575,1.732,0.228,6.765,0.054,0.03,1027.0,1316.0,1.0
1|participant_id[P022],-5.909,1.758,-9.176,-2.696,0.056,0.028,984.0,2064.0,1.01
1|participant_id[P023],-4.132,1.737,-7.555,-1.039,0.054,0.025,1024.0,2116.0,1.0
1|participant_id[P024],3.416,1.729,0.209,6.687,0.054,0.026,1037.0,2295.0,1.0
1|participant_id[P025],-14.411,1.77,-17.774,-11.144,0.051,0.026,1219.0,2539.0,1.0
1|participant_id[P026],3.336,1.73,0.087,6.665,0.055,0.027,1011.0,2171.0,1.0
1|participant_id[P027],-9.408,1.695,-12.54,-6.158,0.055,0.026,966.0,1623.0,1.0
1|participant_id[P028],-5.061,1.706,-8.269,-1.819,0.049,0.025,1217.0,2307.0,1.0
1|participant_id[P029],8.453,1.731,5.28,11.751,0.052,0.026,1111.0,1960.0,1.0
1|participant_id[P030],-0.377,1.762,-3.57,2.992,0.056,0.027,985.0,2343.0,1.0
1|participant_id[P031],-1.525,1.695,-4.528,1.797,0.051,0.028,1111.0,2510.0,1.0
