parameter,mean,median,sd,hdi_3%,hdi_97%,model,true_value,absolute_error,true_inside_hdi
participant_sd,6.547602547579583,6.460056069796986,0.8663926301565305,5.034090385781497,8.225202560907789,intercept_only,8.0,1.452397452420417,True
stimulus_sd,5.446901079200659,5.3254046817745815,0.9744349708948238,3.7078329396383896,7.282490653480887,intercept_only,3.0,2.446901079200659,False
residual_sd,9.133273084531112,9.129849792323483,0.19274369711710598,8.756007531522927,9.48271843903137,intercept_only,9.0,0.13327308453111186,True
participant_ICC,0.27419401548426703,0.26911291677285654,0.05520885025348507,0.17575830403449721,0.3777182437247241,intercept_only,0.4155844155844156,0.14139040010014858,False
stimulus_ICC,0.1913611038937003,0.18390373806948532,0.05649176173441869,0.0981832819359223,0.3023074277215938,intercept_only,0.05844155844155844,0.13291954545214188,False
participant_sd,6.561241270412926,6.464179217789582,0.842061826332639,5.121395294901666,8.170843009622471,primary_feature,8.0,1.4387587295870743,True
stimulus_sd,2.663198093115189,2.564982496158451,0.6460176069990052,1.5627411049213322,3.876625529081115,primary_feature,3.0,0.33680190688481115,True
residual_sd,8.958860645600494,8.956764364893054,0.1859811309116019,8.598959309146572,9.297357140133716,primary_feature,9.0,0.041139354399506445,True
participant_ICC,0.32826303933838696,0.32416282688931464,0.05652536058872435,0.2287453043057107,0.43610113099153663,primary_feature,0.4155844155844156,0.08732137624602865,True
stimulus_ICC,0.05668403459181467,0.05095191232468475,0.02690230395321847,0.016076682796237855,0.10702871184676312,primary_feature,0.05844155844155844,0.0017575238497437723,True
participant_sd,6.575350592852301,6.504427221387653,0.8367047886205845,5.071359095385287,8.08571217935901,si_sensitivity,8.0,1.4246494071476992,True
stimulus_sd,2.756811098772271,2.6558279068569894,0.7049659522145,1.535076117567423,3.977024297846091,si_sensitivity,3.0,0.24318890122772885,True
residual_sd,8.955018863568508,8.951952531147871,0.18627398659698832,8.608096885324773,9.314352681731094,si_sensitivity,9.0,0.04498113643149182,True
participant_ICC,0.32801681094383744,0.3233571453613847,0.05627022439267647,0.22940340592219677,0.4387502158303036,si_sensitivity,0.4155844155844156,0.08756760464057817,True
stimulus_ICC,0.06064592030306353,0.054217136398773416,0.030736646644279154,0.015982739271608228,0.1134707781747995,si_sensitivity,0.05844155844155844,0.0022043618615050914,True
