item,value
notebook,statistical-baseline/notebooks/_03_mst_feature_exploration.ipynb
loaded_files,outputs\stimulus_selection\03_feature_extraction\tables\raw_diffmst_features.csv; outputs\stimulus_selection\03_feature_extraction\tables\feature_schema.json; outputs\stimulus_selection\04_mix_selection_v2\tables\processed_features_v2.csv; outputs\stimulus_selection\04_mix_selection_v2\tables\bark_pca_scores_v2.csv; outputs\stimulus_selection\04_mix_selection_v2\tables\bark_pca_explained_variance_v2.csv; outputs\stimulus_selection\04_mix_selection_v2\tables\bark_pca_loadings_v2.csv; outputs\stimulus_selection\04_mix_selection_v2\tables\acoustic_candidate_pool_summary.csv; outputs\stimulus_selection\09_current_frontend_integration\tables\current_frontend_stimuli.csv
scalar_features_available,"RMS, CF, SW, SI"
bs_representation,48 Bark mid/side raw columns; within-song PCA scores available
pca_available,True
strongest_pearson,RMS vs CF: r=0.402
strongest_spearman,RMS vs CF: rho=0.399
bs_recommendation,"Do not invent a scalar BS value. For the next dissertation model, either exclude BS initially or include a very small pre-specified Bark PCA representation only with a clear caveat that existing PCs are within-song selection diagnostics."
recommended_predictors,"z_RMS, z_CF, z_SW, z_SI"
standardisation_recommended,True
feature_interactions_feasible_initially,False
export_directory,statistical-baseline\outputs\mst_feature_exploration
