prediction_example_id,participant_id,trial_id,baseline_model,role,formula,protocol_version,inference_mode,training_row_count,target_candidate_count,target_rows_excluded,participant_other_trial_rows_retained,same_stimulus_other_participant_rows_retained,fit_status,candidate_output_exists,diagnostic_output_exists
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_01,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_01,categorical_design,primary,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),phase6c_baseline_prediction_v1,dry_run,54,5,5,25,0,pending,False,False
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_01,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_01,primary_acoustic,primary,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),phase6c_baseline_prediction_v1,dry_run,54,5,5,25,0,pending,False,False
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_02,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_02,categorical_design,primary,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),phase6c_baseline_prediction_v1,dry_run,54,5,5,25,0,pending,False,False
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_02,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_02,primary_acoustic,primary,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),phase6c_baseline_prediction_v1,dry_run,54,5,5,25,0,pending,False,False
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_03,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_03,categorical_design,primary,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),phase6c_baseline_prediction_v1,dry_run,54,5,5,25,0,pending,False,False
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_03,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_03,primary_acoustic,primary,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),phase6c_baseline_prediction_v1,dry_run,54,5,5,25,0,pending,False,False
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_04,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_04,categorical_design,primary,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),phase6c_baseline_prediction_v1,dry_run,54,5,5,25,0,pending,False,False
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_04,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_04,primary_acoustic,primary,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),phase6c_baseline_prediction_v1,dry_run,54,5,5,25,0,pending,False,False
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_05,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_05,categorical_design,primary,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),phase6c_baseline_prediction_v1,dry_run,54,5,5,25,0,pending,False,False
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_05,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_05,primary_acoustic,primary,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),phase6c_baseline_prediction_v1,dry_run,54,5,5,25,0,pending,False,False
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_06,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_06,categorical_design,primary,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),phase6c_baseline_prediction_v1,dry_run,54,5,5,25,0,pending,False,False
