prediction_example_id,participant_id,trial_id,presentation_label,stimulus_id,group,episode,z_RMS,z_CF,z_SW,z_SI
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_01,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_01,A,lead_me_du_e,group_01,EDR-1,-1.0250576971995913,0.5199952869185839,-0.8666083508697964,0.9959336464039888
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_01,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_01,B,lead_me_pxl_l1,group_01,EDR-1,-0.0024436394808062,-0.3677713699084406,-1.2816942263900757,-0.1924460334762285
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_01,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_01,C,lead_me_pxl_l4,group_01,EDR-1,-0.0552007785055364,-0.8412121981784734,0.8321106863211235,2.390299590706203
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_01,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_01,D,lead_me_mcg_pro2,group_01,EDR-1,2.9805308263561203,0.8594252384169624,-0.9263284806752846,0.048773555233824
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_01,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_01,E,lead_me_du_d,group_01,EDR-1,0.7402857811167308,-1.548717422055362,0.3280479404435016,-1.017146833506479
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_02,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_02,A,id_like_to_know_pxl_s1,group_01,EDR-1,-0.5659114167269081,-0.579304038497624,-0.4851205015292653,1.357247686182373
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_02,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_02,B,id_like_to_know_pxl_s2,group_01,EDR-1,0.5329997864789321,-1.1874673519330532,-0.7637519766505488,0.5510366380169074
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_02,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_02,C,id_like_to_know_pxl_s7,group_01,EDR-1,-0.867056238017743,-0.6188407399054331,-0.3229009373128245,-1.0515106991885117
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_02,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_02,D,id_like_to_know_pxl_s3,group_01,EDR-1,0.3234844364321996,-1.065060189455143,-1.1651773700507613,-0.0982478955990668
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_02,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_02,E,id_like_to_know_pxl_s5,group_01,EDR-1,-0.3583378408524605,-0.1527662554529231,0.7972705919658362,1.6270752922517937
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_03,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_03,A,lead_me_pxl_l4,group_01,EDR-2,-0.0552007785055364,-0.8412121981784734,0.8321106863211235,2.390299590706203
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_03,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_03,B,lead_me_mcg_pro2,group_01,EDR-2,2.9805308263561203,0.8594252384169624,-0.9263284806752846,0.048773555233824
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_03,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_03,C,lead_me_du_d,group_01,EDR-2,0.7402857811167308,-1.548717422055362,0.3280479404435016,-1.017146833506479
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_03,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_03,D,lead_me_du_e,group_01,EDR-2,-1.0250576971995913,0.5199952869185839,-0.8666083508697964,0.9959336464039888
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_03,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_03,E,lead_me_pxl_l1,group_01,EDR-2,-0.0024436394808062,-0.3677713699084406,-1.2816942263900757,-0.1924460334762285
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_04,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_04,A,id_like_to_know_pxl_s7,group_01,EDR-2,-0.867056238017743,-0.6188407399054331,-0.3229009373128245,-1.0515106991885117
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_04,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_04,B,id_like_to_know_pxl_s3,group_01,EDR-2,0.3234844364321996,-1.065060189455143,-1.1651773700507613,-0.0982478955990668
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_04,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_04,C,id_like_to_know_pxl_s5,group_01,EDR-2,-0.3583378408524605,-0.1527662554529231,0.7972705919658362,1.6270752922517937
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_04,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_04,D,id_like_to_know_pxl_s1,group_01,EDR-2,-0.5659114167269081,-0.579304038497624,-0.4851205015292653,1.357247686182373
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_04,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_04,E,id_like_to_know_pxl_s2,group_01,EDR-2,0.5329997864789321,-1.1874673519330532,-0.7637519766505488,0.5510366380169074
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_05,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_05,A,lead_me_du_d,group_01,FM-1,0.7402857811167308,-1.548717422055362,0.3280479404435016,-1.017146833506479
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_05,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_05,B,lead_me_du_e,group_01,FM-1,-1.0250576971995913,0.5199952869185839,-0.8666083508697964,0.9959336464039888
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_05,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_05,C,lead_me_pxl_l1,group_01,FM-1,-0.0024436394808062,-0.3677713699084406,-1.2816942263900757,-0.1924460334762285
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_05,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_05,D,lead_me_pxl_l4,group_01,FM-1,-0.0552007785055364,-0.8412121981784734,0.8321106863211235,2.390299590706203
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_05,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_05,E,lead_me_mcg_pro2,group_01,FM-1,2.9805308263561203,0.8594252384169624,-0.9263284806752846,0.048773555233824
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_06,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_06,A,id_like_to_know_pxl_s5,group_01,FM-1,-0.3583378408524605,-0.1527662554529231,0.7972705919658362,1.6270752922517937
