model_name,term,mean,sd,hdi_3,hdi_97,mcse,mcse_sd,ess_bulk,ess_tail,r_hat
primary_feature,participant_variance,159.673,53.22,70.205,250.244,1.734,1.714,969.0,1411.0,1.01
primary_feature,stimulus_variance,133.158,69.321,43.33,247.011,1.956,5.533,1195.0,1994.0,1.0
primary_feature,residual_variance,722.195,33.791,658.284,783.699,0.449,0.585,5690.0,2932.0,1.0
primary_feature,participant_ICC,0.156,0.044,0.084,0.239,0.001,0.001,966.0,1383.0,1.01
primary_feature,stimulus_ICC,0.128,0.052,0.044,0.218,0.002,0.002,1172.0,2082.0,1.0
primary_feature,residual_share,0.716,0.056,0.613,0.813,0.002,0.001,1170.0,1801.0,1.0
si_sensitivity,participant_variance,158.747,50.824,75.382,250.103,1.567,1.31,1042.0,1816.0,1.0
si_sensitivity,stimulus_variance,139.298,68.604,44.731,265.26,2.307,2.553,1028.0,1532.0,1.0
si_sensitivity,residual_variance,721.119,33.075,662.403,785.066,0.437,0.529,5713.0,3049.0,1.0
si_sensitivity,participant_ICC,0.155,0.042,0.081,0.23,0.001,0.001,1162.0,1817.0,1.0
si_sensitivity,stimulus_ICC,0.134,0.054,0.05,0.237,0.002,0.001,1059.0,1698.0,1.0
si_sensitivity,residual_share,0.712,0.057,0.605,0.815,0.002,0.001,811.0,1288.0,1.01
