song_id,episode,stimulus_id,observed_credit,observed_winner_rows,observed_tie_rows,human_trials,observed_share_fractional_ties,posterior_probability_highest,is_final_predicted_winner,model_winner_stimulus_id,observed_top_stimulus_id,in_sample_descriptive_agreement,comparison_scope
id_like_to_know,EDR-1,id_like_to_know_pxl_s2,2.0,2.0,0.0,17.0,0.11764705882352941,0.7605,True,id_like_to_know_pxl_s2,id_like_to_know_pxl_s1,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
id_like_to_know,EDR-1,id_like_to_know_pxl_s3,5.0,5.0,0.0,17.0,0.29411764705882354,0.1915,False,id_like_to_know_pxl_s2,id_like_to_know_pxl_s1,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
id_like_to_know,EDR-1,id_like_to_know_pxl_s7,4.0,4.0,0.0,17.0,0.23529411764705882,0.042,False,id_like_to_know_pxl_s2,id_like_to_know_pxl_s1,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
id_like_to_know,EDR-1,id_like_to_know_pxl_s1,6.0,6.0,0.0,17.0,0.35294117647058826,0.006,False,id_like_to_know_pxl_s2,id_like_to_know_pxl_s1,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
id_like_to_know,EDR-1,id_like_to_know_pxl_s5,0.0,0.0,0.0,,0.0,0.0,False,id_like_to_know_pxl_s2,id_like_to_know_pxl_s1,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
id_like_to_know,EDR-2,id_like_to_know_pxl_s2,5.7,7.0,2.0,17.0,0.33529411764705885,0.7605,True,id_like_to_know_pxl_s2,id_like_to_know_pxl_s2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
id_like_to_know,EDR-2,id_like_to_know_pxl_s3,4.7,6.0,2.0,17.0,0.27647058823529413,0.1915,False,id_like_to_know_pxl_s2,id_like_to_know_pxl_s2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
id_like_to_know,EDR-2,id_like_to_know_pxl_s7,2.7,4.0,2.0,17.0,0.15882352941176472,0.042,False,id_like_to_know_pxl_s2,id_like_to_know_pxl_s2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
id_like_to_know,EDR-2,id_like_to_know_pxl_s1,2.7,4.0,2.0,17.0,0.15882352941176472,0.006,False,id_like_to_know_pxl_s2,id_like_to_know_pxl_s2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
id_like_to_know,EDR-2,id_like_to_know_pxl_s5,1.2,2.0,1.0,17.0,0.07058823529411765,0.0,False,id_like_to_know_pxl_s2,id_like_to_know_pxl_s2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
id_like_to_know,FM-1,id_like_to_know_pxl_s2,1.7,3.0,2.0,17.0,0.09999999999999999,0.7605,True,id_like_to_know_pxl_s2,id_like_to_know_pxl_s3,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
id_like_to_know,FM-1,id_like_to_know_pxl_s3,6.2,7.0,1.0,17.0,0.3647058823529412,0.1915,False,id_like_to_know_pxl_s2,id_like_to_know_pxl_s3,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
id_like_to_know,FM-1,id_like_to_know_pxl_s7,4.2,5.0,1.0,17.0,0.24705882352941178,0.042,False,id_like_to_know_pxl_s2,id_like_to_know_pxl_s3,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
id_like_to_know,FM-1,id_like_to_know_pxl_s1,3.7,5.0,2.0,17.0,0.21764705882352942,0.006,False,id_like_to_know_pxl_s2,id_like_to_know_pxl_s3,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
id_like_to_know,FM-1,id_like_to_know_pxl_s5,1.2,2.0,1.0,17.0,0.07058823529411765,0.0,False,id_like_to_know_pxl_s2,id_like_to_know_pxl_s3,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,EDR-1,in_the_meantime_du_h,3.0,3.0,0.0,16.0,0.1875,0.976,True,in_the_meantime_du_h,in_the_meantime_qut_pro,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,EDR-1,in_the_meantime_qut_pro,6.0,6.0,0.0,16.0,0.375,0.01825,False,in_the_meantime_du_h,in_the_meantime_qut_pro,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,EDR-1,in_the_meantime_du_i,5.0,5.0,0.0,16.0,0.3125,0.00575,False,in_the_meantime_du_h,in_the_meantime_qut_pro,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,EDR-1,in_the_meantime_du_k,1.0,1.0,0.0,16.0,0.0625,0.0,False,in_the_meantime_du_h,in_the_meantime_qut_pro,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,EDR-1,in_the_meantime_qut_b,1.0,1.0,0.0,16.0,0.0625,0.0,False,in_the_meantime_du_h,in_the_meantime_qut_pro,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,EDR-2,in_the_meantime_du_h,6.0,6.0,0.0,16.0,0.375,0.976,True,in_the_meantime_du_h,in_the_meantime_du_h,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,EDR-2,in_the_meantime_qut_pro,1.0,1.0,0.0,16.0,0.0625,0.01825,False,in_the_meantime_du_h,in_the_meantime_du_h,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,EDR-2,in_the_meantime_du_i,3.0,3.0,0.0,16.0,0.1875,0.00575,False,in_the_meantime_du_h,in_the_meantime_du_h,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,EDR-2,in_the_meantime_du_k,2.0,2.0,0.0,16.0,0.125,0.0,False,in_the_meantime_du_h,in_the_meantime_du_h,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,EDR-2,in_the_meantime_qut_b,4.0,4.0,0.0,16.0,0.25,0.0,False,in_the_meantime_du_h,in_the_meantime_du_h,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,FM-1,in_the_meantime_du_h,6.45,8.0,2.0,16.0,0.403125,0.976,True,in_the_meantime_du_h,in_the_meantime_du_h,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,FM-1,in_the_meantime_qut_pro,4.45,6.0,2.0,16.0,0.278125,0.01825,False,in_the_meantime_du_h,in_the_meantime_du_h,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,FM-1,in_the_meantime_du_i,3.45,5.0,2.0,16.0,0.215625,0.00575,False,in_the_meantime_du_h,in_the_meantime_du_h,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,FM-1,in_the_meantime_du_k,1.2,2.0,1.0,16.0,0.075,0.0,False,in_the_meantime_du_h,in_the_meantime_du_h,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,FM-1,in_the_meantime_qut_b,0.45,2.0,2.0,16.0,0.028125,0.0,False,in_the_meantime_du_h,in_the_meantime_du_h,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-1,lead_me_mcg_pro2,7.0,7.0,0.0,17.0,0.4117647058823529,0.85625,True,lead_me_mcg_pro2,lead_me_mcg_pro2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-1,lead_me_du_d,4.0,4.0,0.0,17.0,0.23529411764705882,0.1355,False,lead_me_mcg_pro2,lead_me_mcg_pro2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-1,lead_me_pxl_l4,3.0,3.0,0.0,17.0,0.17647058823529413,0.0065,False,lead_me_mcg_pro2,lead_me_mcg_pro2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-1,lead_me_pxl_l1,3.0,3.0,0.0,17.0,0.17647058823529413,0.00175,False,lead_me_mcg_pro2,lead_me_mcg_pro2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-1,lead_me_du_e,0.0,0.0,0.0,,0.0,0.0,False,lead_me_mcg_pro2,lead_me_mcg_pro2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-2,lead_me_mcg_pro2,4.333333333333333,5.0,1.0,17.0,0.2549019607843137,0.85625,True,lead_me_mcg_pro2,lead_me_du_d,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-2,lead_me_du_d,5.0,5.0,0.0,17.0,0.29411764705882354,0.1355,False,lead_me_mcg_pro2,lead_me_du_d,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-2,lead_me_pxl_l4,1.5,2.0,1.0,17.0,0.08823529411764706,0.0065,False,lead_me_mcg_pro2,lead_me_du_d,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
