baseline_model,participant_id,group,n_trials,n_unique_winner_trials,n_tied_human_trials,strict_unique_winner_accuracy,tie_compatible_accuracy,top2_hit_rate,mean_spearman,mean_ndcg,mae,rmse,mean_predicted_winner_probability,mean_observed_winner_probability_mass,mean_entropy,mean_top2_margin,mean_expected_draws_outside_0_100_prop,predicted_exact_tie_count
categorical_design,P001,group_01,6,6,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.8872216682493749,18.337612556667118,20.56273170719532,0.8456666666666668,0.142,0.4845948269889191,0.7086666666666667,0.0,0
categorical_design,P002,group_01,6,6,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2333333333333333,0.9097436983595023,20.29433792348576,23.313059472804852,0.8455,0.32616666666666666,0.5056356125052162,0.7166666666666668,0.0,0
categorical_design,P003,group_01,6,6,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.8776143845010932,24.968989550475484,28.364175650542112,0.8235,0.27099999999999996,0.5317524867928408,0.672,0.0,0
categorical_design,P004,group_01,6,6,0,0.3333333333333333,0.3333333333333333,0.5,0.20678021598280927,0.8284148290584108,28.702214255862824,32.07855894994785,0.8210000000000001,0.27366666666666667,0.5332629283500032,0.6635000000000001,0.00016666666666666666,0
categorical_design,P005,group_02,6,6,0,0.0,0.0,0.0,-0.19999999999999998,0.9039177948194221,22.41654558001776,26.68332683628976,0.8176666666666667,0.0026666666666666666,0.367488890839423,0.6383333333333333,0.0003333333333333333,0
categorical_design,P006,group_01,6,6,0,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.45,0.9315720608296921,20.309321710151835,23.620769783928942,0.8454999999999999,0.18900000000000003,0.498096498782834,0.7158333333333333,0.0,0
categorical_design,P007,group_02,6,6,0,0.3333333333333333,0.3333333333333333,0.5,0.6607146822744724,0.9313158563176606,24.11775763771833,27.855864177470657,0.8198333333333333,0.3778333333333333,0.38325867940855884,0.6441666666666667,0.00036666666666666667,0
categorical_design,P008,group_01,6,6,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3833333333333333,0.9162454058876737,19.05414470277988,23.498485418710185,0.8426666666666667,0.3226666666666667,0.5101103410311748,0.7103333333333334,0.0,0
categorical_design,P009,group_02,6,6,0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.9440983114303386,21.801520238322855,24.721489334112313,0.8315,0.32249999999999995,0.3620609341734127,0.6666666666666666,3.3333333333333335e-05,0
categorical_design,P010,group_01,6,4,2,0.0,0.16666666666666666,0.16666666666666666,-0.21181848464596076,0.9420037222542429,17.099684074959853,19.375533056629934,0.8553333333333333,0.1728333333333333,0.4680713414547651,0.7296666666666667,0.02016666666666667,0
categorical_design,P011,group_02,6,6,0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.945042490660377,23.168999399365592,27.98187502930396,0.8380000000000001,0.2155,0.35749263601134135,0.6793333333333332,0.00013333333333333334,0
categorical_design,P012,group_01,6,4,2,0.25,0.5,0.6666666666666666,0.042795064764316756,0.7648977304106349,27.910609747047662,34.74809015480209,0.8701666666666666,0.4630000000000001,0.44360035875868226,0.7623333333333333,0.06246666666666667,0
categorical_design,P013,group_02,6,2,4,0.0,0.6666666666666666,0.6666666666666666,0.4690355937288491,0.9830224634378663,12.597245230673314,15.077452997319792,0.8220000000000001,0.6686666666666667,0.37511310548215526,0.6483333333333334,0.029799999999999997,0
categorical_design,P014,group_01,6,6,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.05000000000000001,0.8135718919314954,29.107446930609246,34.369719786863065,0.8485,0.1475,0.4720301764840644,0.7126666666666667,0.0,0
categorical_design,P015,group_01,6,6,0,0.16666666666666666,0.16666666666666666,0.5,0.1333333333333333,0.9335681061774151,17.550453404668133,20.198002223565194,0.8381666666666666,0.18916666666666662,0.5305157746447201,0.7073333333333333,0.0014666666666666667,0
categorical_design,P016,group_01,6,6,0,0.0,0.0,0.0,-0.20941576467021475,0.8856487453520804,17.693767446139592,20.93248464315335,0.8438333333333334,0.007333333333333334,0.5009889043128312,0.71,0.0,0
categorical_design,P017,group_02,6,5,1,0.0,0.16666666666666666,0.3333333333333333,0.3,0.8970840032317917,26.85565038333787,33.10579528148105,0.8253333333333334,0.16,0.38282882487330466,0.6551666666666666,3.3333333333333335e-05,0
categorical_design,P018,group_02,6,2,4,0.0,0.6666666666666666,0.8333333333333334,-0.3334429644276751,0.9713484193905515,42.57193514471734,48.434332474891384,0.8303333333333334,0.6683333333333333,0.35673503904945747,0.6635,0.00013333333333333334,0
categorical_design,P019,group_02,6,6,0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.75,0.9648955988136875,21.70924745617669,24.625570482780194,0.8163333333333335,0.644,0.39010464467652667,0.6373333333333334,3.3333333333333335e-05,0
categorical_design,P020,group_02,6,6,0,0.3333333333333333,0.3333333333333333,0.5,0.3508659450695051,0.953021532160785,24.403177380248977,28.108439037927827,0.8108333333333334,0.21750000000000003,0.3874811103693407,0.6265,0.012766666666666667,0
categorical_design,P021,group_01,6,3,3,0.0,0.3333333333333333,0.8333333333333334,0.020272626962312457,0.9856519312097681,7.544295389394125,9.14558685680726,0.8488333333333333,0.3635,0.4867954313938845,0.7176666666666667,0.0,0
categorical_design,P022,group_01,6,6,0,0.5,0.5,1.0,0.5333333333333333,0.913412853238008,28.905984899950468,31.363548542720178,0.8338333333333333,0.453,0.5279897647671282,0.6963333333333334,0.0,0
categorical_design,P023,group_02,6,6,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3666666666666667,0.9205682074722445,23.967713505358397,28.399746452430065,0.8210000000000001,0.21566666666666667,0.39388110182454494,0.648,9.999999999999999e-05,0
categorical_design,P024,group_01,6,6,0,0.6666666666666666,0.6666666666666666,1.0,0.7333333333333333,0.950417232497868,29.668144373706685,32.33226395858809,0.8225000000000001,0.6006666666666667,0.5695396614343755,0.6793333333333332,0.0,0
categorical_design,P025,group_01,6,6,0,0.5,0.5,1.0,0.7666666666666666,0.973198726110224,27.726581550211485,30.3974874889096,0.8393333333333334,0.4755,0.5410571668071233,0.7126666666666667,0.0,0
categorical_design,P026,group_02,6,6,0,0.5,0.5,0.5,0.06666666666666667,0.9225971484447011,24.806878058648813,31.836248890741043,0.8096666666666668,0.37666666666666665,0.39127333162428485,0.6244999999999999,0.00036666666666666667,0
categorical_design,P027,group_02,6,6,0,0.3333333333333333,0.3333333333333333,1.0,0.6,0.9015200403995473,24.001651704491405,28.07401833323788,0.8438333333333334,0.4684999999999999,0.3664044256271113,0.6926666666666667,0.0011,0
categorical_design,P028,group_01,6,6,0,0.0,0.0,0.8333333333333334,0.5333333333333333,0.9134338423166602,32.375190406921774,34.49999176087634,0.8488333333333333,0.09916666666666667,0.5067986728587762,0.7271666666666667,0.0,0
categorical_design,P029,group_02,6,6,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7166666666666667,0.9493443647439115,23.99809565429781,28.289158468219,0.7885,0.6298333333333334,0.4120572173110076,0.5825,0.0020666666666666667,0
categorical_design,P030,group_02,6,6,0,0.5,0.5,0.6666666666666666,0.6333333333333334,0.9318552928706466,25.197740398430323,28.390714291022153,0.8073333333333333,0.32016666666666665,0.3840192423399946,0.6186666666666666,3.3333333333333335e-05,0
primary_acoustic,P001,group_01,6,6,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.8872216682493749,18.45031467901672,20.688323724637275,0.8596666666666666,0.14383333333333334,0.44854747055612615,0.7326666666666668,0.0,0
primary_acoustic,P002,group_01,6,6,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2333333333333333,0.9097436983595023,20.318744265014104,23.29937959254147,0.8451666666666666,0.3285,0.4910998797579154,0.7105,0.0,0
primary_acoustic,P003,group_01,6,6,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.8776143845010932,25.086639291981076,28.5423266325076,0.8208333333333333,0.2708333333333333,0.5162941936278681,0.6586666666666667,0.0,0
primary_acoustic,P004,group_01,6,6,0,0.3333333333333333,0.3333333333333333,0.5,0.20678021598280927,0.8284148290584108,28.65509908142143,32.085693061945555,0.8238333333333333,0.2695,0.5099156133721704,0.6646666666666667,0.00016666666666666666,0
primary_acoustic,P005,group_02,6,6,0,0.0,0.0,0.0,-0.18333333333333332,0.9016685782678121,22.76578288484945,27.04532991482794,0.8063333333333332,0.0011666666666666668,0.35703026985758046,0.6141666666666666,0.0005333333333333333,0
primary_acoustic,P006,group_01,6,6,0,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.45,0.9315720608296921,20.28969791207915,23.657661778401337,0.8563333333333335,0.1915,0.4640097995738774,0.7306666666666667,0.0,0
primary_acoustic,P007,group_02,6,6,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6778143214758917,0.9330509745464909,24.116398169714657,27.854015651720204,0.8103333333333333,0.3785,0.3716257878932708,0.624,0.0005666666666666667,0
primary_acoustic,P008,group_01,6,6,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3833333333333333,0.9162454058876737,19.039202137214136,23.53037211626934,0.8391666666666667,0.32016666666666665,0.5179864206518522,0.7028333333333334,0.0,0
primary_acoustic,P009,group_02,6,6,0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.9431678592239815,21.616026017125638,24.601274101567597,0.8225000000000001,0.3356666666666667,0.36170044867850226,0.648,0.0001,0
primary_acoustic,P010,group_01,6,4,2,0.0,0.16666666666666666,0.16666666666666666,-0.21181848464596076,0.9420037222542429,17.228339430878297,19.56755399853106,0.8574999999999999,0.17066666666666666,0.45379252652045743,0.7291666666666666,0.021766666666666667,0
primary_acoustic,P011,group_02,6,6,0,0.16666666666666666,0.16666666666666666,0.5,0.5666666666666665,0.9363834822331935,23.113736159031355,27.985225435679848,0.8273333333333333,0.22133333333333335,0.36297779115809226,0.6576666666666666,0.0001333333333333333,0
primary_acoustic,P012,group_01,6,4,2,0.25,0.5,0.6666666666666666,0.042795064764316756,0.7648977304106349,27.84893847152048,34.74800061125826,0.8723333333333333,0.4629999999999999,0.41834385553498826,0.7589999999999999,0.0658,0
primary_acoustic,P013,group_02,6,2,4,0.0,0.6666666666666666,1.0,0.5690355937288492,0.9850985224773771,12.931568412469499,15.345528290585042,0.8131666666666666,0.6679999999999998,0.3590832386209331,0.6286666666666667,0.036300000000000006,0
primary_acoustic,P014,group_01,6,6,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.05000000000000001,0.8135718919314954,29.04601081240834,34.419039109497454,0.8608333333333332,0.15066666666666664,0.44305610101062753,0.7336666666666667,0.0,0
primary_acoustic,P015,group_01,6,6,0,0.16666666666666666,0.16666666666666666,0.5,0.1333333333333333,0.9335681061774151,17.554717494691655,20.135810743178165,0.8581666666666666,0.19216666666666668,0.4621424011354442,0.7314999999999999,0.0018333333333333333,0
primary_acoustic,P016,group_01,6,6,0,0.0,0.0,0.0,-0.20941576467021475,0.8856487453520804,17.965789747328753,21.218348346636578,0.8503333333333334,0.004333333333333334,0.46503399273457235,0.7136666666666667,0.0,0
primary_acoustic,P017,group_02,6,5,1,0.0,0.16666666666666666,0.3333333333333333,0.3,0.8970840032317917,26.802363596244522,33.004106568592874,0.8108333333333334,0.1505,0.37136192288700953,0.6233333333333333,6.666666666666667e-05,0
primary_acoustic,P018,group_02,6,2,4,0.0,0.6666666666666666,0.6666666666666666,-0.3834429644276751,0.9711801988832895,42.668553357516174,48.53433574384759,0.82,0.6668333333333334,0.35643032085970594,0.6418333333333334,9.999999999999999e-05,0
primary_acoustic,P019,group_02,6,6,0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7333333333333333,0.9629515290581425,21.38369397938084,24.368300669065775,0.8168333333333334,0.6521666666666667,0.3632793563161498,0.6356666666666667,0.0001,0
primary_acoustic,P020,group_02,6,6,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3931820705383006,0.9538086853269471,24.40843442549272,28.202779200752587,0.8016666666666667,0.20683333333333334,0.3642497655554234,0.6051666666666666,0.016433333333333335,0
