metric,value
observed_mean,51.65050505050505
observed_sd,31.946920631947904
posterior_predictive_mean_mean,51.65038423087222
posterior_predictive_sd_mean,32.048587901461225
posterior_predictive_below_0,0.05426969696969697
posterior_predictive_above_100,0.06537777777777778
posterior_predictive_outside_0_100,0.11964747474747475
observed_episode_mean_EDR-1,53.14848484848485
ppc_episode_mean_EDR-1,53.14270902403887
observed_episode_mean_EDR-2,55.36363636363637
ppc_episode_mean_EDR-2,55.37095512862594
observed_episode_mean_FM-1,46.43939393939394
ppc_episode_mean_FM-1,46.43748853995185
observed_group_mean_group_01,48.6078431372549
ppc_group_mean_group_01,48.628340864234545
observed_group_mean_group_02,54.88333333333333
ppc_group_mean_group_02,54.86130530792475
observed_stimulus_mean_sd,13.43252693071485
ppc_stimulus_mean_sd,12.405978017355359
