scenario,transition,from_n,to_n,feature_coefficient_rmse_change,participant_icc_rmse_change,cell_mean_rmse_change,winner_accuracy_change,mean_cell_hdi_width_change
higher_noise,20->30,20,30,-0.03672430468209065,-0.03715082890137497,-0.5486520267850965,-0.025000000000000022,-3.5634499843028102
higher_noise,30->40,30,40,0.19882838431105365,-0.0023415336755098215,-0.3680957780959462,0.15000000000000002,-1.2757529762774418
higher_noise,40->50,40,50,-0.22176715428278193,0.004504323764973443,-0.45954206999543823,0.07499999999999996,-0.806007515955093
higher_noise,50->60,50,60,-0.03182699534211819,0.004836138206149997,-0.08666828234329094,-0.050000000000000044,-1.5333582707727214
higher_noise,60->80,60,80,0.06431616020929443,-0.014226998769707622,-0.11206760108573555,0.025000000000000022,-0.9211533323837147
moderate_expected,20->30,20,30,0.04166381551217002,-0.06344974019484366,0.5351413299731176,0.0,-1.6058187003853028
moderate_expected,30->40,30,40,0.09494497692948622,-0.022390798760780074,-1.133752314228266,0.07499999999999996,-1.2850853518826995
moderate_expected,40->50,40,50,-0.11719835384590305,-0.008688792851284884,-0.35466486285455345,0.025000000000000022,-0.9781371487511823
moderate_expected,50->60,50,60,-0.010626639448930164,-0.0097920930093323,-0.2878133097181088,-0.07499999999999996,-0.5884939844827946
moderate_expected,60->80,60,80,0.04596354230632915,0.007130427967898284,0.2932002634116557,0.07499999999999996,-1.2657175250007713
smaller_effects_harder,20->30,20,30,-0.10800634255595076,0.01188108432973678,-0.12121934521809452,0.17500000000000004,-2.618790374147583
smaller_effects_harder,30->40,30,40,0.2736982981192533,-0.03826859884193786,-0.24106614034229068,-0.025000000000000022,-1.6164624991645464
smaller_effects_harder,40->50,40,50,-0.25858335187485804,0.009040319272035933,-0.5696660981513375,-0.22499999999999998,-0.7881480053244072
smaller_effects_harder,50->60,50,60,-0.10594528794461378,-0.01703978907403142,0.3779990148161474,0.275,-0.2814317733633498
smaller_effects_harder,60->80,60,80,0.11480067957615003,0.0056531068272896515,-0.5646138674077008,-0.07500000000000007,-1.1250930952255933
