parameter,true_value,posterior_mean,posterior_sd,hdi_3%,hdi_97%,bias,absolute_error,squared_error,covered,hdi_width,scenario,n_participants,replication
participant_ICC,0.4046938889822438,0.4195532411265203,0.0851502477080358,0.2807076107922128,0.5810872155702641,0.0148593521442765,0.0148593521442765,0.0002208003461476,True,0.3003796047780512,moderate_expected,20,1
stimulus_ICC,0.0573573068951996,0.0720884400744907,0.0348680472031693,0.0219217006447277,0.1377453867962458,0.014731133179291,0.014731133179291,0.000217006284746,True,0.1158236861515181,moderate_expected,20,1
residual_share,0.5379488041225564,0.5083583187989889,0.0762295291226803,0.3640840046741562,0.6396774754284068,-0.0295904853235675,0.0295904853235675,0.0008755968216842,True,0.2755934707542506,moderate_expected,20,1
participant_ICC,0.4046938889822438,0.4564202278462944,0.0903684664940227,0.3097996976187664,0.6342413865071813,0.0517263388640505,0.0517263388640505,0.0026756141322785,True,0.3244416888884149,moderate_expected,20,2
stimulus_ICC,0.0573573068951996,0.0956920915066206,0.0427126508025292,0.0326760396614939,0.1801822530901794,0.0383347846114209,0.0383347846114209,0.001469555711204,True,0.1475062134286854,moderate_expected,20,2
residual_share,0.5379488041225564,0.447887680647085,0.0777446770519171,0.3017528551935445,0.5872608763775186,-0.0900611234754713,0.0900611234754713,0.008111005961664,True,0.285508021183974,moderate_expected,20,2
participant_ICC,0.4046938889822438,0.5092317770185731,0.0822186580583432,0.3611878865912975,0.6576468535851703,0.1045378880363293,0.1045378880363293,0.0109281700350961,True,0.2964589669938727,moderate_expected,20,3
stimulus_ICC,0.0573573068951996,0.0168431648932657,0.0138599419349632,1.0112717547564812e-05,0.0434502036856548,-0.0405141420019339,0.0405141420019339,0.0016413957021528,False,0.0434400909681073,moderate_expected,20,3
residual_share,0.5379488041225564,0.4739250580881611,0.0809109421642871,0.3311055538014035,0.6282216208471788,-0.0640237460343953,0.0640237460343953,0.0040990400562767,True,0.2971160670457753,moderate_expected,20,3
participant_ICC,0.4046938889822438,0.5603794444054983,0.0860687458764991,0.4006981318422778,0.7218568166017562,0.1556855554232544,0.1556855554232544,0.0242379921674472,True,0.3211586847594783,moderate_expected,20,4
stimulus_ICC,0.0573573068951996,0.0154511551601172,0.0147092794259223,8.911222026098497e-06,0.0414121770991271,-0.0419061517350824,0.0419061517350824,0.0017561255532437,False,0.041403265877101,moderate_expected,20,4
residual_share,0.5379488041225564,0.4241694004343844,0.0825289111345385,0.2730383269949271,0.5808449416426159,-0.1137794036881719,0.1137794036881719,0.012945752703636,True,0.3078066146476887,moderate_expected,20,4
participant_ICC,0.4046938889822438,0.4240689034148364,0.0872575630847574,0.2726726693103015,0.5844965839152442,0.0193750144325925,0.0193750144325925,0.0003753911842631,True,0.3118239146049426,moderate_expected,20,5
stimulus_ICC,0.0573573068951996,0.0431904253002441,0.0265837453086935,0.0052944283036514,0.0895405910345831,-0.0141668815949555,0.0141668815949555,0.0002007005341254,True,0.0842461627309317,moderate_expected,20,5
residual_share,0.5379488041225564,0.5327406712849194,0.0810755520888177,0.379657918458721,0.6717017840789881,-0.0052081328376369,0.0052081328376369,2.7124647654472742e-05,True,0.292043865620267,moderate_expected,20,5
participant_ICC,0.4046938889822438,0.2360683107939321,0.0648717581413447,0.1246246655266794,0.3578894160947529,-0.1686255781883116,0.1686255781883116,0.0284345856193424,False,0.2332647505680734,moderate_expected,20,6
stimulus_ICC,0.0573573068951996,0.131724656566455,0.0564121801830654,0.0403790337053502,0.2246945154822997,0.0743673496712553,0.0743673496712553,0.0055305026971267,True,0.1843154817769495,moderate_expected,20,6
