scenario,n_participants,completed_fits,median_runtime_seconds,p90_runtime_seconds,max_runtime_seconds,operational_success_rate,strong_convergence_rate
higher_noise,20,10,7.579270850052126,9.281144040031357,10.645404000068083,0.9,0.2
higher_noise,30,10,8.024469499941915,9.988502580020576,10.632961799856275,0.7,0.0
higher_noise,40,10,8.572967250132933,12.199727850174527,20.931443700101227,0.7,0.0
higher_noise,50,10,8.913586999871768,9.87549582994543,10.440723999869078,0.9,0.0
higher_noise,60,10,10.891336350003257,16.853162919939493,19.64328910014592,0.3,0.0
higher_noise,80,10,10.870988700073212,17.780703029944558,26.39512260002084,0.4,0.0
moderate_expected,20,10,7.659161599935032,10.519905999931506,11.8204411000479,1.0,0.0
moderate_expected,30,10,8.267791399965063,9.001079659885725,11.683649000013247,0.8,0.0
moderate_expected,40,10,8.154322549933568,10.409696470107884,10.561663900036365,0.8,0.0
moderate_expected,50,10,8.390738500049338,9.819573260005564,11.973334999987856,0.7,0.0
moderate_expected,60,10,9.025952850002795,10.306534549966454,10.812343099853024,0.7,0.0
moderate_expected,80,10,9.064386550104246,10.972884720028377,12.901912500150502,0.9,0.0
smaller_effects_harder,20,10,7.646112100104801,9.199909340101295,9.319852699991316,0.7,0.2
smaller_effects_harder,30,10,8.165169699932449,10.767783700069414,10.970559100154787,0.9,0.0
smaller_effects_harder,40,10,8.048120800056495,10.166913210134952,10.174899899866432,0.5,0.0
smaller_effects_harder,50,10,8.286760099930689,10.568165650125593,10.748492800164968,0.3,0.0
smaller_effects_harder,60,10,8.517101000063121,10.169219630002043,10.47540619992651,0.8,0.0
smaller_effects_harder,80,10,9.31833350006491,11.049925369978883,11.864723899867386,0.7,0.0
