factor,level,observed_mean,posterior_predictive_mean,hdi_3%,hdi_97%,absolute_error
episode,EDR-1,68.7405310511774,68.74511356256839,67.33053499634384,70.03371907775684,0.0045825113909927495
episode,EDR-2,65.75915950516023,65.76522723842086,64.41513281926584,67.10742823680775,0.006067733260636032
episode,FM-1,68.40680978796587,68.41815297205517,67.07600639446056,69.78321886893129,0.011343184089298575
group,group_01,69.5142146939376,69.52363550595824,68.39000500171342,70.56375308677181,0.009420812020636049
group,group_02,65.75678553559807,65.7620270094047,64.65137206646149,66.84153548815898,0.0052414738066346445
stimulus_id,lead_me_du_d,69.88448405650996,69.88045051014365,66.60538715295776,73.15381844340044,0.004033546366315477
stimulus_id,lead_me_du_e,70.45517137312092,70.33517150739763,67.07000276943891,73.67150560268301,0.1199998657232868
stimulus_id,lead_me_pxl_l1,66.17569500934077,66.67002105655726,63.228310975654246,70.00674839832497,0.49432604721648943
stimulus_id,lead_me_pxl_l4,71.40469470172974,71.17954100694276,67.74033479507194,74.50073789470453,0.22515369478698233
stimulus_id,lead_me_mcg_pro2,67.65736180087889,67.92140992123471,64.52038912121927,71.11303933250994,0.2640481203558238
stimulus_id,id_like_to_know_pxl_s7,70.31008348601826,70.2036627398385,67.07668632214374,73.75040198638537,0.10642074617975084
stimulus_id,id_like_to_know_pxl_s3,68.02710155643844,68.24818355946213,64.84961777928662,71.73645494431011,0.22108200302369596
stimulus_id,id_like_to_know_pxl_s5,69.47515171310948,69.47435677938478,66.23345204198435,72.80984576028938,0.0007949337247055155
stimulus_id,id_like_to_know_pxl_s1,69.64541003396765,69.63301431111287,65.9892016923969,72.89350617760942,0.012395722854776636
stimulus_id,id_like_to_know_pxl_s2,72.1069932082619,71.69054366750825,68.34530258844481,75.0025645421298,0.4164495407536464
stimulus_id,in_the_meantime_du_i,57.96053911231099,59.09078773086803,55.39169631178064,62.26417508658023,1.1302486185570402
stimulus_id,in_the_meantime_du_h,70.2717028655163,69.63311160135446,66.26012589684815,73.17660097868686,0.6385912641618461
stimulus_id,in_the_meantime_qut_pro,65.59285792397831,65.66343298899277,62.26377858139471,68.98950460926221,0.07057506501445232
stimulus_id,in_the_meantime_qut_b,66.49356543079284,66.39864680276442,63.12086276406114,69.83779256159593,0.09491862802842377
stimulus_id,in_the_meantime_du_k,65.50231573282112,65.5268975357707,62.28985920314981,68.96350002547446,0.024581802949583675
stimulus_id,pouring_room_mcg_t,62.73847445883612,63.1569653697322,59.83258699067117,66.50639641998656,0.41849091089607526
stimulus_id,pouring_room_mcg_x,71.96891804027375,71.09890215638916,67.58972349631541,74.45288963662378,0.8700158838845908
stimulus_id,pouring_room_mcg_r,62.48338220148029,62.92387732636987,59.51623182742025,66.26411090389497,0.44049512488957987
stimulus_id,pouring_room_mcg_v,71.56676287989784,70.75605048689057,67.50111169258126,74.17346766773282,0.8107123930072646
stimulus_id,pouring_room_mcg_pro1,62.9893367100732,63.371598094914795,60.13558817942346,66.81776511506449,0.38226138484159833
