model_name,term,mean,sd,hdi_3,hdi_97,mcse,mcse_sd,ess_bulk,ess_tail,r_hat
bounded_beta_primary_sensitivity,Intercept,-0.125,0.229,-0.512,0.337,0.007,0.005,996.0,1366.0,1.0
bounded_beta_primary_sensitivity,episode[EDR-2],0.133,0.097,-0.048,0.315,0.002,0.001,3697.0,2854.0,1.0
bounded_beta_primary_sensitivity,episode[FM-1],-0.3,0.097,-0.49,-0.126,0.002,0.001,3729.0,3053.0,1.0
bounded_beta_primary_sensitivity,group[group_02],0.564,0.339,-0.066,1.205,0.011,0.007,942.0,1412.0,1.0
bounded_beta_primary_sensitivity,z_RMS,0.247,0.125,-0.004,0.471,0.003,0.003,1370.0,1631.0,1.0
bounded_beta_primary_sensitivity,z_CF,-0.233,0.141,-0.487,0.035,0.004,0.003,1285.0,1777.0,1.0
bounded_beta_primary_sensitivity,z_SW,-0.099,0.132,-0.349,0.15,0.004,0.003,1388.0,1682.0,1.0
bounded_beta_primary_sensitivity,1|participant_id_sigma,0.51,0.084,0.37,0.682,0.002,0.002,1321.0,1888.0,1.0
bounded_beta_primary_sensitivity,1|stimulus_id_sigma,0.491,0.114,0.292,0.695,0.003,0.003,1249.0,1854.0,1.0
bounded_beta_primary_sensitivity,phi,1.425,0.059,1.318,1.545,0.001,0.001,4650.0,2777.0,1.0
