feature,quartile,n,rating_mean,rating_median,rating_sd,rating_min,rating_max,unique_stimuli,interpretation_note
z_RMS,Q1,264,46.04545454545455,48.0,32.88529751953746,0.0,100.0,6,"descriptive only; acoustic predictors vary at 20 stimulus levels, not 900 independent observations"
z_RMS,Q2,186,44.005376344086024,46.0,30.96772466518457,0.0,100.0,4,"descriptive only; acoustic predictors vary at 20 stimulus levels, not 900 independent observations"
z_RMS,Q3,270,59.03333333333333,64.5,31.492885843251322,0.0,100.0,6,"descriptive only; acoustic predictors vary at 20 stimulus levels, not 900 independent observations"
z_RMS,Q4,180,64.53333333333333,71.5,27.779338007082384,0.0,100.0,4,"descriptive only; acoustic predictors vary at 20 stimulus levels, not 900 independent observations"
z_CF,Q1,234,55.072649572649574,57.0,30.393398097041686,0.0,100.0,5,"descriptive only; acoustic predictors vary at 20 stimulus levels, not 900 independent observations"
z_CF,Q2,228,53.578947368421055,59.5,32.24517714492122,0.0,100.0,5,"descriptive only; acoustic predictors vary at 20 stimulus levels, not 900 independent observations"
z_CF,Q3,222,56.1036036036036,58.0,31.29776835011344,0.0,100.0,5,"descriptive only; acoustic predictors vary at 20 stimulus levels, not 900 independent observations"
z_CF,Q4,216,47.861111111111114,49.0,34.214496678246434,0.0,100.0,5,"descriptive only; acoustic predictors vary at 20 stimulus levels, not 900 independent observations"
z_SW,Q1,228,56.12280701754386,60.5,32.23349295153826,0.0,100.0,5,"descriptive only; acoustic predictors vary at 20 stimulus levels, not 900 independent observations"
z_SW,Q2,234,53.61538461538461,58.0,31.249335417165696,0.0,100.0,5,"descriptive only; acoustic predictors vary at 20 stimulus levels, not 900 independent observations"
z_SW,Q3,222,58.02252252252252,63.0,30.348868003324288,0.0,100.0,5,"descriptive only; acoustic predictors vary at 20 stimulus levels, not 900 independent observations"
z_SW,Q4,216,44.782407407407405,40.5,33.33527869000384,0.0,100.0,5,"descriptive only; acoustic predictors vary at 20 stimulus levels, not 900 independent observations"
z_SI,Q1,264,57.878787878787875,64.5,31.534766933043496,0.0,100.0,6,"descriptive only; acoustic predictors vary at 20 stimulus levels, not 900 independent observations"
z_SI,Q2,222,55.6036036036036,54.0,32.22833672892145,0.0,100.0,5,"descriptive only; acoustic predictors vary at 20 stimulus levels, not 900 independent observations"
z_SI,Q3,222,53.45495495495496,59.5,32.66012066916867,0.0,100.0,5,"descriptive only; acoustic predictors vary at 20 stimulus levels, not 900 independent observations"
z_SI,Q4,192,43.776041666666664,46.5,30.47266131985333,0.0,100.0,4,"descriptive only; acoustic predictors vary at 20 stimulus levels, not 900 independent observations"
outcome_boundary_distribution,all,900,53.217777777777776,55.0,32.134092581998814,0.0,100.0,20,exact_zeros=71; exact_hundreds=71; <=5=87; >=95=94; transformed Beta sensitivity uses Smithson-Verkuilen adjustment
