model_name,term,mean,sd,hdi_3,hdi_97,mcse,mcse_sd,ess_bulk,ess_tail,r_hat
primary_feature,participant_variance,139.522,49.188,61.764,228.733,1.546,1.27,1010.0,1560.0,1.0
primary_feature,stimulus_variance,121.208,61.857,31.85,230.395,1.857,2.263,1127.0,1662.0,1.0
primary_feature,residual_variance,755.274,37.418,682.845,822.782,0.532,0.562,4977.0,3214.0,1.0
primary_feature,participant_ICC,0.136,0.041,0.07,0.214,0.001,0.001,1020.0,1622.0,1.0
primary_feature,stimulus_ICC,0.117,0.05,0.041,0.212,0.001,0.001,1130.0,1620.0,1.0
primary_feature,residual_share,0.747,0.055,0.643,0.845,0.002,0.001,1082.0,1595.0,1.0
si_sensitivity,participant_variance,140.284,49.625,63.528,232.791,1.416,1.455,1279.0,1875.0,1.0
si_sensitivity,stimulus_variance,136.317,78.902,39.607,265.343,2.457,7.259,1201.0,1728.0,1.0
si_sensitivity,residual_variance,754.048,36.366,687.333,820.627,0.503,0.586,5199.0,2821.0,1.0
si_sensitivity,participant_ICC,0.135,0.041,0.065,0.211,0.001,0.001,1272.0,1758.0,1.0
si_sensitivity,stimulus_ICC,0.129,0.057,0.042,0.231,0.002,0.002,1206.0,1732.0,1.0
si_sensitivity,residual_share,0.736,0.06,0.618,0.836,0.002,0.002,1176.0,1610.0,1.0
