summary_type,level,n,mean,median,sd,min,max
overall,all,900,53.217777777777776,55.0,32.134092581998814,0.0,100.0
episode,EDR-1,300,54.58,58.0,31.26192508253803,0.0,100.0
episode,EDR-2,300,56.763333333333335,62.5,32.504807808349646,0.0,100.0
episode,FM-1,300,48.31,50.0,32.127784680786554,0.0,100.0
group,group_01,480,49.93958333333333,50.0,30.648973865220242,0.0,100.0
group,group_02,420,56.964285714285715,68.0,33.39574181071029,0.0,100.0
stimulus,id_like_to_know_pxl_s1,48,49.270833333333336,52.5,33.63998354499897,0.0,100.0
stimulus,id_like_to_know_pxl_s2,48,60.916666666666664,60.5,26.298477695068478,0.0,100.0
stimulus,id_like_to_know_pxl_s3,48,55.541666666666664,59.0,35.07739669452749,0.0,100.0
stimulus,id_like_to_know_pxl_s5,48,43.5,46.5,26.07517772934676,0.0,100.0
stimulus,id_like_to_know_pxl_s7,48,50.791666666666664,55.0,27.279450869038993,0.0,100.0
stimulus,in_the_meantime_du_h,42,74.23809523809524,76.0,21.851839821865447,0.0,100.0
stimulus,in_the_meantime_du_i,42,60.714285714285715,74.5,31.06271053953144,0.0,100.0
stimulus,in_the_meantime_du_k,42,23.69047619047619,7.5,29.622410843109236,0.0,99.0
stimulus,in_the_meantime_qut_b,42,47.142857142857146,49.0,34.36289222939969,0.0,100.0
stimulus,in_the_meantime_qut_pro,42,59.904761904761905,64.0,29.77706559262987,0.0,100.0
stimulus,lead_me_du_d,48,52.208333333333336,50.0,29.282162410945556,0.0,100.0
stimulus,lead_me_du_e,48,34.9375,32.0,30.59370415694303,0.0,93.0
stimulus,lead_me_mcg_pro2,48,59.375,61.0,28.3913569407341,0.0,100.0
stimulus,lead_me_pxl_l1,48,45.458333333333336,42.5,32.28658790992396,0.0,100.0
stimulus,lead_me_pxl_l4,48,47.395833333333336,47.5,30.03313034699707,0.0,100.0
stimulus,pouring_room_mcg_pro1,42,74.80952380952381,77.0,23.895338963026994,0.0,100.0
stimulus,pouring_room_mcg_r,42,77.4047619047619,79.0,22.32909020659201,0.0,100.0
stimulus,pouring_room_mcg_t,42,34.69047619047619,25.5,32.88523139146433,0.0,100.0
stimulus,pouring_room_mcg_v,42,59.19047619047619,70.0,32.53833618547407,0.0,100.0
stimulus,pouring_room_mcg_x,42,57.857142857142854,57.0,31.148402792369296,0.0,100.0
participant_mean_distribution,participant_means,30,53.21777777777777,53.05,12.498560019229352,15.333333333333334,84.03333333333333
rating_distribution_bin,0-20,191,,,,,
rating_distribution_bin,21-40,133,,,,,
rating_distribution_bin,41-60,157,,,,,
rating_distribution_bin,61-80,203,,,,,
rating_distribution_bin,81-100,216,,,,,
observed_preference_trials,all,180,,,,,
