song_id,group,episode,stimulus_id,mix_id,observed_winner_credit,observed_winner_trials,tied_winner_rows,song_episode_trials,observed_winner_share_fractional_ties,comparison_scope
id_like_to_know,group_01,EDR-1,id_like_to_know_pxl_s1,mix_9ffcd672af17,6.0,6,0,16,0.375,in-sample descriptive fit only
id_like_to_know,group_01,EDR-1,id_like_to_know_pxl_s3,mix_65f41f41d3ab,5.0,5,0,16,0.3125,in-sample descriptive fit only
id_like_to_know,group_01,EDR-1,id_like_to_know_pxl_s7,mix_b393d3919c78,3.0,3,0,16,0.1875,in-sample descriptive fit only
id_like_to_know,group_01,EDR-1,id_like_to_know_pxl_s2,mix_6f8b655d7999,2.0,2,0,16,0.125,in-sample descriptive fit only
id_like_to_know,group_01,EDR-2,id_like_to_know_pxl_s2,mix_6f8b655d7999,5.7,7,2,16,0.35625,in-sample descriptive fit only
id_like_to_know,group_01,EDR-2,id_like_to_know_pxl_s3,mix_65f41f41d3ab,4.7,6,2,16,0.29375,in-sample descriptive fit only
id_like_to_know,group_01,EDR-2,id_like_to_know_pxl_s1,mix_9ffcd672af17,2.7,4,2,16,0.16875,in-sample descriptive fit only
id_like_to_know,group_01,EDR-2,id_like_to_know_pxl_s7,mix_b393d3919c78,1.7,3,2,16,0.10625,in-sample descriptive fit only
id_like_to_know,group_01,EDR-2,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,1.2,2,1,16,0.075,in-sample descriptive fit only
id_like_to_know,group_01,FM-1,id_like_to_know_pxl_s3,mix_65f41f41d3ab,6.2,7,1,16,0.3875,in-sample descriptive fit only
id_like_to_know,group_01,FM-1,id_like_to_know_pxl_s1,mix_9ffcd672af17,3.7,5,2,16,0.23125,in-sample descriptive fit only
id_like_to_know,group_01,FM-1,id_like_to_know_pxl_s7,mix_b393d3919c78,3.2,4,1,16,0.2,in-sample descriptive fit only
id_like_to_know,group_01,FM-1,id_like_to_know_pxl_s2,mix_6f8b655d7999,1.7,3,2,16,0.10625,in-sample descriptive fit only
