metric,value
observed_mean,53.217777777777776
observed_sd,32.134092581998814
posterior_predictive_mean_mean,53.21857158673751
posterior_predictive_sd_mean,32.28572652998971
posterior_predictive_below_0,0.05023166666666667
posterior_predictive_above_100,0.07340333333333333
posterior_predictive_outside_0_100,0.123635
observed_episode_mean_EDR-1,54.58
ppc_episode_mean_EDR-1,54.62255598818453
observed_episode_mean_EDR-2,56.763333333333335
ppc_episode_mean_EDR-2,56.726804100078894
observed_episode_mean_FM-1,48.31
ppc_episode_mean_FM-1,48.30635467194909
observed_group_mean_group_01,49.93958333333333
ppc_group_mean_group_01,49.92778224980481
observed_group_mean_group_02,56.964285714285715
ppc_group_mean_group_02,56.97947368608917
observed_stimulus_mean_sd,13.668796692604012
ppc_stimulus_mean_sd,12.487917944584957
