participant_id,group,song_id,episode,trial_id,presentation_label,mix_id,stimulus_id,rating
P010,group_01,id_like_to_know,EDR-2,P010__trial_06,A,mix_82d60d7c7fc5,id_like_to_know_pxl_s5,100
P010,group_01,id_like_to_know,EDR-2,P010__trial_06,B,mix_9ffcd672af17,id_like_to_know_pxl_s1,100
P010,group_01,id_like_to_know,EDR-2,P010__trial_06,C,mix_6f8b655d7999,id_like_to_know_pxl_s2,100
P010,group_01,id_like_to_know,EDR-2,P010__trial_06,D,mix_b393d3919c78,id_like_to_know_pxl_s7,100
P010,group_01,id_like_to_know,EDR-2,P010__trial_06,E,mix_65f41f41d3ab,id_like_to_know_pxl_s3,100
P010,group_01,lead_me,EDR-2,P010__trial_05,A,mix_d5b28dfc8a93,lead_me_pxl_l1,100
P010,group_01,lead_me,EDR-2,P010__trial_05,C,mix_c7d9a071ba25,lead_me_pxl_l4,100
P012,group_01,id_like_to_know,EDR-2,P012__trial_04,C,mix_6f8b655d7999,id_like_to_know_pxl_s2,9
P012,group_01,id_like_to_know,EDR-2,P012__trial_04,E,mix_b393d3919c78,id_like_to_know_pxl_s7,9
P012,group_01,id_like_to_know,FM-1,P012__trial_05,A,mix_82d60d7c7fc5,id_like_to_know_pxl_s5,0
P012,group_01,id_like_to_know,FM-1,P012__trial_05,B,mix_65f41f41d3ab,id_like_to_know_pxl_s3,0
P012,group_01,id_like_to_know,FM-1,P012__trial_05,C,mix_b393d3919c78,id_like_to_know_pxl_s7,0
P012,group_01,id_like_to_know,FM-1,P012__trial_05,D,mix_9ffcd672af17,id_like_to_know_pxl_s1,0
P012,group_01,id_like_to_know,FM-1,P012__trial_05,E,mix_6f8b655d7999,id_like_to_know_pxl_s2,0
P013,group_02,in_the_meantime,FM-1,P013__trial_04,B,mix_302f0efe8a80,in_the_meantime_du_h,76
P013,group_02,in_the_meantime,FM-1,P013__trial_04,C,mix_9baa86357fd4,in_the_meantime_du_i,76
P013,group_02,in_the_meantime,FM-1,P013__trial_04,D,mix_cdaef40f2b94,in_the_meantime_qut_pro,76
P013,group_02,in_the_meantime,FM-1,P013__trial_04,E,mix_c7bdcba64775,in_the_meantime_qut_b,76
P013,group_02,pouring_room,EDR-1,P013__trial_02,A,mix_0ba76f420c1d,pouring_room_mcg_r,75
P013,group_02,pouring_room,EDR-1,P013__trial_02,B,mix_e08faaf8bbb3,pouring_room_mcg_v,75
P013,group_02,pouring_room,EDR-1,P013__trial_02,C,mix_be2ccd4c43ff,pouring_room_mcg_t,75
P013,group_02,pouring_room,EDR-1,P013__trial_02,D,mix_132e75f34470,pouring_room_mcg_pro1,75
P013,group_02,pouring_room,EDR-1,P013__trial_02,E,mix_cbf8555ee2b2,pouring_room_mcg_x,75
P013,group_02,pouring_room,EDR-2,P013__trial_05,A,mix_e08faaf8bbb3,pouring_room_mcg_v,76
P013,group_02,pouring_room,EDR-2,P013__trial_05,B,mix_132e75f34470,pouring_room_mcg_pro1,76
