scenario,n_participants,completed_fits,short_chain_draws,short_chain_tune,short_chain_chains,operational_success_rate,feature_coefficient_rmse_mean,participant_icc_rmse,stimulus_icc_rmse,cell_mean_rmse_mean,winner_accuracy_mean,mean_cell_hdi_width_mean,runtime_seconds_mean
moderate_expected,20,10,400,400,2,1.0,0.7177888313372283,0.13915874849659626,0.037457224958426405,2.6600093614217606,0.75,11.592620338605741,8.104331469954923
moderate_expected,30,10,400,400,2,0.8,0.7594526468493983,0.0757090083017526,0.032715799357890575,3.195150691394878,0.75,9.986801638220438,8.496042989916168
moderate_expected,40,10,400,400,2,0.8,0.8543976237788845,0.05331820954097253,0.025260363968931457,2.0613983771666122,0.825,8.701716286337739,8.525720299989917
moderate_expected,50,10,400,400,2,0.7,0.7371992699329815,0.044629416689687645,0.021424900509835032,1.7067335143120588,0.85,7.723579137586556,8.828887039981783
moderate_expected,60,10,400,400,2,0.7,0.7265726304840513,0.034837323680355345,0.020739623006480867,1.41892020459395,0.775,7.135085153103762,9.262877969979309
moderate_expected,80,10,400,400,2,0.9,0.7725361727903804,0.04196775164825363,0.03862804462767835,1.7121204680056057,0.85,5.8693676281029905,9.612403780035674
higher_noise,20,10,400,400,2,0.9,0.8190241429938043,0.08244529936989929,0.01729195863147192,3.739790001633078,0.675,15.477063076128832,7.969430340034887
higher_noise,30,10,400,400,2,0.7,0.7822998383117137,0.04529447046852432,0.018180347539878097,3.1911379748479813,0.65,11.913613091826022,8.390989869995973
higher_noise,40,10,400,400,2,0.7,0.9811282226227673,0.0429529367930145,0.030157316384766875,2.823042196752035,0.8,10.63786011554858,9.876408870052547
higher_noise,50,10,400,400,2,0.9,0.7593610683399854,0.04745726055798794,0.016677672545560737,2.363500126756597,0.875,9.831852599593487,8.92310353992507
higher_noise,60,10,400,400,2,0.3,0.7275340729978672,0.05229339876413794,0.021075584358442,2.276831844413306,0.825,8.298494328820766,12.39043226998765
higher_noise,80,10,400,400,2,0.4,0.7918502332071616,0.03806639999443032,0.012487349317229762,2.1647642433275704,0.85,7.377340996437051,13.330206519993954
smaller_effects_harder,20,10,400,400,2,0.7,0.8105771371446358,0.0798570784298581,0.029290664089157793,2.730483056597306,0.7,12.580118861781656,7.98630532999523
smaller_effects_harder,30,10,400,400,2,0.9,0.702570794588685,0.09173816275959489,0.031114735950970338,2.6092637113792114,0.875,9.961328487634074,8.749760510050692
smaller_effects_harder,40,10,400,400,2,0.5,0.9762690927079383,0.053469563917657024,0.03435013600336727,2.3681975710369207,0.85,8.344865988469527,8.66997847002931
smaller_effects_harder,50,10,400,400,2,0.3,0.7176857408330802,0.06250988318969296,0.027374988276529375,1.7985314728855832,0.625,7.55671798314512,8.710336660058237
smaller_effects_harder,60,10,400,400,2,0.8,0.6117404528884665,0.04547009411566154,0.018724735086334588,2.1765304877017306,0.9,7.27528620978177,8.900160600012168
smaller_effects_harder,80,10,400,400,2,0.7,0.7265411324646165,0.05112320094295119,0.028174763074057176,1.6119166202940298,0.825,6.150193114556177,9.750365970027634
