summary_type,level,n,mean,median,sd,min,max
overall,all,990,51.65050505050505,52.0,31.946920631947904,0.0,100.0
episode,EDR-1,330,53.14848484848485,55.0,31.017287279182625,0.0,100.0
episode,EDR-2,330,55.36363636363637,61.0,32.187726504003756,0.0,100.0
episode,FM-1,330,46.43939393939394,47.5,32.040309332526355,0.0,100.0
group,group_01,510,48.6078431372549,49.0,30.73940051245837,0.0,100.0
group,group_02,480,54.88333333333333,61.5,32.90656941051169,0.0,100.0
stimulus,id_like_to_know_pxl_s1,51,47.568627450980394,51.0,33.344417764873796,0.0,100.0
stimulus,id_like_to_know_pxl_s2,51,59.03921568627451,59.0,26.850669104745776,0.0,100.0
stimulus,id_like_to_know_pxl_s3,51,54.411764705882355,53.0,34.486041507014534,0.0,100.0
stimulus,id_like_to_know_pxl_s5,51,41.705882352941174,46.0,26.383551025324138,0.0,100.0
stimulus,id_like_to_know_pxl_s7,51,51.96078431372549,55.0,27.122655315668283,0.0,100.0
stimulus,in_the_meantime_du_h,48,71.52083333333333,76.0,22.881739986781927,0.0,100.0
stimulus,in_the_meantime_du_i,48,60.333333333333336,71.0,29.823832632775446,0.0,100.0
stimulus,in_the_meantime_du_k,48,21.645833333333332,7.5,28.261310733884287,0.0,99.0
stimulus,in_the_meantime_qut_b,48,43.791666666666664,29.0,33.423114904644635,0.0,100.0
stimulus,in_the_meantime_qut_pro,48,59.729166666666664,63.0,28.28031386817108,0.0,100.0
stimulus,lead_me_du_d,51,51.1764705882353,50.0,30.22628384856659,0.0,100.0
stimulus,lead_me_du_e,51,33.92156862745098,27.0,29.971882248037012,0.0,93.0
stimulus,lead_me_mcg_pro2,51,57.431372549019606,60.0,28.82030874363478,0.0,100.0
stimulus,lead_me_pxl_l1,51,42.98039215686274,34.0,32.870345417155825,0.0,100.0
stimulus,lead_me_pxl_l4,51,45.88235294117647,46.0,29.829949419215268,0.0,100.0
stimulus,pouring_room_mcg_pro1,48,74.22916666666667,77.0,23.37960520873507,0.0,100.0
stimulus,pouring_room_mcg_r,48,72.0,76.5,26.120017594728687,0.0,100.0
stimulus,pouring_room_mcg_t,48,33.4375,24.5,31.23071745519077,0.0,100.0
stimulus,pouring_room_mcg_v,48,57.041666666666664,58.0,31.689959704917435,0.0,100.0
stimulus,pouring_room_mcg_x,48,55.104166666666664,51.0,30.851904029889365,0.0,100.0
participant_mean_distribution,participant_means,33,51.650505050505046,51.03333333333333,13.092804748994242,15.333333333333334,84.03333333333333
rating_distribution_bin,0-20,221,,,,,
rating_distribution_bin,21-40,158,,,,,
rating_distribution_bin,41-60,175,,,,,
rating_distribution_bin,61-80,215,,,,,
rating_distribution_bin,81-100,221,,,,,
observed_preference_trials,all,198,,,,,
